year, EC-Earth3-Veg, GFDL-ESM4, MPI-ESM1-2-LR, CESM2-WACCM, CanESM5, NorESM2-LM, CNRM-ESM2-1, IPSL-CM6A-LR, NorESM2-MM, CMCC-CM2-SR5, TaiESM1, MIROC-ES2L, ACCESS-ESM1-5
2.015000000000000000e+03, 9.367119900630943574e-01, 1.152886838993149921e+00, 4.957950755461237868e+00, 6.262389549603493144e-01, 6.730279571654512516e+00, 6.191304292798287534e-01, 7.594635293518753549e+00, 2.089622197917301083e+00, 6.529318599271193291e-01, 1.440784094735009013e+00, 3.329929907229119412e-01, 4.643411934186135070e+00, 7.374732673430833829e-01
2.016000000000000000e+03, 9.052150347017328125e-01, 1.141632575997334254e+00, 4.962775471958829954e+00, 6.053201919002746401e-01, 6.752166618653230756e+00, 6.363513510695457676e-01, 7.629485490689494220e+00, 2.135025923156985250e+00, 6.286119124557747462e-01, 1.346329710459405193e+00, 2.454138323555153101e-01, 4.639331312902230664e+00, 7.571194847440156916e-01
2.017000000000000000e+03, 9.161636357069971037e-01, 1.147967659248868566e+00, 4.996485339248844859e+00, 6.252833707442815303e-01, 6.921353721504065248e+00, 6.194629491136227628e-01, 7.648808050023271576e+00, 2.167339863070072425e+00, 6.034587593064266731e-01, 9.569368412381694666e-01, 3.271293817381137892e-01, 4.660667137607420685e+00, 7.703308311270282704e-01
2.018000000000000000e+03, 9.267780413588242450e-01, 1.131769166944913030e+00, 5.017509704737048715e+00, 6.507760467152505779e-01, 6.717195721045271739e+00, 6.207058853803301135e-01, 7.576631731426069827e+00, 2.117766379686654599e+00, 6.466131028986487062e-01, 1.259137031981851118e+00, 3.524254860598642902e-01, 4.721897008048617117e+00, 7.654504554943964978e-01
2.019000000000000000e+03, 9.660899054376702599e-01, 1.146367112011451583e+00, 5.077975795512608137e+00, 6.340089796418505452e-01, 6.889171183152519973e+00, 6.296172352687671170e-01, 7.631627009921151839e+00, 2.139671725344517217e+00, 6.543079304636036930e-01, 1.288802485936692666e+00, 3.588120017571647669e-01, 4.717130519733507832e+00, 7.644002819146532568e-01
2.020000000000000000e+03, 9.761002878191638032e-01, 1.213491892539983352e+00, 5.076408844473727200e+00, 6.243844552452639807e-01, 6.825118463055365403e+00, 5.986495824190212200e-01, 7.556516372653272917e+00, 2.137959080870978301e+00, 6.958751677284948922e-01, 1.165860105379798783e+00, 2.667731114068536691e-01, 4.682768001187903373e+00, 7.584253891470135178e-01
2.021000000000000000e+03, 9.708570668819136440e-01, 1.187116096384092323e+00, 5.061532647161976151e+00, 6.403066348847527012e-01, 6.477021708501959019e+00, 6.485201977575384413e-01, 7.617129747466706569e+00, 2.111495608820156189e+00, 6.549083670729841655e-01, 1.353718356891297825e+00, 3.592571992957286908e-01, 4.649589348852398274e+00, 7.499679621476218472e-01
2.022000000000000000e+03, 9.680565745185244486e-01, 1.159566757620521971e+00, 5.039227434812167061e+00, 6.021066564959088874e-01, 6.509918552410461245e+00, 6.745771979789981776e-01, 7.594327735358767484e+00, 2.132239414323202631e+00, 6.179552533869516751e-01, 9.992754666189115342e-01, 3.696723708193112024e-01, 4.651677780084455982e+00, 7.495189644829904907e-01
2.023000000000000000e+03, 9.485699227963851898e-01, 1.162424737110073769e+00, 5.065783463015930188e+00, 6.106671496042530567e-01, 6.571751130165896626e+00, 6.720166985947756411e-01, 7.622567285587368957e+00, 2.127900751506674126e+00, 6.662551921748960382e-01, 1.047926891893708801e+00, 3.335346244357842993e-01, 4.672924833659328314e+00, 7.542264109892857782e-01
2.024000000000000000e+03, 9.234587159303458970e-01, 1.155569875830726234e+00, 5.100972797408330983e+00, 6.884472997038397768e-01, 6.591514122736239933e+00, 6.653304990835797739e-01, 7.673872390036601487e+00, 2.142894237128867285e+00, 7.184121831466401265e-01, 8.545556520026785785e-01, 3.126426964818485033e-01, 4.677989776602463401e+00, 7.517512112106115030e-01
2.025000000000000000e+03, 9.112624067991943466e-01, 1.144890130200194811e+00, 5.152009528912783409e+00, 6.679456188925100291e-01, 6.463143727570318298e+00, 6.538156076127857874e-01, 7.658628663343488796e+00, 2.192254617839791475e+00, 7.653859415760738694e-01, 1.352770160300690305e+00, 3.492130837758018469e-01, 4.654363088769084555e+00, 7.613944178006138985e-01
2.026000000000000000e+03, 9.176187240460914607e-01, 1.093077314285686663e+00, 5.209643257528083993e+00, 6.041673151479152182e-01, 6.625156871452219320e+00, 6.727467638103588055e-01, 7.636338034506835015e+00, 2.179257976965778720e+00, 7.317766496896520589e-01, 1.903299127114828959e+00, 4.199186679833052938e-01, 4.670886207409812307e+00, 7.734820313143849768e-01
2.027000000000000000e+03, 9.284531978676395791e-01, 1.061220324874503351e+00, 5.195332609843237748e+00, 6.752583111352320477e-01, 6.661777380530403470e+00, 6.424714484482507704e-01, 7.624967574036038975e+00, 2.155882708569603512e+00, 6.844231205575798116e-01, 1.480983397044629113e+00, 2.566004626053083326e-01, 4.692852477329032546e+00, 7.827368386765445329e-01
2.028000000000000000e+03, 9.543179040989010486e-01, 1.053388229591574632e+00, 5.244558934257693039e+00, 6.500024295077220238e-01, 6.513202385805131556e+00, 7.031140420659937051e-01, 7.602913816146736004e+00, 2.207940720938379009e+00, 6.830482452266924964e-01, 1.346242292781849592e+00, 3.101213827670751821e-01, 4.698198584047156068e+00, 7.849243711378058874e-01
2.029000000000000000e+03, 1.015757905331456712e+00, 1.006539384773354140e+00, 5.269631727632742013e+00, 6.701558958951598921e-01, 6.551924341117464579e+00, 6.867810256195790997e-01, 7.557886049018349262e+00, 2.210761900233548793e+00, 6.379747508295143810e-01, 1.007858912472180402e+00, 4.281625134196368476e-01, 4.660050328566436306e+00, 7.764706846044802102e-01
2.030000000000000000e+03, 1.006028421381428339e+00, 1.000112888600327210e+00, 5.321178877583820466e+00, 6.824058351419575175e-01, 6.496868735866270228e+00, 6.260777147331121339e-01, 7.554750791194065229e+00, 2.183363221100923734e+00, 6.690221997703503787e-01, 1.462447804030113208e+00, 3.293945394191937215e-01, 4.653385377686856117e+00, 7.691830901963048195e-01
2.031000000000000000e+03, 9.807305214102941537e-01, 9.260687329049988037e-01, 5.314764189053203580e+00, 6.306792232735418668e-01, 6.366224720068105469e+00, 6.800422519668521959e-01, 7.658508561563198036e+00, 2.177310575382408686e+00, 7.574998587586700971e-01, 1.116549153825874052e+00, 2.750803929374113221e-01, 4.684576098931310995e+00, 7.699134617625817967e-01
2.032000000000000000e+03, 9.894404060239626597e-01, 9.301067461005553261e-01, 5.294334958545164227e+00, 6.999610177047012050e-01, 6.511569824363628634e+00, 7.030075895529814822e-01, 7.647388864830450217e+00, 2.174033283566494390e+00, 7.263655036376568397e-01, 1.295636874011189432e+00, 2.912207071670012137e-01, 4.732076164225312631e+00, 7.755521713356929858e-01
2.033000000000000000e+03, 1.015706041809582905e+00, 9.661526059208446204e-01, 5.342401097782566666e+00, 7.183309028611496450e-01, 6.724181115878065995e+00, 6.658223706220905980e-01, 7.627862502085811514e+00, 2.182660426022232869e+00, 6.848807815386398490e-01, 1.385124025388363656e+00, 3.103690557092635416e-01, 4.759902873486081099e+00, 7.679832322604328576e-01
2.034000000000000000e+03, 1.003426315907498090e+00, 9.210772913482707658e-01, 5.376192580911136609e+00, 6.888590781474737135e-01, 6.622990356443464677e+00, 6.703911544647043197e-01, 7.574317643817630952e+00, 2.182855786948683541e+00, 6.911451769268588396e-01, 1.300917005205352472e+00, 4.070381528650486858e-01, 4.732237450884560381e+00, 7.653807525182391158e-01
2.035000000000000000e+03, 9.936054666512011968e-01, 9.242355066359714266e-01, 5.435407842345504115e+00, 6.995330230777345726e-01, 6.600236058682878770e+00, 7.215923472856553555e-01, 7.562473145051297863e+00, 2.183099592345256301e+00, 6.595420287486959410e-01, 1.031034562085848316e+00, 3.480276451033565976e-01, 4.698068919546271260e+00, 7.613355288870669035e-01
2.036000000000000000e+03, 9.659680530913917762e-01, 9.232287392855512698e-01, 5.445697276760076200e+00, 6.705171865983894364e-01, 6.369570698526493935e+00, 7.301794845345356277e-01, 7.541406402185683255e+00, 2.208860386086786143e+00, 6.948625898424841685e-01, 1.417049742341881524e+00, 3.336848055827432158e-01, 4.699964230148276023e+00, 7.793101521542628030e-01
2.037000000000000000e+03, 9.295760272817393810e-01, 9.131363378994321600e-01, 5.400960414233263229e+00, 6.661075799790753260e-01, 6.352578795671243839e+00, 8.130036775435708352e-01, 7.601122799771203198e+00, 2.200591797999217558e+00, 7.549656387247519751e-01, 1.372729129795717151e+00, 2.614121443604440764e-01, 4.746083330578349191e+00, 8.089946367155961271e-01
2.038000000000000000e+03, 9.532517859864392262e-01, 9.026125333014355379e-01, 5.410958049240196743e+00, 6.969348164308462046e-01, 6.449282907403920184e+00, 7.784844765091449847e-01, 7.549069819183179320e+00, 2.171420043441798509e+00, 6.961392592691879599e-01, 1.352321426377018465e+00, 3.246327511436855606e-01, 4.745712516682090154e+00, 8.214170691753784892e-01
