year, ACCESS-ESM1-5, NorESM2-LM, INM-CM4-8, UKESM1-0-LL, CMCC-CM2-SR5, CanESM5, MIROC-ES2L, NorESM2-MM, CNRM-ESM2-1, INM-CM5-0, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, GFDL-ESM4
2.015000000000000000e+03, 9.591484604027863625e+00, 4.281688782989027331e+00, 2.307057016271225081e+01, 7.235096868486140309e+00, 3.941657747619449648e+00, 5.789367263736494351e+00, 1.144057238812005473e+01, 4.943301825020385287e+00, 1.068855573855603858e+01, 2.018818596928418074e+01, 5.347436875428990710e+00, 3.097625075905312109e+00, 4.234647251633534282e+00, 4.212011064736117305e+00, 6.200472774319115921e+00, 1.518438964782591993e+00
2.016000000000000000e+03, 9.556029840362073813e+00, 4.277707058888131186e+00, 2.320074521276927371e+01, 7.292581311997174076e+00, 3.565811841768159240e+00, 5.821398859378417612e+00, 1.146246560596949138e+01, 4.959983821884522470e+00, 1.063747855451077839e+01, 2.031057782977126180e+01, 5.343583839273748026e+00, 3.091506481417342744e+00, 4.240087547020468861e+00, 4.494635257795831507e+00, 6.301015007319761274e+00, 1.537904201810763594e+00
2.017000000000000000e+03, 9.668276763767027049e+00, 4.302125183888872328e+00, 2.347809326234744631e+01, 7.320609949406990502e+00, 4.187905333788451756e+00, 5.827378083848638646e+00, 1.154558539711556620e+01, 5.035081082790368256e+00, 1.053256320341976604e+01, 2.030622162132693020e+01, 5.324004816848746380e+00, 2.936398460345220673e+00, 4.296290040926502130e+00, 4.630514863157649152e+00, 6.421232270707204925e+00, 1.542970119445034483e+00
2.018000000000000000e+03, 9.698845860141499742e+00, 4.290432829454232433e+00, 2.363419945911874009e+01, 7.359112295391712522e+00, 4.115390565875462592e+00, 5.887141668060750455e+00, 1.160093077224614433e+01, 5.008475642131534400e+00, 1.073401826041686746e+01, 2.034354778414029497e+01, 5.232897512136733376e+00, 2.960914035123647814e+00, 4.350589602706098624e+00, 4.623288386830095575e+00, 6.527132525854153933e+00, 1.532027195651722407e+00
2.019000000000000000e+03, 9.720711600257722296e+00, 4.275401027405105303e+00, 2.358633718375553201e+01, 7.392109800401724051e+00, 3.839464175394082801e+00, 5.848270681277591976e+00, 1.159935907539699329e+01, 5.011819732375890624e+00, 1.077875849744790848e+01, 2.046336058418086523e+01, 5.221006311654554644e+00, 2.991252965238183403e+00, 4.297649110773998693e+00, 4.479076772230783376e+00, 6.503454512538844767e+00, 1.610163893568196336e+00
2.020000000000000000e+03, 9.708207920460500517e+00, 4.345628554371649521e+00, 2.359119194468506819e+01, 7.418390643006585350e+00, 3.976622416239892210e+00, 5.879506418312534954e+00, 1.159075561710856661e+01, 4.955954593048234713e+00, 1.086623636454870301e+01, 2.056490209025323779e+01, 5.275633899970125107e+00, 2.933037429973099464e+00, 4.172278202936184677e+00, 4.638911606251498121e+00, 6.643837109453140322e+00, 1.536560010619711480e+00
2.021000000000000000e+03, 9.695222563296983509e+00, 4.358216903885113069e+00, 2.375815196461805812e+01, 7.462509713631725994e+00, 3.550629406705234636e+00, 6.020241372651280898e+00, 1.169927797409390635e+01, 4.958228523910233498e+00, 1.106753881158166308e+01, 2.060026307668995926e+01, 5.295062729882277885e+00, 2.978216419001729065e+00, 4.192458784691678986e+00, 4.767800059490802767e+00, 6.713036111249402360e+00, 1.526119327764244193e+00
2.022000000000000000e+03, 9.712322757518631278e+00, 4.340376911214678834e+00, 2.395025040389382909e+01, 7.493532730390676022e+00, 3.960032556285346228e+00, 6.155644410400943123e+00, 1.176703630220810659e+01, 5.057425113755468438e+00, 1.115533670164155033e+01, 2.078534411444739050e+01, 5.326355193862224446e+00, 3.009820159929070371e+00, 4.221558776318777184e+00, 4.546107283599025273e+00, 6.687394118744122373e+00, 1.512561769469325634e+00
2.023000000000000000e+03, 9.749188972037934775e+00, 4.336924020509003164e+00, 2.405311585918435924e+01, 7.482735317421887800e+00, 4.385761990866797966e+00, 6.189716953201237715e+00, 1.179019598948109859e+01, 5.126557253961480320e+00, 1.126632705599543094e+01, 2.093613620948328702e+01, 5.391699939046962875e+00, 3.080519979637561523e+00, 4.352819691617736630e+00, 4.437611712713334100e+00, 6.669241160998441664e+00, 1.541156858809398456e+00
2.024000000000000000e+03, 9.776240983419342001e+00, 4.389999246728805815e+00, 2.421264263358373725e+01, 7.556228220366426385e+00, 5.208132214749778832e+00, 6.174604549842773515e+00, 1.187469408065743792e+01, 5.077832404802077093e+00, 1.124747945083400680e+01, 2.096727235902492481e+01, 5.357938470843523149e+00, 3.224075859005329114e+00, 4.434937752561880941e+00, 4.396149356774963657e+00, 6.616715865997398360e+00, 1.531729509150302704e+00
2.025000000000000000e+03, 9.834245967731861882e+00, 4.443131202979302863e+00, 2.451689572612505330e+01, 7.572564499999423937e+00, 5.044090650643514806e+00, 6.263751512458742177e+00, 1.193072172126591468e+01, 5.035938087201247804e+00, 1.127856982143295284e+01, 2.122295682448279663e+01, 5.321636436295616335e+00, 3.146927989244372892e+00, 4.546437553152328448e+00, 4.356924430950331661e+00, 6.661238150841919392e+00, 1.513439313851218548e+00
2.026000000000000000e+03, 9.914862321581578541e+00, 4.473402880082642419e+00, 2.464677167359721466e+01, 7.583210163107569457e+00, 3.884008331416228366e+00, 6.314386034123653069e+00, 1.194146564346626960e+01, 5.000855358593331523e+00, 1.144119018050804826e+01, 2.131075279874685080e+01, 5.489014572659185021e+00, 3.019804606337751718e+00, 4.456613892744400118e+00, 4.031529956972934592e+00, 6.755197519362105218e+00, 1.503103820861320550e+00
2.027000000000000000e+03, 9.973898073445436552e+00, 4.551775912308346328e+00, 2.455698089390338268e+01, 7.593720735845097103e+00, 3.796297492116797123e+00, 6.270459785791001828e+00, 1.194368794087321461e+01, 5.101448895806404593e+00, 1.149268927680250840e+01, 2.149021439040607362e+01, 5.489537248551694226e+00, 3.183806403269888730e+00, 4.547926635378170879e+00, 4.111524265890708740e+00, 6.884774232506662095e+00, 1.505671103153232382e+00
2.028000000000000000e+03, 1.000245222874814566e+01, 4.526308598684353868e+00, 2.457076184750410164e+01, 7.587921192208058052e+00, 3.820368290778439313e+00, 6.348491393714193798e+00, 1.195417457812503770e+01, 5.145333343785996938e+00, 1.152212663049924579e+01, 2.149077312537815487e+01, 5.493210239143724749e+00, 3.234484818425217512e+00, 4.681541767450960734e+00, 4.346425883770807630e+00, 7.026683544165611472e+00, 1.475558574683457413e+00
2.029000000000000000e+03, 1.000816804461494058e+01, 4.516759110260220922e+00, 2.468366369546605554e+01, 7.600589294312983135e+00, 4.437472225455923791e+00, 6.345543126119363997e+00, 1.191949188378732849e+01, 5.265293999986206508e+00, 1.163972547114663314e+01, 2.158346350207505537e+01, 5.576564423101108225e+00, 3.154471422208082299e+00, 4.665982260403918502e+00, 3.975722000583224336e+00, 7.080872368433144715e+00, 1.478192164104268791e+00
2.030000000000000000e+03, 9.997619567263722473e+00, 4.660060993495624082e+00, 2.477923319209573449e+01, 7.646093850777841539e+00, 3.990740333885108182e+00, 6.429864382906754550e+00, 1.191642964480009859e+01, 5.326329652805352310e+00, 1.188355412465089422e+01, 2.173063933636121092e+01, 5.556593485073211269e+00, 3.150450107784368736e+00, 4.592666823734981030e+00, 3.815735443002167049e+00, 7.043200769266870331e+00, 1.435038882654691816e+00
2.031000000000000000e+03, 1.001785114903610285e+01, 4.694704821469521505e+00, 2.473885021122652361e+01, 7.666766259710109388e+00, 4.367449361453980217e+00, 6.464470153751348924e+00, 1.198060553385853666e+01, 5.252897884553238583e+00, 1.184828239008541573e+01, 2.179573629244767119e+01, 5.715160347533752017e+00, 3.156494999068236940e+00, 4.578276488618405970e+00, 4.025105106560486590e+00, 7.095488158161434633e+00, 1.443572571377976121e+00
2.032000000000000000e+03, 1.003845645730476477e+01, 4.646454526734935087e+00, 2.475640883456100028e+01, 7.707630054013556276e+00, 4.329702881321231267e+00, 6.479006474798394422e+00, 1.208722870428196039e+01, 5.176108779309489982e+00, 1.170221846516074216e+01, 2.208004839781476392e+01, 5.717814119846331700e+00, 3.207173447893191476e+00, 4.730405776742281354e+00, 4.134604739960593633e+00, 7.136682495157816497e+00, 1.440064466904063201e+00
2.033000000000000000e+03, 1.004061659062128165e+01, 4.703123076797644408e+00, 2.482681755743385565e+01, 7.751029830367829554e+00, 4.099401509856097192e+00, 6.466575275679548263e+00, 1.209591028233196397e+01, 5.236431376114944136e+00, 1.174367003568621115e+01, 2.228392012537337052e+01, 5.648437150957744457e+00, 3.221121996371654195e+00, 4.780330315663257501e+00, 4.360372299782407701e+00, 7.044865227339870195e+00, 1.416665973971735770e+00
2.034000000000000000e+03, 1.004705108770547817e+01, 4.826148302432523352e+00, 2.491706128699188483e+01, 7.767298689660520949e+00, 4.016636864346641467e+00, 6.477051432261637487e+00, 1.201671938950016383e+01, 5.293144531633248384e+00, 1.182412924136193766e+01, 2.220776714585727518e+01, 5.635636527704886767e+00, 3.247335981058363519e+00, 4.966080740039575225e+00, 4.121042215760474470e+00, 7.037551819361695493e+00, 1.392342447536097483e+00
2.035000000000000000e+03, 1.004745379859259735e+01, 4.778015314299798533e+00, 2.514378283176152351e+01, 7.780231053849743894e+00, 4.647905093927766629e+00, 6.518369732438648256e+00, 1.192148490239605074e+01, 5.351039750533335138e+00, 1.194611522623700495e+01, 2.207059411040749808e+01, 5.636898237036107595e+00, 3.330117830963651215e+00, 4.995375919494525085e+00, 3.922659534279315352e+00, 7.049753072845021507e+00, 1.390301497948222220e+00
2.036000000000000000e+03, 1.013461924056203856e+01, 4.795783977154300715e+00, 2.529542256728405292e+01, 7.743211151726722363e+00, 4.536980489579215181e+00, 6.594440263289926385e+00, 1.198415178910277668e+01, 5.414488618095878891e+00, 1.211361793976491796e+01, 2.223484245805366299e+01, 5.654386129485875045e+00, 3.280918934171499934e+00, 4.868838923758229242e+00, 3.917937111611882628e+00, 6.964009988293859088e+00, 1.362961653384359817e+00
2.037000000000000000e+03, 1.026459633063548260e+01, 4.740396270318530725e+00, 2.518603072459992376e+01, 7.721206942696778874e+00, 4.310199945537605437e+00, 6.728487853407554731e+00, 1.203256998339621298e+01, 5.346880600110281101e+00, 1.226388807738405440e+01, 2.255379948764866427e+01, 5.743186699575839604e+00, 3.251802994470874619e+00, 4.969981519065423292e+00, 4.206907660099447277e+00, 6.920983525871195141e+00, 1.367810366803454025e+00
2.038000000000000000e+03, 1.031868526343517800e+01, 4.643151483532123258e+00, 2.530002092414452619e+01, 7.803085734476769453e+00, 4.240013993763817268e+00, 6.827445442252479069e+00, 1.204292348282094949e+01, 5.391850653446660147e+00, 1.221166664464628404e+01, 2.263848054395916876e+01, 5.745258742988870182e+00, 3.130602452575292904e+00, 5.017503530691218572e+00, 4.440672584939664880e+00, 6.953745606448978656e+00, 1.389167399028290228e+00
2.039000000000000000e+03, 1.033519243720811254e+01, 4.763432101664094809e+00, 2.529567454512832825e+01, 7.855463957742519376e+00, 4.140878717003602993e+00, 6.885312961041723412e+00, 1.211060712098431935e+01, 5.443243492138176265e+00, 1.226418152657422667e+01, 2.273965020825304606e+01, 5.754596858136258319e+00, 3.362845659368178364e+00, 5.147987313337790916e+00, 4.394243360063249781e+00, 7.004862865816090967e+00, 1.398010843099645406e+00
2.040000000000000000e+03, 1.035094323315550824e+01, 4.847260852020958133e+00, 2.551161079654242769e+01, 7.867502341980050495e+00, 3.813753793177055762e+00, 6.937438759406768796e+00, 1.223402061011531750e+01, 5.446207741055648199e+00, 1.228157890436719235e+01, 2.280036774779868836e+01, 5.774405268477196707e+00, 3.420356603497213044e+00, 5.212601038072121717e+00, 3.870505556459679752e+00, 7.137408209309305640e+00, 1.346127096158178826e+00
2.041000000000000000e+03, 1.034002220229538516e+01, 4.860007092860641364e+00, 2.570786789686584228e+01, 7.903517900213710590e+00, 4.900888766778015437e+00, 7.074129867760848178e+00, 1.232436648265532320e+01, 5.427604243700863584e+00, 1.230097739381510458e+01, 2.282906634953963732e+01, 5.797188543002611993e+00, 3.368969609527588283e+00, 5.181967752767042690e+00, 3.794842265057926767e+00, 7.042885831069214397e+00, 1.357744312015092492e+00
2.042000000000000000e+03, 1.037661260965277776e+01, 4.867013348465598632e+00, 2.583987005032771833e+01, 7.914526668918793639e+00, 4.905295554159053495e+00, 7.081128351173038737e+00, 1.234796349028064633e+01, 5.492570311801989291e+00, 1.237346553997264031e+01, 2.293783819750096598e+01, 5.867374273491107850e+00, 3.385266346545661609e+00, 5.209046750312586127e+00, 4.219275319052940176e+00, 6.772932349311543199e+00, 1.323512636197113679e+00
2.043000000000000000e+03, 1.046035691776666887e+01, 4.848761591372023005e+00, 2.589046662195464776e+01, 7.940626807683759836e+00, 4.616068428214667563e+00, 7.000048579978217056e+00, 1.229927202666412001e+01, 5.504930046875722738e+00, 1.244078151226198337e+01, 2.298027186755619411e+01, 5.840201019407228245e+00, 3.460593172133941131e+00, 5.166772222392656211e+00, 4.036976456156065929e+00, 6.836072981742780108e+00, 1.336916964515658002e+00
2.044000000000000000e+03, 1.046373564279097046e+01, 4.925291601899572491e+00, 2.588613006086708523e+01, 7.978826676661951112e+00, 5.020997837343051273e+00, 7.132081612604179277e+00, 1.227120643326556682e+01, 5.471493022304841247e+00, 1.258524034491386878e+01, 2.319648609003587580e+01, 5.901878324909579199e+00, 3.535247138497493058e+00, 5.144467925464390134e+00, 3.614019448091173814e+00, 6.971472431977447037e+00, 1.379997187787194823e+00
