year, CESM2-WACCM, CMCC-ESM2, UKESM1-0-LL, GFDL-ESM4, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1
2.015000000000000000e+03, 1.614650376074817517e-09, 2.879595065371171349e-10, 2.392118978778324277e-13, 1.765037355463702605e-09, 2.120579485235999812e-09, 2.202733895317560410e-09, 3.851024965695649042e-11, 3.088566376898161439e-09, 4.439063328848954442e-11
2.016000000000000000e+03, 1.722956501167521320e-09, 2.859800951760141994e-10, 2.307577056637450879e-13, 1.648008481633878817e-09, 2.005720217213194731e-09, 2.151555011041477740e-09, 1.461187165482918260e-10, 2.844209700700632268e-09, 4.479223911645737026e-11
2.017000000000000000e+03, 1.682207180103633504e-09, 2.881528235020831377e-10, 2.688727011548166729e-13, 1.620098326897227556e-09, 2.101939009186419288e-09, 2.139717463798304585e-09, 8.541633961921056624e-11, 2.210674845994590545e-09, 4.613455605787408554e-11
2.018000000000000000e+03, 1.664973580663436813e-09, 2.905592941972465895e-10, 2.897713146997739868e-13, 1.504969037980789351e-09, 2.162616769751379294e-09, 2.138510254854399554e-09, 6.184884684063593736e-11, 2.581386287431302827e-09, 4.311784057441908687e-11
2.019000000000000000e+03, 1.718802176553429650e-09, 2.917173792389508375e-10, 2.661884477481802777e-13, 1.651254278695808213e-09, 2.080436278316681122e-09, 2.120926560163236251e-09, 5.163567077969806426e-11, 2.474999880610548335e-09, 3.788517117318402159e-11
2.020000000000000000e+03, 1.682219541358753164e-09, 2.917466399998131345e-10, 2.771942419968346957e-13, 1.794462182576890344e-09, 1.799186594488052644e-09, 2.060772164770585320e-09, 4.644109158438432293e-11, 2.332957569706693239e-09, 3.729249545958992396e-11
2.021000000000000000e+03, 1.716409809433944231e-09, 2.908222079738841683e-10, 4.023908670310949194e-13, 1.431618986260080408e-09, 1.711315916224283701e-09, 2.064187261618314636e-09, 5.120415559346769299e-11, 2.563283577418376429e-09, 3.055940664678684985e-11
2.022000000000000000e+03, 1.733236866908013365e-09, 2.892056008700581096e-10, 4.522225329277030895e-13, 1.457666845059304611e-09, 1.700209584325186653e-09, 2.061997601904174085e-09, 5.369788346745935023e-11, 2.556042363911166324e-09, 3.174112665247894494e-11
2.023000000000000000e+03, 1.647238974189818647e-09, 2.874452473917515259e-10, 3.695559514689830797e-13, 1.725739657062361126e-09, 1.878726648318290480e-09, 2.047465312783657311e-09, 5.353559064439096830e-11, 2.731438316205244204e-09, 2.846610672640189049e-11
2.024000000000000000e+03, 1.613214196117991082e-09, 2.859869707781960703e-10, 4.430303796211295081e-13, 1.703224963358256307e-09, 2.028830331245434496e-09, 2.046941644783019930e-09, 5.275590526864858699e-11, 3.056580194972360117e-09, 2.640302721889494749e-11
2.025000000000000000e+03, 1.675744964282935879e-09, 2.846568323054527869e-10, 3.876995494287414118e-13, 1.747886366425991432e-09, 2.203800463218037152e-09, 2.068981868881035025e-09, 5.227319263855886150e-11, 2.639168111115521044e-09, 2.510398642070953927e-11
2.026000000000000000e+03, 1.777226196802538204e-09, 2.835920570370948546e-10, 3.127018464124808056e-13, 1.562280817199852219e-09, 2.155723061025932737e-09, 2.586284300573627433e-09, 4.648294601668620889e-11, 2.270809620012122644e-09, 2.424299343381751939e-11
2.027000000000000000e+03, 1.698354466442656517e-09, 2.796652420569866004e-10, 3.090488753831081531e-13, 1.802994163434813228e-09, 2.101620798375683912e-09, 2.700064484835493942e-09, 4.353318581390188274e-11, 2.865054281662812308e-09, 2.364441235635392119e-11
2.028000000000000000e+03, 1.712873710216575617e-09, 2.733770328766907160e-10, 2.337749749418582166e-13, 1.782078842241977423e-09, 2.319396197831363323e-09, 2.749450287515340210e-09, 4.081398877597738372e-11, 2.920018816506623675e-09, 2.307197482433371838e-11
2.029000000000000000e+03, 1.798402677582072343e-09, 2.681910161477638725e-10, 2.511721757906900250e-13, 1.627881749542373810e-09, 2.285603058092023576e-09, 2.779960392114347538e-09, 3.915009869708920051e-11, 2.395474287220746847e-09, 2.219037907077269638e-11
2.030000000000000000e+03, 1.818902133916862092e-09, 2.642244746160820821e-10, 2.637651067368727815e-13, 1.772725610388005636e-09, 2.158322152526475437e-09, 2.803709099978801586e-09, 3.806622919139995039e-11, 2.424226121992768772e-09, 2.145705257528824176e-11
2.031000000000000000e+03, 1.974083558017535939e-09, 2.616530858840687311e-10, 2.731927744522813846e-13, 1.499025326537943930e-09, 2.039498101786500901e-09, 2.833706058696969631e-09, 4.613403184103484782e-11, 2.593521038313125236e-09, 2.146713158657112640e-11
