year, TaiESM1, UKESM1-0-LL, CMCC-CM2-SR5, MIROC-ES2L, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, CanESM5, GFDL-ESM4, INM-CM4-8, EC-Earth3-Veg, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, INM-CM5-0, NorESM2-LM
2.015000000000000000e+03, 3.758032484500916759e+00, 2.711016119764641186e+00, 2.732359814499997874e+00, 3.129549453875219545e+00, 2.912237520531266721e+00, 3.426424928534743231e+00, 5.199196680892451461e+00, 6.307136487989248863e+00, 2.024629536122106277e+00, 5.861496585717961949e+00, 4.747652837047836805e+00, 2.653976973473640921e+00, 1.914385733755431085e+00, 3.960288331728078592e+00, 4.714447463292713358e+00, 2.655916097834694511e+00
2.016000000000000000e+03, 4.146718390614078764e+00, 2.915167973076940200e+00, 2.962926156796163113e+00, 3.241669841728572088e+00, 3.072642977640851036e+00, 3.133795382315401667e+00, 5.244985706576037465e+00, 6.458456766349166323e+00, 2.055405763884101233e+00, 5.831725230955242090e+00, 4.905305604207028658e+00, 2.785607961829603685e+00, 2.127961114237253426e+00, 3.431758676391771345e+00, 4.984777461609325222e+00, 2.569868220578610529e+00
2.017000000000000000e+03, 4.112927955575783834e+00, 3.103383619436536289e+00, 3.678274360232921314e+00, 3.186031279595166854e+00, 2.865937635815300144e+00, 2.437105341200757280e+00, 5.538224741292037123e+00, 6.420956479236532566e+00, 2.034193230255962437e+00, 6.183797098721803387e+00, 5.171501915979982655e+00, 3.078728778595526183e+00, 2.059550825582599387e+00, 3.314949489008141903e+00, 4.463841858785971617e+00, 2.653399877479420077e+00
2.018000000000000000e+03, 4.078607166192063538e+00, 2.857224842101230067e+00, 3.237678109894870815e+00, 3.362650414913528785e+00, 2.765547842244594268e+00, 3.017502283396488405e+00, 5.548592973141822426e+00, 6.492245490593290036e+00, 2.093874014838906561e+00, 5.929589179951224587e+00, 4.928498808278671817e+00, 2.818853010438613804e+00, 2.008409315407948093e+00, 4.337831955037176890e+00, 4.814836313997447270e+00, 2.430606948330400030e+00
2.019000000000000000e+03, 3.991053623150696783e+00, 3.047904578274891030e+00, 3.117631969583539497e+00, 3.087177800907248582e+00, 3.001212854217583992e+00, 2.931974809122458225e+00, 4.632623503647035790e+00, 6.226852174529531325e+00, 2.432326897342864669e+00, 5.492013762331893645e+00, 5.156745039032090361e+00, 3.133965211984368615e+00, 2.002190869266983864e+00, 3.675056476426906915e+00, 4.961966012228677059e+00, 2.580905780248825554e+00
2.020000000000000000e+03, 4.425753078312085087e+00, 2.888246693821704181e+00, 3.128249962999601230e+00, 3.207317876589483863e+00, 3.032598499736012254e+00, 2.603003864935890643e+00, 4.162928401338036544e+00, 6.728378680422702374e+00, 1.896249860969950740e+00, 5.627225901243917860e+00, 5.286166932140841546e+00, 2.736381764041603049e+00, 1.859607454002476290e+00, 4.670910601002514539e+00, 5.024459233964195803e+00, 2.807867599648515622e+00
2.021000000000000000e+03, 4.208889843027830757e+00, 3.455903044299281301e+00, 2.826591562330256657e+00, 3.254931423221214537e+00, 2.971297976579202693e+00, 2.996741194916854312e+00, 4.205778971701545466e+00, 6.864387949079854501e+00, 1.950026991158819056e+00, 5.840900705894860323e+00, 5.210072356659269488e+00, 2.972088966962747492e+00, 1.931665904701533432e+00, 4.379483455022998406e+00, 4.732064469547493601e+00, 2.648570851012086447e+00
2.022000000000000000e+03, 4.170216696002571943e+00, 2.721680082370568243e+00, 3.648656870018296861e+00, 3.175082508694659023e+00, 3.218531263802231202e+00, 3.058037547855484206e+00, 4.824603055414509178e+00, 6.769533553725736397e+00, 2.145484157251486224e+00, 6.012376313183931842e+00, 5.120156961229963777e+00, 3.152928225443801136e+00, 2.017385112587494422e+00, 4.580830149444375721e+00, 5.447811244536995723e+00, 2.575888905026067821e+00
2.023000000000000000e+03, 4.137399839631736853e+00, 2.768308343528669724e+00, 3.925670579944672500e+00, 3.289616653698810733e+00, 3.159508032450173420e+00, 3.166960799225206902e+00, 5.549245591619545337e+00, 6.652714162924874053e+00, 2.192575971414451708e+00, 5.901157940520433520e+00, 4.987909387769189351e+00, 3.192461272920161353e+00, 1.979554628530587168e+00, 4.547944213678470682e+00, 4.950014640704110569e+00, 2.573751724354082615e+00
2.024000000000000000e+03, 4.264063590373631030e+00, 3.147520464670663820e+00, 4.531375579225861649e+00, 3.336724720102469455e+00, 2.839775780108973358e+00, 3.589270265981440833e+00, 5.593116184442907368e+00, 6.575867629564326577e+00, 2.144971762989478670e+00, 6.082193968482322077e+00, 5.024890549146213914e+00, 2.930372303802973644e+00, 2.007865794760710365e+00, 3.742984970955060664e+00, 5.145086364916859445e+00, 2.724816097739222620e+00
