year, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-MM, ACCESS-ESM1-5, INM-CM4-8, IPSL-CM6A-LR, CanESM5, GFDL-ESM4, CESM2-WACCM, CMCC-ESM2, EC-Earth3-Veg, TaiESM1, INM-CM5-0, MIROC-ES2L, CNRM-ESM2-1, NorESM2-LM
2.015000000000000000e+03, 1.476674258994320033e+00, 1.248955582698131561e+00, 9.723817050311815979e-01, 6.967021285380839979e-01, 1.622598053484519243e+00, 1.056106842967963200e+00, 1.092442740115373567e+00, 9.017969383485062718e-01, 1.057414488244310835e+00, 1.552826519840219799e+00, 1.616527994163850401e+00, 1.489792836582698676e+00, 1.439392349911223112e+00, 9.660913896465499473e-01, 1.528045181464327218e+00, 9.788550425797329924e-01
2.016000000000000000e+03, 1.587198043492457078e+00, 1.239661982520710470e+00, 1.019718362325475303e+00, 7.345767321075606926e-01, 1.635987031876634301e+00, 9.958090534822213735e-01, 1.112623849030465850e+00, 9.218606549568936215e-01, 1.077630324029911657e+00, 1.776976897809859013e+00, 1.669345136756844150e+00, 1.629291346261355855e+00, 1.456561866959543483e+00, 9.963028564290489220e-01, 1.398025974072392152e+00, 9.438457955177333991e-01
2.017000000000000000e+03, 1.554128132044603428e+00, 1.315775190871029787e+00, 1.098726311044398329e+00, 7.302018579053531910e-01, 1.684584492756591612e+00, 8.349943042668012128e-01, 1.096414231587353516e+00, 9.163460635617808325e-01, 1.047225214941257088e+00, 1.361241915560605475e+00, 1.713115939074427052e+00, 1.799817340464935800e+00, 1.361303643356114090e+00, 9.779800237372552330e-01, 1.293168030633232490e+00, 9.910992006037597779e-01
2.018000000000000000e+03, 1.610712745641519339e+00, 1.320924755466946987e+00, 1.078404288500031560e+00, 7.236781798608499239e-01, 1.653659831552216630e+00, 9.182168912717777465e-01, 1.122586074626440222e+00, 9.155701031685445912e-01, 1.016109331814353922e+00, 1.126173538619234415e+00, 1.681208699726998379e+00, 1.804767973810287085e+00, 1.440226682252360169e+00, 1.002607793871819197e+00, 1.577191239214033258e+00, 9.328697362236889612e-01
2.019000000000000000e+03, 1.549010443109781532e+00, 1.132198886326623022e+00, 1.119338788899244541e+00, 7.260689996985466577e-01, 1.557447372549367604e+00, 9.297487996557798340e-01, 1.070591746638346331e+00, 1.132885359798837310e+00, 1.056033424205259807e+00, 1.311315937387456998e+00, 1.710503431339577052e+00, 1.714527872713069501e+00, 1.502775459302926331e+00, 9.401935360276588716e-01, 1.468507209783762146e+00, 9.745757606469648282e-01
2.020000000000000000e+03, 1.523625669097043556e+00, 1.043106693899670256e+00, 1.033477415021240686e+00, 6.892811839707252419e-01, 1.555380734825598577e+00, 8.528776608265725701e-01, 1.143827744975721927e+00, 8.511701259487380877e-01, 1.075919335751868378e+00, 1.133279962205643310e+00, 1.816731809669887232e+00, 1.790550998394431437e+00, 1.470967280725962389e+00, 9.599038550937555314e-01, 1.632750869006417416e+00, 1.011492810024241962e+00
2.021000000000000000e+03, 1.545880236921398199e+00, 1.071110209696714444e+00, 1.088904235838783929e+00, 7.018089407144059155e-01, 1.586805215344428532e+00, 9.272540788080840812e-01, 1.196119825677575799e+00, 8.938906250020290933e-01, 1.099567964319650093e+00, 1.197627011195809832e+00, 1.752361847749030810e+00, 1.875618721090027030e+00, 1.396774812456684334e+00, 9.805075457725502819e-01, 1.646860587562310574e+00, 1.017202797922672319e+00
2.022000000000000000e+03, 1.525007264634250292e+00, 1.174562046706077556e+00, 1.152616398039082002e+00, 7.264991897233286089e-01, 1.616710014817060115e+00, 9.275151448967300372e-01, 1.199744302893811065e+00, 9.308919119372380813e-01, 1.150742856246350865e+00, 1.640816370850431749e+00, 1.660100174867075173e+00, 1.836618280944179338e+00, 1.526415576123686613e+00, 9.545683020530406626e-01, 1.666346802985237296e+00, 9.836227455168061740e-01
2.023000000000000000e+03, 1.489464025249832568e+00, 1.309513249933845325e+00, 1.168356841513892075e+00, 7.088997336760426426e-01, 1.587126538682998911e+00, 9.859156745335942995e-01, 1.136611346679970325e+00, 9.815610357113970785e-01, 1.160896418638166283e+00, 1.535751341631901745e+00, 1.652332484313380201e+00, 1.756197017567964869e+00, 1.472373614266595077e+00, 9.792702821057204243e-01, 1.653884137506227203e+00, 9.876788913445918583e-01
2.024000000000000000e+03, 1.556969041975685641e+00, 1.331719046906556958e+00, 1.103628298239033079e+00, 7.160750539526040681e-01, 1.637099068791841860e+00, 1.090980240870621287e+00, 1.118251745175325107e+00, 9.200412216244517882e-01, 1.071233823837000942e+00, 1.189665076966571755e+00, 1.649812443801084383e+00, 1.732820527547036971e+00, 1.488869164121371824e+00, 9.917642203965756353e-01, 1.466305992245686474e+00, 1.013254545396230055e+00
2.025000000000000000e+03, 1.495539964924867737e+00, 1.345288228750038728e+00, 1.011991017399278103e+00, 7.544856490209860267e-01, 1.712082438250760896e+00, 9.602804169798905276e-01, 1.172920910832162322e+00, 8.303472171970500693e-01, 1.096863053543424282e+00, 1.119542761214040061e+00, 1.631846044342408097e+00, 1.737549514743890189e+00, 1.523512193395541336e+00, 9.898840771846622033e-01, 1.480567512589020529e+00, 1.078722952781964395e+00
2.026000000000000000e+03, 1.482839536570775607e+00, 1.209500500630828146e+00, 1.045112442712710976e+00, 7.530036554573965590e-01, 1.623766286218847332e+00, 8.646927340483999691e-01, 1.143253115055418379e+00, 8.691345518069494291e-01, 1.165779626378715017e+00, 1.652434872766306295e+00, 1.697436330584297881e+00, 1.503304633501599152e+00, 1.478133703346944605e+00, 1.026238280952211701e+00, 1.558135372103965910e+00, 1.062977463095592379e+00
2.027000000000000000e+03, 1.473680994262893451e+00, 1.388859210171802472e+00, 1.065790174549578362e+00, 7.482131230065817151e-01, 1.559359300410112281e+00, 1.044839138874804396e+00, 1.103766607169818004e+00, 8.939960961241391058e-01, 1.149433158277810785e+00, 1.650893409574032855e+00, 1.868106480064180008e+00, 1.621715530554044715e+00, 1.537382364631248111e+00, 1.026247552136405838e+00, 1.515012402721869211e+00, 1.136758874325862312e+00
2.028000000000000000e+03, 1.458377406901128381e+00, 1.376586503188425681e+00, 1.157995650890501382e+00, 7.372748797040918900e-01, 1.572569466798200422e+00, 1.028379708911092205e+00, 1.160456254084178962e+00, 8.159970235584201870e-01, 1.187398130687944864e+00, 1.123508052757147713e+00, 1.914104579260474281e+00, 1.813863169660908436e+00, 1.462205819527492068e+00, 1.020547148902842149e+00, 1.484089498469045809e+00, 1.054165446621722069e+00
