year, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, CanESM5, CMCC-ESM2, UKESM1-0-LL, MIROC-ES2L, MPI-ESM1-2-LR
2.015000000000000000e+03, -5.529356494521169360e-10, -2.407383471814420119e-10, 3.334254234271892655e-10, 7.789533547822547466e-11, -2.299134766494354850e-09, 4.301290113821228271e-10, -5.253415614480275234e-10, -4.808614295752956360e-11
2.016000000000000000e+03, -3.698380800141194715e-10, 4.766766718564535518e-10, -1.637464816328739360e-11, 2.354402219249511460e-09, -6.702107325781308386e-10, 4.393799225941462363e-10, 9.707757767014281424e-10, 8.878539100038328812e-10
2.017000000000000000e+03, -5.017083869199964851e-10, 1.349426107646303479e-10, -9.851605848815254625e-11, -1.806427919002699949e-09, 1.848326568314392015e-09, 6.816235381954584694e-10, 5.807029652580109142e-10, 6.859645818380876645e-10
2.018000000000000000e+03, 7.717965868069038503e-11, -6.996378730220590526e-11, 1.791256180840403320e-09, 6.273815012307395146e-10, -1.172958465026760146e-11, 4.863097997275396177e-10, 1.303243475977197893e-09, 9.868662532030622958e-10
2.019000000000000000e+03, 7.375644897008414760e-10, 2.668093543825539818e-10, -6.200925524425126255e-10, 8.743887422964767071e-10, -1.304206902716380101e-09, 4.307831349013086591e-10, -9.069628249893113892e-10, -7.145875856786948745e-10
2.020000000000000000e+03, -1.421720651644126859e-09, 5.857779140045369725e-10, 2.181859325044546512e-09, -2.608096838151513656e-09, 1.185591232856633025e-09, 6.593342558044556541e-11, 3.265131495752300000e-10, -4.750725366338675317e-10
2.021000000000000000e+03, -4.964399465821249454e-10, 3.089429172051386904e-10, -1.684051164391149429e-10, 1.269469634360812403e-09, -1.570721723865469948e-09, 1.379424714611842595e-09, 7.518186850870375257e-10, -5.058331185003654330e-10
2.022000000000000000e+03, 4.619681813117413786e-10, 5.371919843515636413e-10, 1.176690349655963905e-09, 7.016075803382135699e-10, -3.483851971446762473e-09, 1.995503156982133381e-10, 1.759962418083413232e-10, 5.832926030320371119e-10
2.023000000000000000e+03, 9.009639935171311216e-11, 5.953978257669737143e-10, 1.187177499455145703e-09, 1.095382270210436997e-09, 1.469772459069043149e-09, 1.642390755977803538e-10, 6.957630672858043204e-10, 2.233963709682505117e-09
2.024000000000000000e+03, -1.294287889564981625e-10, 4.567951827542659723e-10, -4.794344807765733604e-10, -8.735383303678979553e-10, 1.329374303272241776e-09, 1.180898340991280191e-09, 6.399298390898004314e-10, 3.618452667501096524e-10
2.025000000000000000e+03, -8.819649766813030728e-10, -1.034813935835224015e-11, 4.732402906848071757e-10, 1.067794843305699667e-09, -6.306971848556142548e-10, 2.863607857108362776e-10, 5.729226616602061688e-10, 2.060790317761043821e-09
2.026000000000000000e+03, -2.523778842615260221e-11, 1.338516368602362970e-09, 5.008078882078886562e-10, 1.193671950866357205e-09, -5.020087254909439496e-09, 6.573660838619585890e-11, 8.683503333694189232e-10, -3.393174935717835364e-11
2.027000000000000000e+03, -2.350621314236274543e-10, 1.573036387253942631e-10, 1.299194658426861102e-10, -1.478058620520728410e-09, 1.987826517625978776e-09, 1.783033946782207407e-10, 5.868821497601396531e-10, 1.539609636457540783e-09
2.028000000000000000e+03, -8.750597984262401987e-10, 5.101970686192274522e-10, 3.911742684445806020e-11, 1.304995742135208541e-09, 1.864039750077138345e-09, -3.347133111572199752e-10, 2.020906237084557423e-10, 7.472300771818878403e-10
2.029000000000000000e+03, -2.265310395515401515e-10, 8.521775202303109295e-10, 1.387494965433047894e-09, 5.210829310541534378e-10, -1.923812412916221508e-09, 4.352908733293027571e-10, -1.145331537712224082e-10, 6.204675850885088676e-10
2.030000000000000000e+03, -1.598423786424784437e-09, 3.623024377740271334e-10, 9.230822568220843948e-10, -8.132264193412633137e-10, -4.248307410620541410e-09, 8.976747757067805816e-10, 2.012374759091873672e-10, -4.104042175333365363e-10
2.031000000000000000e+03, 3.014516168562820470e-10, 1.433091546643411026e-09, -1.001728819822707618e-09, 3.921207741924251451e-10, -3.218387659211319689e-10, 4.374966802114554735e-10, 1.795612729118761405e-09, -2.628635752450083769e-10
2.032000000000000000e+03, 1.116810124809713518e-10, 3.745061390794863782e-10, -8.829489524965030921e-11, 1.577107730677851936e-09, 1.316673918135799031e-09, 7.223672273393408080e-10, 1.103942168809331167e-09, 1.939139394070421747e-09
2.033000000000000000e+03, -1.323599543727192375e-09, -7.002038643187730264e-11, -6.036732424256464041e-11, 1.589334546296381457e-09, 1.001469961843831167e-09, 9.013306593045844740e-10, 3.591508844807154071e-10, 1.404456694647694873e-09
2.034000000000000000e+03, 2.790608360844976449e-10, 2.858738770713433968e-10, 8.945025553366243249e-10, -1.128772738555264153e-09, 3.647900759341937302e-11, 3.349146572477032961e-10, -1.635180905163477702e-09, 1.011934533742721738e-09
2.035000000000000000e+03, -4.430769240970992599e-10, 1.678273401145729608e-10, 1.037043850518993543e-09, -1.754521582710724493e-09, -3.142011093243946438e-09, 1.058889957485014840e-10, -2.457635406794597401e-10, 9.230297937080505720e-10
2.036000000000000000e+03, -7.120374965528682957e-10, 3.916162822757686261e-10, 1.489759194166217932e-09, 2.564631905870854478e-10, 1.223522645536429342e-09, -1.277389652299977723e-09, 1.096152783258088824e-09, -8.245987789268188407e-10
2.037000000000000000e+03, -3.361043322271345432e-10, 1.032341432230787758e-09, -1.706500307184533090e-10, 1.350463444663575357e-09, 5.563187572434566487e-10, -2.721735273193840271e-10, 7.522552476055238655e-10, 7.564433131712847227e-10
2.038000000000000000e+03, 8.880231463422411127e-10, 2.862573164913201877e-10, 1.375964774246961390e-09, 2.165763057614878220e-09, -3.180970739313340019e-10, 9.919005901196032847e-10, 2.226330732519780535e-10, 4.263201659758744372e-10
2.039000000000000000e+03, -1.002305882209158397e-10, 5.800375285191367582e-10, -8.365861386972938015e-10, 1.035258515682648484e-09, -1.449652054839529657e-09, 9.746262250166763852e-10, 5.002435363852689816e-10, 2.259226053613067267e-09
2.040000000000000000e+03, -6.841437914345046891e-10, 1.393400722232045004e-10, 8.529798341526963314e-10, -1.048082986935240870e-09, -2.497974120160306319e-09, 1.443164952190841344e-10, 7.805673613781128343e-10, 4.142538397074148802e-10
2.041000000000000000e+03, -2.388081839053270712e-10, 4.328081646596849938e-10, -3.367370064842582675e-10, 2.760963438126724565e-09, 1.399681466407476020e-09, 9.605849283726247625e-10, 1.267541181852141798e-09, 4.232548389173720180e-10
2.042000000000000000e+03, -6.365144930899459493e-10, 7.856072745715028642e-10, 1.258334505814322344e-09, 2.719873833825108909e-09, 1.504267417387624144e-10, 1.737017148234078928e-10, 5.628578994174628210e-10, 4.231780281109848956e-10
2.043000000000000000e+03, 6.284983281931653027e-11, 8.420882719697857494e-11, -4.460508641459698823e-10, -2.355483898320751205e-09, -2.461345192103306329e-09, 6.573364871023281061e-10, -7.519172561576632539e-10, -3.016102442740358554e-10
2.044000000000000000e+03, 7.374094437743121500e-10, 4.046678680397956533e-10, 9.590247371130713003e-10, -9.717693382217595881e-10, -4.883363407763845086e-10, 6.906627052829037573e-10, 2.185646735286548474e-10, 9.694303946606185564e-11
2.045000000000000000e+03, -8.734039796046880589e-10, 6.554676473858002993e-10, -1.378785827033707924e-10, 1.737004355949182682e-09, 1.094784740933529196e-09, 8.373029809285412903e-10, 1.251416034856256094e-09, 1.281445543251509821e-09
2.046000000000000000e+03, 4.240807384578133047e-11, -4.526949724788550153e-11, 2.567204008993314848e-10, -1.928020512369446172e-10, 5.344545847932805376e-10, 8.326116776412440462e-10, 5.907752992982747193e-10, 6.163422198423004233e-10
2.047000000000000000e+03, 2.033450274369870382e-10, 3.047687319726139010e-10, -2.867740700530702724e-10, -4.853170879579708594e-10, -1.726553668784293491e-09, 1.047556025895043569e-09, -8.970231218933723872e-10, -1.980246847436347190e-10
2.048000000000000000e+03, -4.886719127818423742e-10, 5.509747211864838266e-10, 5.340160753420859939e-10, 2.644026357981631677e-09, -2.141161186649500177e-09, 5.889899763447434296e-10, -1.938009496458899878e-10, 9.982850355410366932e-10
2.049000000000000000e+03, -7.404610270553802069e-10, 1.894835395204062153e-10, -9.709633858831544861e-10, 1.995990914799918961e-09, 1.582700271267644867e-09, 3.147207664885735723e-10, 4.969029892136482907e-10, -7.560025450205480347e-10
2.050000000000000000e+03, 2.553008144627519810e-10, 2.351021466996292385e-10, 4.459225443956379714e-10, -1.310709977450320844e-10, 8.565406331941993312e-10, 1.419368606025948464e-10, 2.577341809363157278e-10, 1.417463538057414551e-09
2.051000000000000000e+03, -9.997272320618563333e-10, 9.369750091915549314e-10, 3.242055073041511918e-10, 8.777950968291576988e-10, -3.127136269398570778e-09, -3.430761585938313960e-10, -8.325359466521911492e-10, 2.414758698428845227e-10
2.052000000000000000e+03, 3.519227523390892474e-10, 1.730142805200563297e-10, 6.873568449609982270e-10, 2.648974721116466083e-09, 5.619356633433508438e-10, 3.191474726697853243e-10, 5.210776607052537170e-10, 1.015662361761769785e-11
2.053000000000000000e+03, 9.405656775533633002e-10, 7.025758309617456328e-10, -8.019432487862575444e-10, 1.661421832737130640e-09, -4.171802286426389991e-10, 7.145534956174170557e-10, 6.877212165451446539e-10, 1.119862272813700843e-09
2.054000000000000000e+03, -1.165899581788824879e-09, -2.860057239358372703e-10, 4.082370494138346604e-10, 1.161576467730608717e-09, -1.940646357798223706e-09, 3.784698123955361790e-11, 9.656858993485027659e-10, 1.915075652297588685e-09
2.055000000000000000e+03, -6.183250995682814756e-10, 2.573973252024873368e-10, 2.467848585563703649e-10, -1.006325624978798564e-09, -2.218790101945355483e-09, -4.688769338649209808e-10, -4.793568903067507156e-10, 2.021512218009808379e-11
2.056000000000000000e+03, 4.371469659616732105e-10, 1.575498185176955304e-09, 7.673208904606429531e-10, -1.058199885659821016e-09, -2.559460272651096217e-10, -1.309001891639405614e-10, -1.097817558999376702e-09, 7.983729048304318211e-10
2.057000000000000000e+03, -2.056813109588377818e-10, 7.924367036628850904e-10, 1.959485811344936503e-09, 1.777338353241674992e-09, -5.360997636564390839e-11, 2.358951800671026658e-10, 6.122501257923476945e-10, -3.528402630632536708e-11
2.058000000000000000e+03, 1.024117281249600304e-09, -5.726722305640293919e-10, -7.820037993735962431e-10, 7.887885265912376952e-10, 6.809025420369870995e-10, -2.694701525075151510e-10, 1.107292959476605150e-09, 1.293618592452298781e-09
