year, ACCESS-ESM1-5, GFDL-ESM4, TaiESM1, EC-Earth3-Veg, INM-CM4-8, CESM2-WACCM, CanESM5, CNRM-ESM2-1, CMCC-CM2-SR5, NorESM2-LM, MPI-ESM1-2-LR, NorESM2-MM, IPSL-CM6A-LR, INM-CM5-0, UKESM1-0-LL, MIROC-ES2L
2.015000000000000000e+03, 2.250379312712222468e+00, 2.626361098958415852e+00, 3.657003129110625306e+00, 2.391389588742254713e+00, 3.694351245230871328e+00, 3.279393824749477826e+00, 1.255950685905310893e+00, 2.648931304971523293e+00, 2.736562400623283597e+00, 2.303626990178819778e+00, 2.123816926739687805e+00, 2.401919491333113665e+00, 2.931514952252564310e+00, 2.961626423068639102e+00, 2.367590752856211012e+00, 2.921527336562605992e+00
2.016000000000000000e+03, 3.000366474434356778e+00, 2.253053215134242837e+00, 3.507450503208840331e+00, 2.271346395137269880e+00, 3.992240702625072135e+00, 3.152617417968554214e+00, 1.031204300917042183e+00, 2.269650299914811598e+00, 3.429385592480072908e+00, 2.504457369382881105e+00, 2.165403850261331087e+00, 3.017604315732417053e+00, 2.633743936568382793e+00, 3.104890479900133560e+00, 2.255615519320805173e+00, 3.408047314149867724e+00
2.017000000000000000e+03, 2.476949208647885925e+00, 2.149888898347482424e+00, 3.844762310760102331e+00, 2.196625678583273178e+00, 4.051149878303406560e+00, 2.428332940796337880e+00, 1.460535355124343626e+00, 2.629529310138702947e+00, 3.309042479087334954e+00, 2.273776882528823151e+00, 2.296494433569128635e+00, 2.883490032684873583e+00, 2.213149232695826196e+00, 2.699654603667331898e+00, 2.355245914353610193e+00, 3.159912767667739431e+00
2.018000000000000000e+03, 2.267280912986735064e+00, 2.540931447170158730e+00, 3.158235521589220163e+00, 2.197037626410516253e+00, 3.560836835813370183e+00, 2.504262668564921857e+00, 1.153820656702979619e+00, 3.098706713526719891e+00, 3.338235019112707480e+00, 2.088655230495946036e+00, 2.059365547866387924e+00, 2.810992193599460620e+00, 2.648047831571271882e+00, 2.973109384314713832e+00, 1.980413585522683650e+00, 3.207282221879744544e+00
2.019000000000000000e+03, 2.464765378500608062e+00, 1.977962617232007725e+00, 3.648856061791053929e+00, 2.457088836558383171e+00, 3.558329431148123057e+00, 3.384741658367174111e+00, 1.046622719121888201e+00, 2.526924455824496984e+00, 3.276916926882275316e+00, 2.579608949449411437e+00, 1.732593132731354846e+00, 3.027792210064857770e+00, 2.728465190989766587e+00, 2.979595886445645991e+00, 2.313355586275140041e+00, 2.924085656081838014e+00
2.020000000000000000e+03, 2.207458603981758305e+00, 2.002393545570407163e+00, 3.935319724744824832e+00, 2.422549643673136188e+00, 3.791856769968819485e+00, 2.809863303904810206e+00, 1.754956745626414127e+00, 3.232752729579496442e+00, 2.934520167993344586e+00, 2.411739015133855801e+00, 1.784104641159144133e+00, 2.508398129996702419e+00, 2.509340547104421670e+00, 3.229403446694339763e+00, 2.158286949387706599e+00, 3.416738965315603505e+00
2.021000000000000000e+03, 2.303540270561917680e+00, 1.876704180718139936e+00, 3.458704182248215186e+00, 2.430453778057322545e+00, 3.658326169383286697e+00, 2.709466291022865292e+00, 1.790332372685366158e+00, 2.967463379116328070e+00, 3.514798094326900824e+00, 2.206055680234058514e+00, 1.730383583085878252e+00, 2.999218429414919562e+00, 2.362965456282334120e+00, 3.074344983613687798e+00, 2.531367227958082999e+00, 3.365772554674682837e+00
2.022000000000000000e+03, 2.563594423991383930e+00, 2.468885655751835717e+00, 3.623207018733562101e+00, 2.341298598625676242e+00, 3.672143560949594487e+00, 3.447880737927532468e+00, 1.528936915538121388e+00, 3.017314478853946103e+00, 3.853924412436913194e+00, 2.114462903357977819e+00, 1.973425596742443222e+00, 3.413157426655150317e+00, 2.940634774623596126e+00, 3.510974536383501210e+00, 2.009824970189555415e+00, 2.864561041686057852e+00
2.023000000000000000e+03, 2.262596775780264302e+00, 2.288134222772834292e+00, 3.439265752773043694e+00, 2.430288735484854357e+00, 3.974254920618806253e+00, 2.907947972311638818e+00, 1.284752343078591874e+00, 2.812222606752613263e+00, 4.568568180517500465e+00, 2.405077436880309616e+00, 2.081011434145993544e+00, 2.738767311017643369e+00, 2.919919510792078565e+00, 2.768108240088359651e+00, 2.268693235862889956e+00, 3.425065987264285461e+00
2.024000000000000000e+03, 2.488827896438593257e+00, 2.355489981547276734e+00, 3.792232159920206680e+00, 2.142738072060089483e+00, 3.808010101598861219e+00, 2.184247272372066728e+00, 1.526941532509000110e+00, 2.575578406208330673e+00, 4.551956431031713102e+00, 2.472174043487317618e+00, 2.471910611024491722e+00, 2.599108884421873267e+00, 3.015332427190909659e+00, 3.303052362882386017e+00, 2.187238451093239000e+00, 3.128155305844085188e+00
2.025000000000000000e+03, 2.810066596845225639e+00, 2.160174042075205580e+00, 3.434238160006336305e+00, 2.168322907607496131e+00, 4.248998044828128151e+00, 3.802687505014133329e+00, 1.475425342247556504e+00, 2.749642371474776414e+00, 3.813499769189515387e+00, 2.474240030081492847e+00, 1.916649142228888936e+00, 1.974538247294704396e+00, 2.365316959376937866e+00, 3.483848663690822800e+00, 2.149375691799011445e+00, 3.310373439643097715e+00
2.026000000000000000e+03, 2.309816616877712114e+00, 2.503968184383178475e+00, 3.415265459147184934e+00, 2.418199357351829448e+00, 3.957108760649046708e+00, 3.050965768325590410e+00, 1.187401068105085944e+00, 2.565559756531400115e+00, 3.230912239106733530e+00, 2.380003319310723509e+00, 1.864342448654838114e+00, 3.068529892616273624e+00, 3.009376230811450892e+00, 3.429632231013905130e+00, 2.039094171475733575e+00, 3.403043034234465747e+00
2.027000000000000000e+03, 2.386629457582053693e+00, 2.294879759312363987e+00, 4.005324985534770121e+00, 2.732575548614065930e+00, 3.664183355684889509e+00, 2.705583558524991439e+00, 1.561384706211764062e+00, 2.900021499041994133e+00, 2.834302969127240779e+00, 2.873641200980177057e+00, 2.618071715132738841e+00, 2.488912609871838821e+00, 2.955785655537048306e+00, 3.069969215841611199e+00, 1.705734582810274347e+00, 3.365953847289550271e+00
2.028000000000000000e+03, 2.428076601776342880e+00, 2.254633794881848896e+00, 3.639700802200170671e+00, 2.351402653365902040e+00, 4.058255977291914007e+00, 3.710955816157895715e+00, 1.244823758646319112e+00, 2.745123968505441603e+00, 3.505604270607852513e+00, 1.825369187942005533e+00, 2.228110127885646108e+00, 3.101529766355668016e+00, 2.620985920800721125e+00, 2.923972551118375840e+00, 2.018243857287633336e+00, 3.175461880122686598e+00
2.029000000000000000e+03, 2.292663723373941309e+00, 2.526801476061126817e+00, 3.497928211910782181e+00, 2.494602258756567270e+00, 3.605022603971819617e+00, 2.504114024519008996e+00, 1.367881694753458666e+00, 3.061649523196717571e+00, 3.413486509713491657e+00, 2.831892784696645737e+00, 2.116579957377964227e+00, 3.112526662739019567e+00, 2.715622884841529139e+00, 3.656496540279128293e+00, 2.164184535248058427e+00, 3.312637472854008891e+00
2.030000000000000000e+03, 2.354361244705641010e+00, 1.946964880907322115e+00, 3.710444850987076659e+00, 2.644862547701834377e+00, 3.654480786307937823e+00, 3.775817948454359030e+00, 1.562058532361265240e+00, 3.345726526549227309e+00, 3.643792406410271578e+00, 3.335693906039483014e+00, 1.878486331774571694e+00, 2.912373736251854695e+00, 2.613266299353845135e+00, 3.099466609002228701e+00, 1.979387396853959480e+00, 3.464676791368404896e+00
2.031000000000000000e+03, 2.642924472082864185e+00, 2.241942440148944282e+00, 3.578361526885976307e+00, 2.798898116940491398e+00, 3.563702152488839481e+00, 3.613425667069459557e+00, 1.332574898258098939e+00, 2.447421938292936527e+00, 3.469966903035013761e+00, 2.190236634265149807e+00, 2.355527251079402085e+00, 2.343393122743632428e+00, 2.798495684674660922e+00, 3.272357819560915981e+00, 2.152096525709420671e+00, 3.852270818294967647e+00
2.032000000000000000e+03, 2.645065530419378419e+00, 2.379987563630615366e+00, 4.019101543998518267e+00, 2.216370346143001324e+00, 3.400630778260996578e+00, 2.878686974805193977e+00, 1.203498124787304668e+00, 2.632692894910041215e+00, 3.619690925304640761e+00, 2.416326324981745710e+00, 2.151348511557131804e+00, 3.001037225107980877e+00, 2.337087327735377862e+00, 3.843256908468751565e+00, 2.486731336857741503e+00, 3.080413523278206611e+00
2.033000000000000000e+03, 2.393604901320638856e+00, 2.018610808510063581e+00, 3.832872777888626903e+00, 2.595066155550688869e+00, 3.741162936010368867e+00, 2.850874255352194186e+00, 1.074357917263190298e+00, 2.551766239643717515e+00, 3.215215365750017540e+00, 3.782671565675126857e+00, 2.522773157153570533e+00, 2.896912695763564916e+00, 2.682790370268694602e+00, 3.207651505525243696e+00, 2.112290221219697006e+00, 3.325287004676291236e+00
