year, NorESM2-LM, TaiESM1, ACCESS-ESM1-5, IPSL-CM6A-LR, CNRM-ESM2-1, NorESM2-MM, UKESM1-0-LL, CESM2-WACCM, GFDL-ESM4, MIROC-ES2L, CanESM5, EC-Earth3-Veg, MPI-ESM1-2-LR, CMCC-CM2-SR5
2.015000000000000000e+03, 9.187835961388958195e-01, 1.416524008268380541e+00, 8.749338100176969890e-01, 1.041597166143201747e+00, 1.513191732488672336e+00, 9.838292339566958589e-01, 1.291558019987715467e+00, 1.069309669375995364e+00, 8.796515760275100959e-01, 1.455822871520062733e+00, 3.836373932086355243e+00, 1.056259854878821569e+00, 1.506111040277978486e+00, 1.376954813972884217e+00
2.016000000000000000e+03, 9.166213682708796995e-01, 1.197695912302638943e+00, 8.824979992442366639e-01, 1.018440906157650705e+00, 1.346677875157462179e+00, 1.034940989017972601e+00, 1.361981928605104031e+00, 1.111994130889731203e+00, 8.772613282691142933e-01, 1.359465535212731835e+00, 3.639754887467568700e+00, 1.039937822741466622e+00, 1.440471590221536147e+00, 1.535388908589671253e+00
2.017000000000000000e+03, 9.329197631918578759e-01, 1.375525241347196337e+00, 9.161390406468743475e-01, 9.407110050742671925e-01, 1.377825106802267996e+00, 1.057208087776072336e+00, 1.408977318555020730e+00, 1.014356128939323254e+00, 8.895302052905874612e-01, 1.372450845446921752e+00, 4.203939214641692956e+00, 1.067167751459424441e+00, 1.531937462525362559e+00, 1.259812570559735612e+00
2.018000000000000000e+03, 8.795569756328662780e-01, 1.348146313054410239e+00, 9.107742470166840798e-01, 9.483276928036291631e-01, 1.603151497851462048e+00, 1.015553503475083108e+00, 1.318527138006355015e+00, 1.008577692782073987e+00, 8.673993484081304883e-01, 1.382908174960872261e+00, 3.876805926123287893e+00, 1.111844409880887508e+00, 1.482526413310168101e+00, 1.435170141532325028e+00
2.019000000000000000e+03, 9.714231975064365754e-01, 1.394263134531275927e+00, 8.958892124842429139e-01, 9.865347865691878049e-01, 1.445200428194685749e+00, 1.102178577741223187e+00, 1.422522238921982929e+00, 1.153286193081684896e+00, 9.211308465177762139e-01, 1.482187439120472128e+00, 3.679746466079612421e+00, 1.076709081814456237e+00, 1.315403063886731116e+00, 1.472718257244038265e+00
2.020000000000000000e+03, 9.815012987269732259e-01, 1.263809794500509787e+00, 9.057604493032339610e-01, 9.480041142090348538e-01, 1.640654329565458980e+00, 1.021492097471280447e+00, 1.353369152855612434e+00, 1.067726371341581881e+00, 9.121490411917827501e-01, 1.424675922482409041e+00, 4.560131242441664234e+00, 1.088016800093577929e+00, 1.271048323443260575e+00, 1.296507164755994701e+00
2.021000000000000000e+03, 9.415958297990579817e-01, 1.391714519763604052e+00, 9.027997125862043948e-01, 9.458276147261843736e-01, 1.630401317679078588e+00, 1.122395065307765671e+00, 1.487037251597327359e+00, 1.072823638471580576e+00, 8.624506816217453187e-01, 1.398879191194727811e+00, 4.089555650163975820e+00, 1.125042478121151435e+00, 1.315460171505046238e+00, 1.518787958393651660e+00
2.022000000000000000e+03, 8.988997843265916776e-01, 1.446051962888535547e+00, 8.814052655059053665e-01, 1.026457230295436451e+00, 1.656290585014180472e+00, 1.139453370235927965e+00, 1.281161843424688529e+00, 1.188624485937681108e+00, 8.644638736713690097e-01, 1.412043643576356367e+00, 4.070171522952684917e+00, 1.159126941640290509e+00, 1.365241683298336506e+00, 1.406691208122865300e+00
2.023000000000000000e+03, 9.782873959691752441e-01, 1.372493897028646437e+00, 9.089255329480183665e-01, 1.009536546692628711e+00, 1.647500994204883273e+00, 1.069693002654765968e+00, 1.345485148345856752e+00, 1.107322409707719890e+00, 8.933393083126688339e-01, 1.421693150107509407e+00, 3.953022136079147764e+00, 1.110391008077872943e+00, 1.377717461182565550e+00, 1.427340304796182791e+00
2.024000000000000000e+03, 9.693139363156967336e-01, 1.392602941586894572e+00, 9.026852239362413988e-01, 1.103114498734168780e+00, 1.468279937160901216e+00, 1.055564637960828778e+00, 1.372444779134657677e+00, 9.741533853947191846e-01, 9.043129524252305762e-01, 1.449462414955671630e+00, 4.146406998702143021e+00, 1.122373783526118940e+00, 1.630531041543269444e+00, 1.303932537001556424e+00
2.025000000000000000e+03, 1.032193268425675381e+00, 1.406461806317206964e+00, 9.079192200843635430e-01, 1.016879036541025849e+00, 1.546060368280228969e+00, 9.107726533654513235e-01, 1.345192435847674561e+00, 1.190810867079424629e+00, 8.854811903956260055e-01, 1.442478020653589432e+00, 3.989559590422573354e+00, 1.099678735732952717e+00, 1.495446209145362637e+00, 1.454818947150015918e+00
2.026000000000000000e+03, 1.006950788161866894e+00, 1.517872269792974516e+00, 9.284706052490461214e-01, 9.624098969292413930e-01, 1.529040383475128717e+00, 1.146692622547577312e+00, 1.374519713091564954e+00, 1.156727574770752165e+00, 8.660196544317456668e-01, 1.395089584594265908e+00, 3.912574121687095285e+00, 1.095000492241621215e+00, 1.410800230531018995e+00, 1.721157294884792410e+00
2.027000000000000000e+03, 1.092902996851506492e+00, 1.273212585241897843e+00, 9.241481642750506431e-01, 1.029313855567396629e+00, 1.498286193620274265e+00, 1.012618124024214916e+00, 1.242945604690194106e+00, 1.068160938022835627e+00, 8.772025993581649139e-01, 1.392351211297321312e+00, 4.314322861971602308e+00, 1.084428454640561368e+00, 1.690145479447038745e+00, 1.503696042743670525e+00
2.028000000000000000e+03, 9.050531747877746946e-01, 1.371417247980914134e+00, 9.303509306313523242e-01, 1.054171482273448479e+00, 1.545415190823485441e+00, 1.181346273519146228e+00, 1.300907116870923641e+00, 1.186733413533006765e+00, 8.560553611735115531e-01, 1.457833496077801438e+00, 3.901210647300977108e+00, 1.114578440972006756e+00, 1.602072645705006071e+00, 1.609927531052023353e+00
2.029000000000000000e+03, 1.069881169666402121e+00, 1.559894752815758734e+00, 9.444635058708485964e-01, 1.004070923499037260e+00, 1.597167974969561532e+00, 1.164136457724809448e+00, 1.340709610483259873e+00, 1.073967105254836518e+00, 8.492108116157239817e-01, 1.485448106718276984e+00, 3.962772989436198934e+00, 1.200971569412708106e+00, 1.529144059993753357e+00, 1.337412770722421484e+00
2.030000000000000000e+03, 1.114999778380444617e+00, 1.399775651644477925e+00, 9.165596141443416167e-01, 9.566409475237266369e-01, 1.659406665439401740e+00, 1.118310783918643914e+00, 1.279465478614012719e+00, 1.228716283471575021e+00, 8.251599063417960345e-01, 1.442731542714053239e+00, 4.324033073941158989e+00, 1.165168237599029988e+00, 1.462678876344610357e+00, 1.664730753928661322e+00
2.031000000000000000e+03, 9.726610101112149742e-01, 1.340109656257584492e+00, 9.209698724274372195e-01, 1.019034965047585173e+00, 1.476042578870833566e+00, 1.082961995477331074e+00, 1.286371071658979570e+00, 1.295714756555320424e+00, 7.873675601538091540e-01, 1.404113710818912786e+00, 4.021375468348337812e+00, 1.129076449821042161e+00, 1.613780946546273798e+00, 1.374064507215189801e+00
2.032000000000000000e+03, 1.039429429851094433e+00, 1.351722695695033449e+00, 9.231407227629814249e-01, 9.810035249152287973e-01, 1.447928572082131105e+00, 1.141909021856668094e+00, 1.459068121424746289e+00, 1.149398382628999737e+00, 7.861955582103481444e-01, 1.441320451028216931e+00, 3.838702942963306164e+00, 1.196989840133831917e+00, 1.572061867563687043e+00, 1.518349989859751004e+00
2.033000000000000000e+03, 1.196114391521976517e+00, 1.362898900543400904e+00, 9.253671118818324048e-01, 1.050640903053295716e+00, 1.427152283779216990e+00, 1.105919272209570980e+00, 1.364771688680950446e+00, 1.162457375169436702e+00, 8.145013237840544873e-01, 1.464046819178981940e+00, 3.801012575706139263e+00, 1.219416131483472832e+00, 1.648275170342216711e+00, 1.496084314926936942e+00
2.034000000000000000e+03, 1.008692830940450813e+00, 1.509193752739094840e+00, 9.262630155145992195e-01, 1.039376592153819612e+00, 1.525480803657812467e+00, 1.186103650820609090e+00, 1.356947236006773805e+00, 1.211100378664504484e+00, 7.791599122449559545e-01, 1.546231458072717224e+00, 4.247089764685039626e+00, 1.196580047618420073e+00, 1.841235061323760025e+00, 1.594067116672955198e+00
2.035000000000000000e+03, 1.068647058210265177e+00, 1.415499496480730368e+00, 9.107640699740483514e-01, 1.046074126822544192e+00, 1.562550802966744978e+00, 1.215514559290622465e+00, 1.362639041061646017e+00, 1.115341232357047740e+00, 7.900388267367575157e-01, 1.474689285321779675e+00, 4.173573910855140845e+00, 1.212874963212068558e+00, 1.600117666785237924e+00, 1.385958971317053923e+00
2.036000000000000000e+03, 1.023904211141287490e+00, 1.376217364135950971e+00, 9.315257218575966336e-01, 1.023825909943899770e+00, 1.749369372772663134e+00, 1.090930744232835758e+00, 1.224886208774185192e+00, 1.242577173804906510e+00, 7.969981551541733822e-01, 1.474598865778977030e+00, 4.244602735586840758e+00, 1.207297816398467338e+00, 1.663212482479545784e+00, 1.572854699042427917e+00
2.037000000000000000e+03, 9.008965387484637599e-01, 1.281866446481742416e+00, 9.833383201046905775e-01, 9.698657006143990289e-01, 1.627374105337902943e+00, 1.103538890767926661e+00, 1.327654528586980964e+00, 1.149357920489602281e+00, 7.829198447119180004e-01, 1.444005660010084124e+00, 4.159179273918024222e+00, 1.170987011654974541e+00, 1.737796364010629091e+00, 1.619488884641640425e+00
2.038000000000000000e+03, 1.048668061928945905e+00, 1.426259820420754165e+00, 1.013569372337285390e+00, 9.267154460186849407e-01, 1.718155759611970756e+00, 1.228339880731571077e+00, 1.517621975424176872e+00, 1.157211681936583414e+00, 7.910992935787196645e-01, 1.514128396120065556e+00, 4.059682329134869150e+00, 1.169013470759383333e+00, 1.681739558743388985e+00, 1.527064566046379746e+00
2.039000000000000000e+03, 1.021282105629181869e+00, 1.481392735416894535e+00, 9.807522485404664980e-01, 1.045785770630814238e+00, 1.442769126770597099e+00, 1.127937811546637636e+00, 1.416050380525625929e+00, 1.174126159660257462e+00, 8.465689517496419736e-01, 1.518553405214144503e+00, 4.174686532390114557e+00, 1.189682657268893218e+00, 1.683026821412761054e+00, 1.398450074040185731e+00
2.040000000000000000e+03, 1.046739667530750317e+00, 1.607383802509225301e+00, 1.008191111724855649e+00, 1.123560989295871559e+00, 1.675697944048135435e+00, 1.066076696861796069e+00, 1.423043874365573114e+00, 1.106361354408157416e+00, 8.450273687013303281e-01, 1.471001276452359674e+00, 4.479560966361732177e+00, 1.210129049414266689e+00, 1.746409187417387487e+00, 1.598634094460492427e+00
2.041000000000000000e+03, 1.128889678263049756e+00, 1.374441235046689247e+00, 9.852600473605871434e-01, 1.044376319018075039e+00, 1.441440205514250783e+00, 1.152494130300410591e+00, 1.437192049229182977e+00, 1.265538571414998259e+00, 8.284490224916404300e-01, 1.453899535619876726e+00, 4.007511613964135577e+00, 1.240865946519466023e+00, 1.717111363271353719e+00, 1.302274199276097555e+00
2.042000000000000000e+03, 9.616667084246618424e-01, 1.283027022835309783e+00, 9.733270027015139547e-01, 1.044966634847013909e+00, 1.643193979761638168e+00, 1.099509538168278455e+00, 1.308040115996926822e+00, 1.100496556843629570e+00, 7.964604261269694341e-01, 1.484402484503209330e+00, 3.684465446123785348e+00, 1.235276924278743138e+00, 1.625095231737800683e+00, 1.482713715200885796e+00
2.043000000000000000e+03, 1.152544190870528951e+00, 1.545335762787586331e+00, 1.001045630295918532e+00, 1.108103985024378124e+00, 1.627995873832843499e+00, 1.119298782998049413e+00, 1.423373645849396407e+00, 1.174448263134369563e+00, 7.810976158645921430e-01, 1.552382868333984201e+00, 4.456613749983435291e+00, 1.142489699985998142e+00, 1.612589615836584001e+00, 1.690471374685012629e+00
2.044000000000000000e+03, 1.137703366369898772e+00, 1.505356227597845153e+00, 9.983331091445292182e-01, 1.134309212849230475e+00, 1.643435879426871304e+00, 1.165110900815610639e+00, 1.408305245814365447e+00, 1.247177861232425800e+00, 8.235924712714710605e-01, 1.506730704077458682e+00, 4.747132581118404637e+00, 1.220533527349489944e+00, 1.527225909986528185e+00, 1.474730891345901851e+00
2.045000000000000000e+03, 1.122760169899082117e+00, 1.280120662322053793e+00, 9.789089861069202314e-01, 1.072782277522636996e+00, 1.555822076878131455e+00, 1.023522066756330728e+00, 1.506909718795799380e+00, 1.155339430635438314e+00, 8.472976719364083698e-01, 1.494420120921537976e+00, 4.250144189068666201e+00, 1.240370375004489434e+00, 1.722249681058533488e+00, 1.544591451691268436e+00
2.046000000000000000e+03, 1.145137074305756064e+00, 1.350457318012678876e+00, 9.502480384474450981e-01, 1.136405799359920366e+00, 1.653678243080747290e+00, 1.075948708209648830e+00, 1.569553623593901603e+00, 1.145577999176782491e+00, 8.314009142465661473e-01, 1.499662595578257873e+00, 4.431655010652567839e+00, 1.162660134024738889e+00, 1.674041458001337634e+00, 1.676102634797646873e+00
2.047000000000000000e+03, 1.075705344294043408e+00, 1.499688732404595992e+00, 9.289584531355229435e-01, 1.120910524561421040e+00, 1.462558083659103891e+00, 1.084650779096654194e+00, 1.477222705906710232e+00, 1.126027144432168559e+00, 8.465341544432020138e-01, 1.566820625463455574e+00, 4.585770659144206896e+00, 1.191418444752268213e+00, 1.679638251809984162e+00, 1.544145863507382366e+00
2.048000000000000000e+03, 1.145981670878906566e+00, 1.462752934875320321e+00, 9.713177313496736964e-01, 1.039738255176557935e+00, 1.598438728638103212e+00, 1.262264591232592492e+00, 1.644766210985982191e+00, 1.089663473831144813e+00, 8.542792761730979567e-01, 1.543601808753046312e+00, 4.154160904393701337e+00, 1.275310643774266062e+00, 1.532415807450302925e+00, 1.529042459609200932e+00
2.049000000000000000e+03, 1.109102611268746985e+00, 1.434400594872413670e+00, 9.780279748580537058e-01, 1.072983197804310729e+00, 1.413599161600312071e+00, 1.197699563695602043e+00, 1.400692570972024376e+00, 1.093694702784612449e+00, 8.460731234328592310e-01, 1.498458124819308956e+00, 4.149793030480756428e+00, 1.177863773431168992e+00, 1.712747030438077855e+00, 1.523955557686599294e+00
2.050000000000000000e+03, 1.193469884371864298e+00, 1.301417543606790295e+00, 1.004819426673250637e+00, 1.081391196358891582e+00, 1.555223649869081237e+00, 1.159424677893561073e+00, 1.437105889643755630e+00, 1.216890353544098913e+00, 8.133672072163913302e-01, 1.541980505259752832e+00, 4.627668481212583451e+00, 1.155193622740494419e+00, 1.551119824324610041e+00, 1.512799045238667928e+00
2.051000000000000000e+03, 1.245577272206090713e+00, 1.602870648770933215e+00, 9.797184845685334986e-01, 1.090000611306523481e+00, 1.496048139040101033e+00, 1.237843369014929751e+00, 1.419674274225226407e+00, 1.102587845777324826e+00, 8.316805309561398074e-01, 1.565602388235538545e+00, 4.593986061573346547e+00, 1.197286433549023199e+00, 1.541164111072152121e+00, 1.588595972882067775e+00
