year, CESM2-WACCM, EC-Earth3-Veg, CMCC-CM2-SR5, MIROC-ES2L, MPI-ESM1-2-LR, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, ACCESS-ESM1-5
2.015000000000000000e+03, 5.925826655098819229e-01, 1.324355227885137647e-02, 3.755791297385470129e-01, 1.071084445626454551e+00, 8.346868883686832108e-01, 1.715653693290005572e-04, 1.576218836763899206e-02, 1.699547040105728601e-01, 2.184123780946701232e-01
2.016000000000000000e+03, 5.907462755666677001e-01, 1.440850737641410570e-02, 3.786514302898617568e-01, 1.091078407350357882e+00, 8.327723946034313318e-01, 2.979472819071411977e-04, 3.004765779509212600e-02, 1.759703827315547975e-01, 2.967037332545254813e-01
2.017000000000000000e+03, 5.942070074967191751e-01, 1.565942021455031877e-02, 3.858466487478230955e-01, 1.109457741923865592e+00, 8.164017741198061895e-01, 3.648917574242927192e-04, 4.182310709278071192e-02, 1.811112683552668357e-01, 3.192056678522430802e-01
2.018000000000000000e+03, 5.975259173593800988e-01, 1.707866461203832315e-02, 3.942426947488441580e-01, 1.124919340051567795e+00, 8.256505697455407411e-01, 4.018849585662841043e-04, 5.209457820437358305e-02, 1.855477457939074537e-01, 3.436639520977311513e-01
2.019000000000000000e+03, 5.999634213065175858e-01, 1.854277375725452842e-02, 4.026299876805520817e-01, 1.137867504393009765e+00, 8.171661102840385160e-01, 4.202312501599171093e-04, 6.085821114914743979e-02, 1.900369240286997330e-01, 3.667905150097832134e-01
2.020000000000000000e+03, 6.052905119254008426e-01, 2.026137358590985107e-02, 4.113315932624991289e-01, 1.136148910029683989e+00, 8.056518925280860000e-01, 4.141898653639154281e-04, 6.771378229750589506e-02, 1.941623175150040681e-01, 3.877796957423800817e-01
2.021000000000000000e+03, 6.031294425865090236e-01, 2.118223478712959532e-02, 4.199672391750663425e-01, 1.137466863402183170e+00, 8.500901765989743453e-01, 3.802942576262390690e-04, 7.090352258607174329e-02, 1.971089809126946868e-01, 4.005386833136168057e-01
2.022000000000000000e+03, 6.023034921948112741e-01, 2.226860445640806499e-02, 4.273254986250371035e-01, 1.280882230175623970e+00, 8.889724611416692790e-01, 3.819632517171952396e-04, 7.310590359725492593e-02, 2.000239704459048362e-01, 4.137733031119656957e-01
2.023000000000000000e+03, 5.989394003898047547e-01, 2.427524591578571200e-02, 4.291639442794467629e-01, 1.397999208317580511e+00, 8.892283438150392350e-01, 3.721471485944626077e-04, 7.429504271006230620e-02, 2.014391973224352872e-01, 4.269508468764874332e-01
2.024000000000000000e+03, 5.982116710500090528e-01, 2.689605209571913069e-02, 4.248759996397978300e-01, 1.467863119167183594e+00, 8.938879701837864067e-01, 4.897498436280509244e-04, 7.481236437049297583e-02, 2.025725931034794147e-01, 4.398624380145529922e-01
2.025000000000000000e+03, 6.035369974905915313e-01, 2.906669112621008966e-02, 4.190015864007085034e-01, 1.499702467682239693e+00, 9.038859949397463067e-01, 6.093021920990941611e-04, 7.352236266849120072e-02, 2.039879905192850951e-01, 4.524574122542409649e-01
2.026000000000000000e+03, 6.054890017279880299e-01, 3.016310330510765803e-02, 4.126062522373540320e-01, 1.522718767975601573e+00, 9.055494189472492739e-01, 1.075641516689842397e-03, 6.825696988714331781e-02, 2.031419607531478599e-01, 4.504201928201429506e-01
2.027000000000000000e+03, 6.031906833763587272e-01, 3.123308781771761897e-02, 4.060113728998526184e-01, 1.537831784318876016e+00, 9.180472065295489648e-01, 1.667333156961702759e-03, 6.431574540243070737e-02, 2.032670835483949001e-01, 4.493748504801924892e-01
2.028000000000000000e+03, 6.011969335633311484e-01, 3.231965488696330463e-02, 4.003024090905419885e-01, 1.542590933372760320e+00, 9.198962803214023598e-01, 2.125687888753106936e-03, 6.100659614333039937e-02, 2.030924308172246950e-01, 4.490720994392339849e-01
