year, NorESM2-MM, IPSL-CM6A-LR, MIROC-ES2L, CMCC-CM2-SR5, NorESM2-LM, CESM2-WACCM, EC-Earth3-Veg, CNRM-ESM2-1, UKESM1-0-LL, ACCESS-ESM1-5, TaiESM1, MPI-ESM1-2-LR, CanESM5
2.015000000000000000e+03, 1.408017603155713182e+01, 1.058832864338324242e+01, 1.610205929913216849e+01, 4.160481143706027751e+01, 1.426396230711754143e+01, 1.402014983032364803e+01, 2.678835188312606164e+01, 3.769349608429554621e+01, 3.218130210373060152e+01, 1.309151059917626014e+01, 1.276996661715305059e+01, 1.402655259150506595e+01, 2.256838139046803349e+01
2.016000000000000000e+03, 1.411005054770290634e+01, 1.059322543974578146e+01, 1.611448225034144954e+01, 4.172730080918604756e+01, 1.429756552423217819e+01, 1.407598292283071117e+01, 2.678920670552437144e+01, 3.773794916524549592e+01, 3.221149803928316402e+01, 1.309518630336235567e+01, 1.272511778970630836e+01, 1.407070743675114954e+01, 2.257546345474832705e+01
2.017000000000000000e+03, 1.413385925133051124e+01, 1.061102919101131192e+01, 1.615588534279166666e+01, 4.176139765708570906e+01, 1.434662609569708103e+01, 1.411563583448082326e+01, 2.680012777120920475e+01, 3.781526307811801502e+01, 3.225436227609860396e+01, 1.310334987853361888e+01, 1.269412370471958695e+01, 1.402844071040114748e+01, 2.258941316589934445e+01
2.018000000000000000e+03, 1.417844131446038958e+01, 1.061849957859664073e+01, 1.620575232810426414e+01, 4.175942559158061584e+01, 1.438218288806435652e+01, 1.415228612525072194e+01, 2.682094913344878151e+01, 3.783344458412094014e+01, 3.231615779656630139e+01, 1.311625657316937854e+01, 1.256298136621057360e+01, 1.404659524873903287e+01, 2.259915995526164423e+01
2.019000000000000000e+03, 1.421462438258435057e+01, 1.063496912904501102e+01, 1.622515971535492696e+01, 4.184578611031487583e+01, 1.441421066843251531e+01, 1.418985840945444643e+01, 2.684524135296323522e+01, 3.787848726121364251e+01, 3.231386541204057750e+01, 1.314070337167982139e+01, 1.261174555665933639e+01, 1.410953787152998018e+01, 2.260326508684150681e+01
2.020000000000000000e+03, 1.424424365811906412e+01, 1.065149161538806588e+01, 1.621620168203424228e+01, 4.194632400389367177e+01, 1.443354381783316498e+01, 1.421587007798907187e+01, 2.685567741610531911e+01, 3.790957678130882158e+01, 3.235921715222436035e+01, 1.315249415945724998e+01, 1.275098598770674840e+01, 1.404762095189930626e+01, 2.263149049568903237e+01
2.021000000000000000e+03, 1.427312774672780904e+01, 1.065226304936426516e+01, 1.619610336251375671e+01, 4.200702597805031502e+01, 1.446611226337300415e+01, 1.426625788315033994e+01, 2.683997534304758403e+01, 3.799569201260003126e+01, 3.239236481049430694e+01, 1.315918535157554636e+01, 1.267380424816705009e+01, 1.409790246839637007e+01, 2.262831539321847529e+01
2.022000000000000000e+03, 1.429056926081373469e+01, 1.067019912549466376e+01, 1.618767624758389090e+01, 4.207889828695142143e+01, 1.450502699774942172e+01, 1.431223175261559888e+01, 2.683451991363053679e+01, 3.803624612074917621e+01, 3.247192282332972724e+01, 1.317756540166437951e+01, 1.267574784734718207e+01, 1.416011682035940211e+01, 2.264604834916730525e+01
2.023000000000000000e+03, 1.431906284255533102e+01, 1.068495718939954209e+01, 1.616719947641674437e+01, 4.207035829207953270e+01, 1.452525743388441093e+01, 1.436126361001180385e+01, 2.684895165954582907e+01, 3.808136682022491470e+01, 3.248022965624478786e+01, 1.320799146703533822e+01, 1.276584782895217174e+01, 1.417405859258288814e+01, 2.263754685608508055e+01
2.024000000000000000e+03, 1.436835305226780868e+01, 1.068986153668312689e+01, 1.613074188484487692e+01, 4.197407136250244264e+01, 1.453665469783857311e+01, 1.439623675452805429e+01, 2.687462335441259853e+01, 3.811125640752779731e+01, 3.250200176352539216e+01, 1.323098065340949958e+01, 1.283598505079653940e+01, 1.420396383447319977e+01, 2.260388043842116090e+01
2.025000000000000000e+03, 1.441844665663277247e+01, 1.070612120866876715e+01, 1.609354081847638085e+01, 4.208180816379990574e+01, 1.456449227516777256e+01, 1.443171724022101898e+01, 2.687724712015065620e+01, 3.815079427204349827e+01, 3.253592151264058430e+01, 1.324190136232920167e+01, 1.287046044822921154e+01, 1.426470890578499251e+01, 2.261631084150808135e+01
2.026000000000000000e+03, 1.445831179770807928e+01, 1.071087098686562022e+01, 1.607002912344044532e+01, 4.224361909984491348e+01, 1.461309932966596037e+01, 1.447719682892167192e+01, 2.685743488192489181e+01, 3.818045733017631704e+01, 3.252939925874558469e+01, 1.326020439082841129e+01, 1.284725254907934655e+01, 1.424105177006474143e+01, 2.262280309968627634e+01
2.027000000000000000e+03, 1.449233439213319130e+01, 1.073834051080915764e+01, 1.606314039484195888e+01, 4.234408991356647078e+01, 1.466366274126163205e+01, 1.452290727157182637e+01, 2.684318627538355528e+01, 3.818827397057335560e+01, 3.250581553860135386e+01, 1.326693692394382218e+01, 1.286074779055685191e+01, 1.426591379958916939e+01, 2.260141786014952459e+01
2.028000000000000000e+03, 1.454008964021246264e+01, 1.076152724238638925e+01, 1.608094729516338006e+01, 4.234702087804071624e+01, 1.470890543524671124e+01, 1.457348389199756156e+01, 2.683663596268962692e+01, 3.825509165768693975e+01, 3.247510887056446904e+01, 1.328216368660633506e+01, 1.288178550854894944e+01, 1.430799631825141027e+01, 2.260114605087944639e+01
2.029000000000000000e+03, 1.455822182502069495e+01, 1.075632763713011641e+01, 1.606602397833145446e+01, 4.229051363161121913e+01, 1.472476993194973360e+01, 1.460256048743966240e+01, 2.683619055474827775e+01, 3.828381838684339300e+01, 3.238230705507038465e+01, 1.331009532629270886e+01, 1.288609854014000433e+01, 1.433283572877435041e+01, 2.260758759159269360e+01
2.030000000000000000e+03, 1.457826022479424566e+01, 1.074146820549369785e+01, 1.604106072470361255e+01, 4.228711734410459400e+01, 1.475137166980485581e+01, 1.462637433667197584e+01, 2.684061324460723341e+01, 3.834976282304550210e+01, 3.234214527035516085e+01, 1.333254978903782018e+01, 1.290854993110425752e+01, 1.433923639624279289e+01, 2.261459147971351413e+01
2.031000000000000000e+03, 1.460409937086153853e+01, 1.073913983308001008e+01, 1.602685308854418267e+01, 4.246327875517413730e+01, 1.479701291374299643e+01, 1.467624734688835986e+01, 2.683513512766348441e+01, 3.838049597568375759e+01, 3.233583740885830338e+01, 1.335775787945551230e+01, 1.290771047298015084e+01, 1.433913640337073048e+01, 2.260515291952516748e+01
