year, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM
2.015000000000000000e+03, 1.155799963952744914e-09, 9.977310356009481997e-11, -2.824201234113830707e-09, 4.779766531004846991e-10
2.016000000000000000e+03, 1.251997010395617881e-09, 4.319511051762310395e-10, -3.178616002217527600e-09, 4.649211356632418143e-10
2.017000000000000000e+03, 1.589430425987333627e-09, 4.498670109784978340e-10, -3.002725098715023432e-09, 4.628895238136354845e-10
2.018000000000000000e+03, 1.407722167469117173e-09, 4.703273588447552079e-10, -3.247835174706953419e-09, 4.606140436324168667e-10
2.019000000000000000e+03, 1.384534687289158300e-09, 4.850780654544754735e-10, -3.410345892390626839e-09, 4.575321585588330767e-10
2.020000000000000000e+03, 1.429138268892916808e-09, 5.033551714394861695e-10, -3.223908686430449348e-09, 4.542771072203911310e-10
2.021000000000000000e+03, 1.725417057341452841e-09, 4.147697524841317698e-10, -3.403803272551214496e-09, 4.458223923167827768e-10
2.022000000000000000e+03, 1.452121201194571554e-09, 4.433586690750401015e-10, -3.645990613681676856e-09, 4.420184631216322954e-10
2.023000000000000000e+03, 1.555630179393946385e-09, 4.577233626372455322e-10, -3.481867594607658962e-09, 4.379625832789879136e-10
2.024000000000000000e+03, 1.827281880634413017e-09, 4.819824840005105629e-10, -3.559099850934006643e-09, 4.351003941763698314e-10
2.025000000000000000e+03, 1.745319773065749867e-09, 4.950429369763748037e-10, -3.491481737680774904e-09, 4.326019991726448542e-10
2.026000000000000000e+03, 1.438201020376663983e-09, 3.420073521642331562e-10, -3.884819580707833776e-09, 4.398050187403883354e-10
2.027000000000000000e+03, 1.411422159993515709e-09, 3.583263696890418213e-10, -4.275660878129075745e-09, 4.393989247439438333e-10
2.028000000000000000e+03, 1.284637102774289460e-09, 3.568423559176379062e-10, -3.288538140396288465e-09, 4.380292096350998530e-10
2.029000000000000000e+03, 1.424332400774568329e-09, 3.673314434366946489e-10, -2.957824401508567937e-09, 4.369517674911269273e-10
2.030000000000000000e+03, 1.529043855773963362e-09, 3.658157635789263916e-10, -3.053382538670953400e-09, 4.362525640967597877e-10
2.031000000000000000e+03, 1.512427831860247275e-09, 2.793169718200141920e-10, -3.987273180313772069e-09, 4.450831407908958238e-10
2.032000000000000000e+03, 1.782564220086032652e-09, 2.715613952894718565e-10, -3.625995441225191018e-09, 4.434329952615213102e-10
2.033000000000000000e+03, 1.861390908042759812e-09, 2.680939982922633792e-10, -3.571181423968872327e-09, 4.415681028899540145e-10
2.034000000000000000e+03, 1.674797914827035669e-09, 2.546647759453226831e-10, -4.051592834089266680e-09, 4.399501217073635804e-10
2.035000000000000000e+03, 1.650423754596284422e-09, 2.308221105984212299e-10, -3.090065346698157239e-09, 4.413418306730584413e-10
2.036000000000000000e+03, 1.548341343366445827e-09, 2.167766565212406852e-10, -3.851667898513900081e-09, 4.347620749405055470e-10
2.037000000000000000e+03, 1.372885653354062350e-09, 2.179748623209892461e-10, -3.775228259379775535e-09, 4.337534112047728640e-10
2.038000000000000000e+03, 1.445616661808760926e-09, 2.138270359269034142e-10, -3.689173745694297795e-09, 4.321780345799523443e-10
2.039000000000000000e+03, 1.335742060252745714e-09, 2.102542101216450886e-10, -3.723795681251724126e-09, 4.293881680421368701e-10
2.040000000000000000e+03, 1.757178407344219262e-09, 2.045274909331439763e-10, -4.042163183064145955e-09, 4.277651525701913186e-10
2.041000000000000000e+03, 1.893195902673400563e-09, 2.276683960492741463e-10, -3.705773287527326871e-09, 4.323238621327384802e-10
2.042000000000000000e+03, 1.876885772983956550e-09, 2.268003813529582145e-10, -3.623452339729353550e-09, 4.321773101036387631e-10
2.043000000000000000e+03, 2.055488268618242193e-09, 2.222109457368141780e-10, -3.678250481465247325e-09, 4.300955542261424412e-10
2.044000000000000000e+03, 2.106844321326602020e-09, 2.251557068002374180e-10, -3.928786852181000511e-09, 4.275559712193332487e-10
2.045000000000000000e+03, 1.763640129689538108e-09, 2.262089898355584703e-10, -3.634301092220705578e-09, 4.265029721242504481e-10
2.046000000000000000e+03, 1.648095088854851958e-09, 1.917788498703674638e-10, -3.778543176112965560e-09, 4.211227480180808227e-10
2.047000000000000000e+03, 1.512017841216213385e-09, 1.920545314687006816e-10, -3.792149188905634973e-09, 4.197800619507275590e-10
2.048000000000000000e+03, 1.252266415155898641e-09, 1.917441836454932016e-10, -3.541058802671142182e-09, 4.185898211650786438e-10
2.049000000000000000e+03, 1.392387187597478603e-09, 1.898193436161399410e-10, -3.330618690270581923e-09, 4.161330257626774011e-10
