year, TaiESM1, NorESM2-LM, GFDL-ESM4, MPI-ESM1-2-LR, CNRM-ESM2-1, CESM2-WACCM, EC-Earth3-Veg, GFDL-ESM4, NorESM2-MM, NorESM2-MM, TaiESM1, CNRM-ESM2-1
2.015000000000000000e+03, 2.705737124031502010e-10, 1.150956773900473640e-10, 1.497139507103988254e-10, 1.253379769018160577e-10, 1.323064024606596334e-10, 2.039892393912585929e-10, 7.113888105344247822e-10, 1.459746194264480519e-10, 2.570260489667255520e-10, 2.570260489667255520e-10, 2.705737124031502010e-10, 1.323064024606596334e-10
2.016000000000000000e+03, 3.428626508398698319e-10, 4.381543576893372014e-10, 1.146050270199475226e-10, 1.157088327466086760e-10, 1.377173515480693426e-10, 3.937105556998394341e-10, 6.624876772700904204e-10, 1.108881417323620467e-10, 9.291285224051637018e-10, 9.291285224051637018e-10, 3.428626508398698319e-10, 1.377173515480693426e-10
2.017000000000000000e+03, 2.216169699544389453e-10, 3.568993993263525806e-10, 1.126315160003571990e-10, 1.063173509341214394e-10, 1.082804796791625729e-10, 2.940649683346458321e-10, 4.857322636355943190e-10, 1.089324714164247089e-10, 6.923152414171643269e-10, 6.923152414171643269e-10, 2.216169699544389453e-10, 1.082804796791625729e-10
2.018000000000000000e+03, 1.176755802358022662e-10, 3.489988248108307445e-10, 1.202609550821178340e-10, 1.137964024197867562e-10, 1.938688194024706935e-10, 2.592072382063490937e-10, 9.032592647850199720e-10, 1.166634558449025421e-10, 6.653111728856034283e-10, 6.653111728856034283e-10, 1.176755802358022662e-10, 1.938688194024706935e-10
2.019000000000000000e+03, 2.342278949506594083e-10, 2.606121889536308227e-10, 1.107170159315102882e-10, 1.156008476007911126e-10, 1.364953193565969024e-10, 2.423135618390975406e-10, 6.243518866537456383e-10, 1.067929444149964812e-10, 6.229332894406955349e-10, 6.229332894406955349e-10, 2.342278949506594083e-10, 1.364953193565969024e-10
2.020000000000000000e+03, 2.960985626780682540e-10, 3.405241147405439518e-10, 1.115188912295697418e-10, 9.976049965846578873e-11, 1.495451081947823031e-10, 3.123344110329046138e-10, 1.472823419255076111e-09, 1.076504700120988197e-10, 6.368626293915931931e-10, 6.368626293915931931e-10, 2.960985626780682540e-10, 1.495451081947823031e-10
2.021000000000000000e+03, 1.342987698976700213e-10, 4.254501557684329859e-10, 1.111142622251225637e-10, 9.702442593315773241e-11, 8.998247514317845931e-11, 2.190442818721822201e-10, 4.403601345233720159e-10, 1.071502077542969367e-10, 4.814767498487194958e-10, 4.814767498487194958e-10, 1.342987698976700213e-10, 8.998247514317845931e-11
2.022000000000000000e+03, 2.229724105760256650e-10, 3.351794345188828462e-10, 1.346185596507283294e-10, 1.048643168187673817e-10, 1.241931029064735325e-10, 2.419019793005988286e-10, 3.045066766875147698e-10, 1.307713331763138756e-10, 4.915653325679051490e-10, 4.915653325679051490e-10, 2.229724105760256650e-10, 1.241931029064735325e-10
2.023000000000000000e+03, 1.739240736170535478e-10, 2.637936136087642045e-10, 9.252364291862071467e-11, 1.119402631427889448e-10, 1.207162601292035022e-10, 1.561340044389679417e-10, 6.027458404331345053e-10, 8.871072491481168818e-11, 3.641296532159917347e-10, 3.641296532159917347e-10, 1.739240736170535478e-10, 1.207162601292035022e-10
2.024000000000000000e+03, 2.238040356035225053e-10, 2.293587010760559905e-10, 1.063585373095794629e-10, 9.726574258870903168e-11, 1.755343274879860876e-10, 1.880966825315698227e-10, 1.698796571145736334e-09, 1.025535857134701025e-10, 3.828897925960015110e-10, 3.828897925960015110e-10, 2.238040356035225053e-10, 1.755343274879860876e-10
2.025000000000000000e+03, 1.978325102228759755e-10, 2.686692136656144991e-10, 9.994968271739374937e-11, 1.080739952708631937e-10, 1.063970669913348523e-10, 2.210984433152404997e-10, 9.227704503734643413e-10, 9.599355787045977601e-11, 3.629779969710582141e-10, 3.629779969710582141e-10, 1.978325102228759755e-10, 1.063970669913348523e-10
2.026000000000000000e+03, 1.818192974350853442e-10, 2.368336325936525596e-10, 8.835383544705978619e-11, 9.563056306237791508e-11, 1.216872413690381765e-10, 1.645365268617720448e-10, 3.840312718131099418e-10, 8.443114353945879365e-11, 2.767673072242484515e-10, 2.767673072242484515e-10, 1.818192974350853442e-10, 1.216872413690381765e-10
2.027000000000000000e+03, 2.938006144013532693e-10, 2.141819450794971578e-10, 8.232849464592672696e-11, 1.063924599059635154e-10, 1.592011106866585864e-10, 2.250059787359422793e-10, 5.382133160915230595e-10, 7.853347155973765568e-11, 3.100777765063440192e-10, 3.100777765063440192e-10, 2.938006144013532693e-10, 1.592011106866585864e-10
2.028000000000000000e+03, 2.488155591387128140e-10, 2.066379422725449332e-10, 7.912756930778046554e-11, 1.025213607274466271e-10, 1.175787599030838530e-10, 1.871872623109811990e-10, 7.369419853290361034e-10, 7.517535984308333624e-11, 2.024052886326507605e-10, 2.024052886326507605e-10, 2.488155591387128140e-10, 1.175787599030838530e-10
2.029000000000000000e+03, 1.779301595776575429e-10, 1.768226085926567590e-10, 7.911902099737962514e-11, 1.066839002482769581e-10, 1.779416637849935921e-10, 1.458878916491174783e-10, 6.057676813744914608e-10, 7.525572182873774019e-11, 3.194575114111495214e-10, 3.194575114111495214e-10, 1.779301595776575429e-10, 1.779416637849935921e-10
2.030000000000000000e+03, 1.772411609501731132e-10, 2.546845718980124779e-10, 9.116362105305029944e-11, 9.350617004398321710e-11, 1.178935782434683900e-10, 1.821087133146322391e-10, 7.800086978513707281e-10, 8.733914444842561147e-11, 2.623454664558481565e-10, 2.623454664558481565e-10, 1.772411609501731132e-10, 1.178935782434683900e-10
2.031000000000000000e+03, 1.579576084351095443e-10, 1.819027408869969039e-10, 6.316888501321414181e-11, 1.096529827517432075e-10, 1.152787145396536486e-10, 3.330170518453824000e-10, 1.046090763979699855e-09, 5.952265980626398900e-11, 2.440842580748792982e-10, 2.440842580748792982e-10, 1.579576084351095443e-10, 1.152787145396536486e-10
2.032000000000000000e+03, 1.613368432935800498e-10, 1.385585645091006987e-10, 8.478942881037658521e-11, 8.345280867086940268e-11, 1.076031063389012914e-10, 2.717021496002994163e-10, 3.665583893926645425e-10, 8.124957813584032971e-11, 2.814545864667788395e-10, 2.814545864667788395e-10, 1.613368432935800498e-10, 1.076031063389012914e-10
2.033000000000000000e+03, 1.517266581017354336e-10, 2.314775808150778071e-10, 7.106044563553965677e-11, 1.061068744284699293e-10, 1.449571225178874310e-10, 3.305260320821681203e-10, 3.884703199092263703e-10, 6.729858217446802859e-11, 2.224271929194987856e-10, 2.224271929194987856e-10, 1.517266581017354336e-10, 1.449571225178874310e-10
2.034000000000000000e+03, 1.188635579194460396e-10, 2.538977267776561874e-10, 9.494164627940500670e-11, 9.482945687632889910e-11, 1.582392466254631645e-10, 1.271765938637997286e-10, 5.090342093925964030e-10, 9.126513737139736378e-11, 2.475286631535097622e-10, 2.475286631535097622e-10, 1.188635579194460396e-10, 1.582392466254631645e-10
2.035000000000000000e+03, 1.584907573661072740e-10, 1.951634684743268569e-10, 9.642497887407076024e-11, 9.680771075454417295e-11, 1.013448337370301919e-10, 1.963242295305243370e-10, 9.056132482685953179e-10, 9.272906463790880427e-11, 1.775374641823222115e-10, 1.775374641823222115e-10, 1.584907573661072740e-10, 1.013448337370301919e-10
2.036000000000000000e+03, 1.924857746296827650e-10, 1.858896417972394759e-10, 9.543505195491252597e-11, 9.662711370303473618e-11, 1.446906131547762767e-10, 1.674440340157926175e-10, 8.350317800639806926e-10, 9.177960329989201971e-11, 1.358939756989631029e-10, 1.358939756989631029e-10, 1.924857746296827650e-10, 1.446906131547762767e-10
2.037000000000000000e+03, 1.686850768355172382e-10, 1.877079556226738604e-10, 5.653732295411724641e-11, 9.420709760421955993e-11, 1.467056848425931261e-10, 1.368935591787544004e-10, 5.288799802718113957e-10, 5.317109002120976856e-11, 2.203835552410065254e-10, 2.203835552410065254e-10, 1.686850768355172382e-10, 1.467056848425931261e-10
2.038000000000000000e+03, 2.257210933209783389e-10, 1.626319778964321045e-10, 6.691037847957130159e-11, 8.299894619404211864e-11, 1.273921951091181698e-10, 2.365633998078038673e-10, 9.105535517398727977e-10, 6.352063101902247857e-11, 2.218216223253377173e-10, 2.218216223253377173e-10, 2.257210933209783389e-10, 1.273921951091181698e-10
