year, GFDL-ESM4, MPI-ESM1-2-LR, EC-Earth3-Veg
2.015000000000000000e+03, 1.396517889099277821e-10, 5.685137693193973187e-10, 8.205824356154121282e-11
2.016000000000000000e+03, 1.262794451543162158e-10, 5.141292647890923068e-10, 9.471401069865925032e-11
2.017000000000000000e+03, 1.009422378885362770e-10, 5.006374095755134312e-10, 9.650387851719965947e-11
2.018000000000000000e+03, 7.405489122311832648e-11, 5.125510139498536041e-10, 1.064409096565661691e-10
2.019000000000000000e+03, 8.657462282678370526e-11, 3.932645604436767164e-10, 8.701539743032498358e-11
2.020000000000000000e+03, 1.094026936878457238e-10, 4.804195244057869850e-10, 8.680050592725968350e-11
2.021000000000000000e+03, 9.417737831878915574e-11, 5.718969980067462229e-10, 8.544444147978281346e-11
2.022000000000000000e+03, 1.053540686935505662e-10, 5.927324421885413246e-10, 9.621827861704812764e-11
2.023000000000000000e+03, 9.184692784534795589e-11, 5.900038474606225381e-10, 9.948865844156130029e-11
2.024000000000000000e+03, 1.303628030984208949e-10, 5.805477490801640254e-10, 9.909983395411019753e-11
2.025000000000000000e+03, 1.297550440972001406e-10, 6.058381255645413285e-10, 8.406381261574086146e-11
2.026000000000000000e+03, 8.979144387458124784e-11, 6.636278832128484732e-10, 7.911274737837631117e-11
2.027000000000000000e+03, 1.167312371941647034e-10, 7.057706903368061354e-10, 8.531292372209570513e-11
2.028000000000000000e+03, 1.298544084224238531e-10, 6.118138242346075654e-10, 9.549157818162560228e-11
2.029000000000000000e+03, 1.150083561021032520e-10, 6.313071653555395469e-10, 8.452198149557765268e-11
2.030000000000000000e+03, 1.048888094117179731e-10, 6.366617958155883846e-10, 8.996190170071195812e-11
2.031000000000000000e+03, 1.021192484595315790e-10, 8.051273949787464906e-10, 8.298627143813304115e-11
2.032000000000000000e+03, 1.300364383801244363e-10, 6.760131504024715476e-10, 8.373152662573011253e-11
2.033000000000000000e+03, 1.337616168883198462e-10, 6.731597509339434729e-10, 9.987319044442424522e-11
2.034000000000000000e+03, 1.639773787388911900e-10, 6.029924702111035695e-10, 9.415190911846831888e-11
2.035000000000000000e+03, 1.398193630336065023e-10, 7.240909889343667852e-10, 8.761848875762070379e-11
2.036000000000000000e+03, 1.141319654917724850e-10, 6.481269389851547826e-10, 8.464523544526251763e-11
2.037000000000000000e+03, 1.004006230810076340e-10, 5.896645323461043768e-10, 9.233832117001064582e-11
2.038000000000000000e+03, 1.263039840105795288e-10, 6.046488398017333664e-10, 9.352173869105889102e-11
2.039000000000000000e+03, 1.256217833388661476e-10, 5.880251530961497402e-10, 8.119350012258530772e-11
2.040000000000000000e+03, 1.360252229488492540e-10, 6.621537704434614276e-10, 8.924081729643676145e-11
2.041000000000000000e+03, 1.252862328769261016e-10, 8.245350728313730503e-10, 1.020097949225255365e-10
2.042000000000000000e+03, 1.374968245020050494e-10, 7.588013497024609850e-10, 9.333397354637015418e-11
2.043000000000000000e+03, 1.265313782340588020e-10, 7.375583871529863465e-10, 8.409171341718119169e-11
2.044000000000000000e+03, 1.304437406353234152e-10, 6.571921524419420599e-10, 8.332916800072562733e-11
2.045000000000000000e+03, 1.415077551226827893e-10, 5.931669505120089686e-10, 9.034068872818050068e-11
2.046000000000000000e+03, 1.220099366213838817e-10, 5.252767457656691318e-10, 8.926894751786663168e-11
2.047000000000000000e+03, 1.233186014218063882e-10, 5.714769950677143791e-10, 8.585966617072576394e-11
2.048000000000000000e+03, 1.376159326178824525e-10, 7.404638712694890975e-10, 9.426375971775089693e-11
2.049000000000000000e+03, 1.171873058356838739e-10, 6.546133654679537268e-10, 8.787055429107113084e-11
2.050000000000000000e+03, 1.366607234671779682e-10, 7.650578080450237707e-10, 8.350017669861228603e-11
2.051000000000000000e+03, 1.410305042415173098e-10, 6.704604701014099688e-10, 8.422726651955519433e-11
2.052000000000000000e+03, 1.184115066233574530e-10, 6.631390696701476072e-10, 1.046168736438853319e-10
2.053000000000000000e+03, 1.750862614157883253e-10, 7.542185002138059686e-10, 8.275264325185565463e-11
2.054000000000000000e+03, 1.248338048256741831e-10, 8.120496562879480448e-10, 1.012472906558806701e-10
2.055000000000000000e+03, 1.319550428283924546e-10, 7.180364804200006135e-10, 1.055348398666099646e-10
2.056000000000000000e+03, 1.919260685024483822e-10, 6.183870346930823861e-10, 9.213376604232159626e-11
2.057000000000000000e+03, 1.203347049987479667e-10, 6.209329463575356650e-10, 8.847397359125947868e-11
2.058000000000000000e+03, 1.143039434775730403e-10, 7.397097919334826913e-10, 1.020441989408208797e-10
2.059000000000000000e+03, 1.483589210125892586e-10, 8.421114652443169055e-10, 8.642563096181264857e-11
2.060000000000000000e+03, 1.359583365999424246e-10, 7.690853299964089594e-10, 8.883999232131634008e-11
2.061000000000000000e+03, 1.382418668459649895e-10, 7.102779641660287355e-10, 9.433586083457397415e-11
2.062000000000000000e+03, 1.586410318544665496e-10, 6.305145648775305281e-10, 9.632936893847585312e-11
2.063000000000000000e+03, 1.370712617649632105e-10, 7.032365753159444137e-10, 8.885813054966192775e-11
2.064000000000000000e+03, 1.401283952446236954e-10, 8.983706803149687675e-10, 8.932193758997353901e-11
2.065000000000000000e+03, 1.806579882293194119e-10, 8.470553122622030728e-10, 9.907952602484525474e-11
2.066000000000000000e+03, 1.499751970583725542e-10, 7.564354333377205454e-10, 9.584583102611309787e-11
2.067000000000000000e+03, 1.476809492304710779e-10, 7.255991003149905625e-10, 9.188200084131574756e-11
2.068000000000000000e+03, 1.919028740148673785e-10, 7.749055667575333512e-10, 9.403918665449040142e-11
2.069000000000000000e+03, 1.542696075352626421e-10, 7.116594287329764835e-10, 9.754739703659660774e-11
2.070000000000000000e+03, 1.294576391293548906e-10, 6.696669380106031655e-10, 9.987169864833321478e-11
2.071000000000000000e+03, 1.534337493514158374e-10, 7.637155633754317713e-10, 8.969979920160603404e-11
2.072000000000000000e+03, 1.738425439732114578e-10, 7.870105222790946507e-10, 8.528971183303762469e-11
2.073000000000000000e+03, 1.769864745266444615e-10, 7.725994496077745593e-10, 1.067709891226662762e-10
2.074000000000000000e+03, 1.527959272775565378e-10, 7.595361047619700566e-10, 1.013501601162569841e-10
2.075000000000000000e+03, 1.588773477240696525e-10, 8.251606707420070230e-10, 9.568787422618110840e-11
2.076000000000000000e+03, 1.591508649374250948e-10, 8.562593996495736327e-10, 9.908162697435332735e-11
2.077000000000000000e+03, 2.034043605421087634e-10, 8.884806023487511235e-10, 1.080962127378423965e-10
2.078000000000000000e+03, 1.464511869173007466e-10, 9.482236532318266904e-10, 1.099996909479767283e-10
2.079000000000000000e+03, 1.748639377933531863e-10, 8.402362157741042365e-10, 1.032763705063974403e-10
2.080000000000000000e+03, 1.564485746585356536e-10, 8.395404154578414354e-10, 1.065317461467122229e-10
2.081000000000000000e+03, 1.615587406074844972e-10, 8.686308509137314049e-10, 1.075854481828778811e-10
2.082000000000000000e+03, 1.477757044634333738e-10, 8.270966766813310794e-10, 9.616453571036984479e-11
2.083000000000000000e+03, 1.810566476934034606e-10, 8.802170588710481007e-10, 1.027008566338796651e-10
2.084000000000000000e+03, 1.718707950413405195e-10, 9.403773625433167606e-10, 1.020543052722471466e-10
2.085000000000000000e+03, 1.868837620283412682e-10, 8.353931027370528652e-10, 1.131948531565866234e-10
2.086000000000000000e+03, 1.589165087806070412e-10, 7.578456384187995291e-10, 1.010467231714971377e-10
2.087000000000000000e+03, 1.843920288583162630e-10, 7.647599583875444494e-10, 9.450590692250170794e-11
2.088000000000000000e+03, 1.677864055187181982e-10, 8.319957535779364570e-10, 1.055400240198872499e-10
2.089000000000000000e+03, 1.857400051819205326e-10, 8.603612306769397088e-10, 1.029277697659479715e-10
2.090000000000000000e+03, 1.768722957719925364e-10, 8.486114066064954698e-10, 1.076202478759403436e-10
2.091000000000000000e+03, 1.747452487403246199e-10, 8.678620192716200549e-10, 1.139640372692526247e-10
2.092000000000000000e+03, 1.677400705537172698e-10, 8.406356434461512921e-10, 1.077161945145515427e-10
2.093000000000000000e+03, 2.193604075318214686e-10, 9.497452429706080792e-10, 9.540213626537897295e-11
2.094000000000000000e+03, 1.808402464351694507e-10, 9.608781306490671597e-10, 1.146404753258236263e-10
2.095000000000000000e+03, 1.850455530830838384e-10, 9.143482838171710798e-10, 1.085767870824717437e-10
2.096000000000000000e+03, 1.981282719532463327e-10, 9.264396953131095173e-10, 1.062680894057270761e-10
2.097000000000000000e+03, 1.620141696627169838e-10, 9.760337712035012950e-10, 1.005345769562560007e-10
2.098000000000000000e+03, 1.912792823717877226e-10, 9.494970591515358364e-10, 9.919239862490966900e-11
2.099000000000000000e+03, 1.743401629826978755e-10, 9.539690762218529671e-10, 9.801812145227817254e-11
2.100000000000000000e+03, 2.024068419660784877e-10, 9.924452885270724964e-10, 1.018737362837986930e-10
