year, NorESM2-MM, EC-Earth3-Veg, CNRM-ESM2-1, NorESM2-LM, UKESM1-0-LL, TaiESM1, CESM2-WACCM, CMCC-ESM2, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.015000000000000000e+03, 1.677806643247810880e-09, 4.553122339890752572e-10, 9.977310356009481997e-11, 1.616661040257059155e-09, 3.654784662559228705e-13, 1.527540107871551533e-09, 4.777697707455339616e-10, 3.633591843394556076e-10, 2.818802746401050865e-10, 8.712361850635654075e-12
2.016000000000000000e+03, 1.670728842131120918e-09, 3.452936988146916907e-10, 4.319511051762310395e-10, 1.732839995841571966e-09, 1.194323359349241205e-12, 1.381824557539183521e-09, 4.648652341372755807e-10, 3.583994852523308816e-10, 3.095651989326137035e-10, 8.605898484406278037e-11
2.017000000000000000e+03, 1.738606351817333312e-09, 3.518201231073689544e-10, 4.498670109784978340e-10, 1.717257607732101777e-09, 1.589043720604187733e-12, 1.267710882273587546e-09, 4.628455056211417025e-10, 3.492199943444986951e-10, 3.152746002376869950e-10, 8.832075563048480612e-11
2.018000000000000000e+03, 1.831230577478523735e-09, 3.633199308370252933e-10, 4.703273588447552079e-10, 1.855343779077714515e-09, 1.782239890091153389e-12, 1.204278092992479384e-09, 4.605714912469992912e-10, 3.686656466466654646e-10, 3.185087029917921467e-10, 8.970770985244496571e-11
2.019000000000000000e+03, 1.861608822629164896e-09, 3.619889015596151501e-10, 4.850780654544754735e-10, 1.809495941110364567e-09, 1.839678594168513696e-12, 1.139240823405615926e-09, 4.574939632462025368e-10, 4.136205093191871996e-10, 3.166399405093015614e-10, 9.160254413149966206e-11
2.020000000000000000e+03, 1.932534650173579693e-09, 4.000854638523086370e-10, 5.033551714394861695e-10, 1.902054913414873521e-09, 1.735904235236758848e-12, 1.089136405053594517e-09, 4.542349342971360034e-10, 3.984736485691751801e-10, 3.295353196228062286e-10, 9.399422177244635930e-11
2.021000000000000000e+03, 2.013355401364578707e-09, 3.251116996472364731e-10, 4.147697524841317698e-10, 1.928854714758074927e-09, 1.431940779148003304e-12, 1.119336082088759151e-09, 4.458454813242589223e-10, 3.896257501367849823e-10, 3.471940697522113290e-10, 7.795812192313197629e-11
2.022000000000000000e+03, 2.038298278752788728e-09, 3.577759058313114353e-10, 4.433586690750401015e-10, 1.828346400467265114e-09, 1.388650333746337722e-12, 1.132017392014701098e-09, 4.420338439545381471e-10, 3.972013854695388388e-10, 3.517854137921869331e-10, 7.946270716090386571e-11
2.023000000000000000e+03, 2.153179984837687765e-09, 9.357285779766278334e-10, 4.577233626372455322e-10, 2.026881545923499685e-09, 1.277760896349699328e-12, 1.125105266746076898e-09, 4.379853282288063733e-10, 3.931786825105451101e-10, 3.540068248079393860e-10, 7.970301651498395007e-11
2.024000000000000000e+03, 2.119401709177664504e-09, 1.120762307129201976e-09, 4.819824840005105629e-10, 2.205551468878988944e-09, 1.852524158908778656e-12, 1.101434656529725110e-09, 4.351189743406423156e-10, 4.062555651935781448e-10, 3.551863352029996358e-10, 8.019063634440467609e-11
2.025000000000000000e+03, 2.023191136234296276e-09, 9.927731879974793017e-10, 4.950429369763748037e-10, 2.165335341822832908e-09, 2.340365143407902531e-12, 1.036167452422798949e-09, 4.326226310644560602e-10, 3.671497243236158442e-10, 3.311896920088722089e-10, 8.149621856037977841e-11
2.026000000000000000e+03, 1.967879682332792691e-09, 8.218632895088771941e-10, 3.420073521642331562e-10, 2.040482647756938455e-09, 3.687330045212785737e-12, 9.995155610205094194e-10, 4.396660438935824480e-10, 3.541919808959369761e-10, 3.148690382960505725e-10, 5.715574139929801786e-11
2.027000000000000000e+03, 2.082938491970289149e-09, 8.206097531201380353e-10, 3.583263696890418213e-10, 2.099823567147643303e-09, 5.189197049667179817e-12, 9.692635720454255437e-10, 4.392557231260576046e-10, 3.376656910748039165e-10, 3.118949267938444150e-10, 5.576954675972502366e-11
2.028000000000000000e+03, 2.060043312317273604e-09, 8.086489687638752066e-10, 3.568423559176379062e-10, 2.052797351255100341e-09, 5.909853060638646577e-12, 9.290152634505353718e-10, 4.378926021582600874e-10, 3.368802490671849656e-10, 3.044600601948192422e-10, 5.353324177035267598e-11
2.029000000000000000e+03, 2.008923863923373022e-09, 7.623189458279134582e-10, 3.673314434366946489e-10, 2.138943631612001614e-09, 6.709148255174643743e-12, 8.938991788179252506e-10, 4.368159129946226634e-10, 3.369751512414232162e-10, 3.023752440110225579e-10, 5.520407661298335746e-11
2.030000000000000000e+03, 2.142944873466633738e-09, 7.289578923997333059e-10, 3.658157635789263916e-10, 2.097162419504201848e-09, 1.190773075051240549e-11, 8.470683474897212288e-10, 4.361062816706270904e-10, 2.887515560548397010e-10, 2.788202967687978845e-10, 5.458499926965917119e-11
2.031000000000000000e+03, 2.148543950626157241e-09, 6.485199797948910172e-10, 2.793169718200141920e-10, 2.035162674407839862e-09, 8.818886058496039865e-12, 8.242766673320672021e-10, 4.447684255795486072e-10, 2.738952058720604826e-10, 2.683190003346932524e-10, 4.087254358182031325e-11
2.032000000000000000e+03, 2.135339189681249364e-09, 6.050263624625945897e-10, 2.715613952894718565e-10, 2.186804667228460485e-09, 6.928990546088759936e-12, 8.098437570946589651e-10, 4.431439927890526639e-10, 2.671978951458007145e-10, 2.640867886772871070e-10, 3.972791167840253501e-11
2.033000000000000000e+03, 2.105331113197194091e-09, 5.729798368124243865e-10, 2.680939982922633792e-10, 2.155773338093370899e-09, 6.489816939432565084e-12, 7.914323207112820840e-10, 4.412978787705246280e-10, 2.736486682069800925e-10, 2.593256458948178377e-10, 3.816788428201227175e-11
2.034000000000000000e+03, 2.211048914804602110e-09, 5.552690392253158369e-10, 2.546647759453226831e-10, 2.098107530484193340e-09, 6.641046941096618976e-12, 7.867897545684056670e-10, 4.396965448269505654e-10, 2.697261169932604002e-10, 2.536929502668630852e-10, 3.685441143123382403e-11
2.035000000000000000e+03, 2.289160740459149316e-09, 5.368252608107188651e-10, 2.308221105984212299e-10, 2.044099716565943140e-09, 6.280028603030871603e-12, 7.748789134887177994e-10, 4.410434467774078579e-10, 2.542005127987403304e-10, 2.646139734701084723e-10, 3.586417164259952080e-11
2.036000000000000000e+03, 2.250379130071329738e-09, 4.515564878571444391e-10, 2.167766565212406852e-10, 2.049302266680612633e-09, 3.672712205350821019e-12, 7.633807962481937580e-10, 4.345609830354633543e-10, 2.457338012904316994e-10, 2.740161338515628578e-10, 2.508415384035525268e-11
2.037000000000000000e+03, 2.061263763191873441e-09, 4.221354753045288246e-10, 2.179748623209892461e-10, 2.029776769444668862e-09, 2.321960248591224656e-12, 7.608558123164714791e-10, 4.335635963343821095e-10, 2.501616905878878839e-10, 2.726541724559400807e-10, 2.467346490805739243e-11
2.038000000000000000e+03, 1.977947172457687383e-09, 3.846728745021647735e-10, 2.138270359269034142e-10, 2.074148100063568967e-09, 1.745778226159975451e-12, 7.517957204885197276e-10, 4.319841640136648077e-10, 2.527623382431911587e-10, 2.698623496002930530e-10, 2.335295020856877596e-11
2.039000000000000000e+03, 2.124200264222861754e-09, 3.591823548186088461e-10, 2.102542101216450886e-10, 2.296169087287600141e-09, 1.451422728567323270e-12, 7.522843613818285767e-10, 4.292067642322975222e-10, 2.491520948917773122e-10, 2.708125587903463728e-10, 2.264459356457484421e-11
2.040000000000000000e+03, 2.148605758575359880e-09, 3.346349892702094716e-10, 2.045274909331439763e-10, 2.174494725815357577e-09, 1.286631529731255619e-12, 7.387038695117418742e-10, 4.275762431325603147e-10, 2.412114925957987000e-10, 2.613664484174185654e-10, 2.128413601324340994e-11
2.041000000000000000e+03, 2.270758777784645781e-09, 3.292569377240864479e-10, 2.276683960492741463e-10, 2.082691923735805151e-09, 1.193184754850497534e-12, 7.358928442154689092e-10, 4.320273935089988633e-10, 2.454448017626000955e-10, 2.603201173337331222e-10, 2.435825942409053079e-11
2.042000000000000000e+03, 2.224956791180400907e-09, 3.103786463177717969e-10, 2.268003813529582145e-10, 2.220598218114858171e-09, 1.184936553401465457e-12, 7.430198692351863493e-10, 4.318566865896217935e-10, 2.444832702087864412e-10, 2.617974510030045514e-10, 2.401523328380814907e-11
2.043000000000000000e+03, 2.231320096597495674e-09, 2.768256654729587525e-10, 2.222109457368141780e-10, 2.110801304986409953e-09, 1.186985635796986459e-12, 7.432633041172330722e-10, 4.297752541999790313e-10, 2.415167150121594585e-10, 2.629391578057116794e-10, 2.360442234831223151e-11
2.044000000000000000e+03, 2.232993485481992636e-09, 2.445677621467422049e-10, 2.251557068002374180e-10, 2.184754083745450556e-09, 1.121952059142341274e-12, 7.445202508509972171e-10, 4.272447742151528753e-10, 2.465972726638971587e-10, 2.587966178078905856e-10, 2.333846823182805667e-11
2.045000000000000000e+03, 2.250768017756338291e-09, 2.484641313618092402e-10, 2.262089898355584703e-10, 2.219787457452969963e-09, 1.010132092654706296e-12, 7.468157538697847924e-10, 4.261616855184106482e-10, 2.571551975248445026e-10, 2.554527042392121458e-10, 2.279371390864616154e-11
2.046000000000000000e+03, 2.389046484846692095e-09, 2.076978134941931262e-10, 1.917788498703674638e-10, 2.155621095293219050e-09, 8.720567102145477713e-13, 7.514679831818332426e-10, 4.208459842028478548e-10, 2.581052359331024568e-10, 2.538546932384305682e-10, 1.490303385676087346e-11
2.047000000000000000e+03, 2.149751547278322278e-09, 1.967972187173849667e-10, 1.920545314687006816e-10, 2.166073441181403926e-09, 8.013043248949547277e-13, 7.561984158861902359e-10, 4.194906301507257805e-10, 2.597884654178693386e-10, 2.496177628650080993e-10, 1.455264655825731938e-11
2.048000000000000000e+03, 2.270348449746745053e-09, 1.932353994627544934e-10, 1.917441836454932016e-10, 2.207305291777408693e-09, 7.319308345486326719e-13, 7.612575997041371153e-10, 4.182944311991731388e-10, 2.606408119656747652e-10, 2.530335923011382653e-10, 1.450025233026723195e-11
2.049000000000000000e+03, 2.266106217359835795e-09, 2.049166961131651651e-10, 1.898193436161399410e-10, 2.149224075405677708e-09, 6.831701737582356022e-13, 7.703213853104504485e-10, 4.158568646884137218e-10, 2.605616901767441559e-10, 2.550226270562140180e-10, 1.430625951575057160e-11
