year, GFDL-ESM4, INM-CM4-8, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-MM, NorESM2-LM, CESM2-WACCM, EC-Earth3-Veg, CanESM5, INM-CM5-0, MIROC-ES2L, IPSL-CM6A-LR, CNRM-ESM2-1, MPI-ESM1-2-LR, UKESM1-0-LL, TaiESM1
2.015000000000000000e+03, 2.021750797445883041e+00, 5.990307732492722081e+00, 3.152649760778321042e+00, 1.855430046337924299e+00, 2.703150003906014121e+00, 2.588681492182514976e+00, 2.817675723533874077e+00, 4.752921243027889098e+00, 6.377991011801436017e+00, 4.653988048862970572e+00, 3.137608562819669711e+00, 2.903617133663905836e+00, 4.463889583191563482e+00, 5.191037547981028233e+00, 2.608642735514554278e+00, 3.752559642091062297e+00
2.016000000000000000e+03, 1.715059527691980668e+00, 5.823891526132396912e+00, 3.068535733966084589e+00, 1.878546210349361312e+00, 2.491103291455783353e+00, 2.313659156248116577e+00, 2.730158305761451576e+00, 5.028202238764708731e+00, 6.592980752334608674e+00, 4.782339898624099028e+00, 3.250361917690659297e+00, 3.211589131029195521e+00, 3.963600954743186744e+00, 4.731429354048722224e+00, 2.644271351243572266e+00, 3.589192294848582598e+00
2.017000000000000000e+03, 1.677352847760777976e+00, 5.917968476259146016e+00, 3.654689744418208264e+00, 1.801845458431071689e+00, 2.618679012589334665e+00, 2.344187788189642241e+00, 2.901130619259716159e+00, 5.369192049864823346e+00, 6.460639027662338663e+00, 5.104613042356242580e+00, 3.374263220109391614e+00, 2.996342055560884177e+00, 4.200081884820477285e+00, 4.768983000595150124e+00, 3.119554392600683901e+00, 3.989203688775480483e+00
2.018000000000000000e+03, 1.833743860923414459e+00, 6.007159367183795950e+00, 3.255942716763927436e+00, 2.015535845648054991e+00, 2.679250846434635402e+00, 2.490039384222845875e+00, 2.879472633650297375e+00, 5.056524102442951474e+00, 6.469031535187510507e+00, 5.078550088957923592e+00, 3.137698306760446254e+00, 3.125526860385901440e+00, 3.805750896229334934e+00, 4.862412883617140302e+00, 2.782078048806192250e+00, 4.523320527799151947e+00
2.019000000000000000e+03, 1.944025063111813223e+00, 5.948621562539087471e+00, 3.228237968594299012e+00, 1.856830812061956326e+00, 2.967689517064910021e+00, 2.680030994914258002e+00, 3.110784582991155567e+00, 4.952595423044661160e+00, 6.433324246510123245e+00, 4.708789618770698127e+00, 3.238612662334674486e+00, 3.359557245029649142e+00, 4.285916731978016259e+00, 3.857492053659445475e+00, 2.831233515285155100e+00, 3.903054820393600632e+00
2.020000000000000000e+03, 1.841081128706553605e+00, 6.359009422569342540e+00, 3.034940139216405264e+00, 1.767840761678741046e+00, 2.732286566716219944e+00, 2.801748718272328631e+00, 3.089491907353067557e+00, 4.643491109291968399e+00, 6.682568727148056276e+00, 4.414096341764595088e+00, 3.058046217990210813e+00, 2.882868919791468088e+00, 3.949401592497675306e+00, 4.957365069468682606e+00, 2.842432261679997740e+00, 3.806492260279469964e+00
2.021000000000000000e+03, 1.881189560394646465e+00, 5.765118354071387508e+00, 3.428216881811446015e+00, 1.923768483310532185e+00, 2.992807662312300110e+00, 2.335221378262779091e+00, 2.841909142208840500e+00, 4.819822182842051994e+00, 6.996918027152029929e+00, 4.685363401396812399e+00, 3.085364201888424418e+00, 3.423028083026354196e+00, 4.571864190180433773e+00, 5.602160652560324472e+00, 3.239455220295370808e+00, 4.491742337995650480e+00
2.022000000000000000e+03, 1.682681960955251022e+00, 5.763917820703894357e+00, 3.075418052304883076e+00, 2.007051607489785283e+00, 2.997756212539036902e+00, 2.709378491037087500e+00, 2.924932441315104548e+00, 5.099737596145225815e+00, 7.077095480288136287e+00, 4.609715054718814820e+00, 3.124322734115323463e+00, 3.208467684194292957e+00, 4.476621726755576347e+00, 5.477567492672978489e+00, 2.800495259309706331e+00, 4.115740962645897838e+00
2.023000000000000000e+03, 1.934092482192057094e+00, 5.438574474682118520e+00, 4.216426148158880949e+00, 1.999711127601328409e+00, 3.234993603238530913e+00, 2.840159248276449055e+00, 3.071478046067803724e+00, 5.282090073791223972e+00, 6.839854490400695042e+00, 4.586235106369010772e+00, 3.028430638010396692e+00, 3.082498359951360456e+00, 4.290839160128645524e+00, 5.723679928494319391e+00, 2.905310578348471395e+00, 3.922647791490005087e+00
2.024000000000000000e+03, 1.750608990258067044e+00, 5.539998746532749152e+00, 3.994059815862751162e+00, 1.946848698996434202e+00, 3.015642420669454982e+00, 3.133391207837211034e+00, 3.002586806767497674e+00, 4.678073872240195996e+00, 6.788803124985020254e+00, 4.852261214475865891e+00, 3.152801990626113326e+00, 3.399933400027782326e+00, 3.682791263502428247e+00, 5.558645464586284390e+00, 3.355983521342594589e+00, 3.686474031344233904e+00
