year, NorESM2-LM, EC-Earth3-Veg, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CanESM5, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, CNRM-ESM2-1, MIROC-ES2L, CMCC-CM2-SR5, NorESM2-MM, ACCESS-ESM1-5, TaiESM1, INM-CM4-8
2.015000000000000000e+03, 3.333018892185016929e-02, 7.417829793484263801e-02, -1.943785931530266423e-02, 2.800914228972379433e-02, 6.955908249881016803e-02, 6.033022227862017833e-02, 3.656690011737888379e-02, -9.268739347662173500e-02, -1.636871487654640439e-02, 1.615433216350544432e-01, -9.308645574928106625e-02, -1.477167324183279173e-01, 4.647970954412347644e-02, -2.744755588968623636e-02, -8.195433789548531300e-02, 5.672020052011649272e-01
2.016000000000000000e+03, -2.687378344865329338e-02, 1.651025403205524933e-01, -1.384070294745637537e-02, 2.465723150644062028e-02, -8.231022827394547658e-02, -1.034818097281813010e-01, 1.303502638231546218e-01, -2.245770152052913582e-01, 1.005781271273222116e-01, -1.200365115611887745e-01, 5.827742045836496049e-02, -1.484524982895006617e-01, -8.247676606863385551e-02, -2.313558481540464035e-02, -3.094100785762880501e-01, 3.727405872715607860e-01
2.017000000000000000e+03, -6.184186576962431327e-03, 3.337019060602973153e-01, 9.059917904141823186e-02, 1.340690471846877341e-01, -2.888800316040085470e-02, 1.422285252660586141e-01, 4.131873743612323180e-01, -1.293993303479300250e-01, -3.200503495519870650e-02, 1.414231559489363410e-01, 1.328809713285256100e-01, 2.874535487129866729e-01, -2.613619997999796704e-02, -3.975398862737933997e-02, 5.976287725316350302e-02, 4.104328487626073274e-01
2.018000000000000000e+03, 3.400101756936764474e-02, -7.248944989275664386e-02, 2.821712826550952166e-02, -1.939292591353236617e-02, 8.476057586811469591e-02, 1.216678558799271226e-01, 2.710576743531746269e-01, -1.491824059780975410e-02, 5.569908570837949630e-02, -1.174449448072484442e-01, -6.336781922499876152e-02, -6.341925850028042044e-02, -5.665709760454477190e-02, 7.967236283198719793e-02, 1.936298925942349647e-01, 5.117587096993410078e-01
2.019000000000000000e+03, -1.009784509966286416e-02, -6.851646335273089972e-02, 2.458127744783843160e-02, 1.291648509676571466e-01, -1.075462842724412144e-01, -4.215070892880969922e-01, 2.002797664979464806e-02, 2.580635876937121750e-02, 1.025033339436830504e-01, 8.733299950628958808e-02, -3.197838969639758833e-03, -2.483662644040346770e-02, 1.853211514569739690e-02, -5.588157054656899686e-02, -5.543677892521875483e-01, 3.815052828436724663e-01
2.020000000000000000e+03, 7.742364432976614474e-02, -2.670679627312685378e-01, 1.010561384556585285e-01, 3.858569724391852120e-03, 1.015180434807519544e-01, -1.024829055684323004e-01, -2.163405934607571246e-01, -6.842883071053541821e-02, -9.736174816250782460e-02, 2.945073263135617944e-02, -1.204422754485414138e-01, -1.190309108678291317e-01, -5.463804272058095379e-02, -6.641679171990183539e-02, -2.105456963392708103e-01, 6.451668120908663484e-01
2.021000000000000000e+03, -9.051202033180093254e-02, 1.529995704790867439e-01, 7.200548839510040669e-03, 1.681076924668788997e-01, 1.222741734502716948e-01, 5.285259950989199332e-03, 6.984608089855902369e-02, -6.512816064413334827e-02, 1.709041024461848135e-01, 2.288955079388692582e-01, -9.361859469672050016e-02, 1.974113258280211780e-01, -2.934218660634390448e-04, 2.676640218535082313e-02, 4.365623634054849322e-01, 2.017832976179912974e-01
2.022000000000000000e+03, 6.540920880336549732e-03, 3.034637528864325695e-01, 8.140723248109825450e-02, -1.213327025024379079e-02, 6.869777209615146596e-02, -1.528852579157106151e-01, -6.360604663795799141e-02, -1.547348978925885687e-01, -8.486003722622112097e-03, 4.734940541719315221e-02, -1.893448015957916175e-01, -1.268551844404022522e-01, 2.978251836927483381e-02, 7.352228113226456918e-02, -3.773999159569720874e-01, 1.624197326394968000e-01
2.023000000000000000e+03, 2.221504899822750558e-04, 4.531975668790912126e-02, 5.126588159573895048e-02, -2.190937326224223856e-03, 5.140128981540716818e-02, 5.644113971547902731e-01, -5.458366484639801119e-02, 2.835105884842417309e-02, -6.701903613493333245e-02, -2.127968918932036935e-02, -3.113987414190678149e-01, 6.812792606307537246e-01, 5.719312719186898930e-02, 1.554822372424330759e-02, -2.206747750824068210e-01, -8.688250727521239225e-02
2.024000000000000000e+03, 8.991163471174064281e-02, -5.718534841122807633e-01, 4.076242415352113874e-02, 1.447468116170165797e-01, 2.301299617873554457e-02, -1.363485007702939789e-01, 1.185007369063412197e-01, -1.520767822739485520e-01, 1.519949504636225190e-01, -8.949613753533186555e-02, -2.171639321024368130e-01, 1.528758580935745404e-01, -8.970106326963241464e-03, -3.055444418503111548e-02, -1.656909662926178139e-01, 1.293024794923558485e-02
