year, UKESM1-0-LL, CanESM5, MIROC-ES2L, MPI-ESM1-2-LR, CESM2-WACCM, CMCC-ESM2, CNRM-ESM2-1
2.015000000000000000e+03, 1.986838564243737515e-10, 4.268033686030755108e-10, -6.603121158740188666e-10, 5.108500324344750314e-10, -1.382599012601361118e-10, -1.914826847378592181e-09, 1.142830761185589852e-09
2.016000000000000000e+03, 1.749069569418972453e-10, -7.320772792309430948e-10, 4.133929743139887952e-10, -5.840185549430009382e-10, -9.844778644836057980e-11, 1.334808824115510973e-09, -8.491927520683605605e-10
2.017000000000000000e+03, 9.510235995897670127e-10, 1.006189127145211800e-09, 9.425959408494424626e-10, -2.022134195319163812e-10, 6.444245400343270581e-10, 1.671900803845778182e-09, 1.000491579141329379e-09
2.018000000000000000e+03, -1.375644162180011540e-10, 8.607336220385306613e-10, -4.495019007220545227e-10, 5.905770892008198694e-10, 2.007061222406627658e-10, -2.395160132685024741e-09, -8.308588328689041310e-10
2.019000000000000000e+03, 9.162355076524086761e-10, -2.981932418007853250e-09, -2.268398554086672204e-11, -7.699224647458717985e-10, 1.748446131673853553e-10, -6.226985810939368191e-09, 6.178332678330656726e-10
2.020000000000000000e+03, 2.737090287144477134e-11, -7.250105779295030896e-10, -8.543616050471660965e-10, 7.402390940253296936e-10, 7.188040358749985003e-10, 3.375073483059988208e-09, 2.083478465708517069e-10
2.021000000000000000e+03, 1.192477951964144676e-09, 3.739032719964824253e-11, -6.640868626026848176e-10, 8.741255336906577968e-10, 5.121691413754037482e-11, 2.612283464436358332e-09, 1.619310689678032186e-09
2.022000000000000000e+03, -8.606778813223470427e-11, -1.081579689642537379e-09, -1.343124148030838328e-09, 4.680439242228705136e-10, 5.790429770132500933e-10, -1.899469701882986259e-09, 3.349711797858297211e-10
2.023000000000000000e+03, -1.554149258322853275e-11, 3.992902337921608846e-09, -2.208918152182619949e-09, 3.642988640552134674e-10, 3.646500168802322403e-10, -1.151448990332835391e-09, -1.505421774659522229e-10
2.024000000000000000e+03, 1.026766704946636786e-09, -9.645911656679458576e-10, -1.540460149050087001e-09, 1.739607348629835323e-10, 2.899397843749578316e-10, -2.498563287908837447e-09, -6.331362878233607243e-10
2.025000000000000000e+03, 2.263547600644640401e-11, -4.356077061262227104e-10, -1.770833137513589897e-09, -9.790099442803479054e-11, 8.016362720591082104e-10, -1.407821915444658233e-10, 3.608150445753078994e-10
2.026000000000000000e+03, -2.733872898277162163e-10, 1.864649856715173106e-09, -5.535150873977361291e-10, 1.140897482930651075e-09, 5.843738406787322602e-10, 1.877814402368618768e-09, 1.026292589528281787e-09
2.027000000000000000e+03, -1.024070103428922305e-10, 3.787174334570593421e-10, -9.873596870513319564e-10, 3.243970104760650915e-10, 5.943546390819355134e-10, 5.897696932991543339e-10, -3.913819506258014225e-10
2.028000000000000000e+03, -8.805092811936053805e-10, -3.191138778983779819e-09, -9.075532304981938738e-10, 6.172642907100792683e-11, 1.551044416076875496e-10, -1.117955953849631451e-09, 1.090025164133361505e-09
2.029000000000000000e+03, -4.509464898132149733e-10, -7.008436364339460179e-10, -1.732162906933540222e-09, 2.542718559504551156e-10, 8.849714609628792669e-10, -1.444393469510480679e-09, -1.943396693580781708e-10
2.030000000000000000e+03, 1.393279426956979662e-10, 1.028046393024217224e-09, -5.226216602169768700e-10, -9.817094750433155997e-11, 8.654417287409259679e-10, -2.268971152729283494e-09, 7.244947302451576451e-10
