year, EC-Earth3-Veg, NorESM2-LM, MPI-ESM1-2-LR, INM-CM4-8, INM-CM5-0, MIROC-ES2L, CESM2-WACCM, ACCESS-ESM1-5, UKESM1-0-LL, CanESM5, TaiESM1, CMCC-CM2-SR5, GFDL-ESM4, NorESM2-MM, IPSL-CM6A-LR, CNRM-ESM2-1
2.015000000000000000e+03, 1.591758946890540649e+00, 1.204161410413433497e+00, 1.801710585610465154e+00, 3.029962508792247711e+00, 2.283939998039119512e+00, 1.707037533916164973e+00, 1.249274002360365232e+00, 8.581335016620159628e-01, 1.461489251909408926e+00, 3.922808018352767157e+00, 1.441949309930657730e+00, 1.372608071582477107e+00, 1.082415621681604101e+00, 1.326018256175037102e+00, 1.371910311241126612e+00, 1.874312109274703708e+00
2.016000000000000000e+03, 1.734291030650056964e+00, 1.077748752692185397e+00, 1.561145036007477227e+00, 2.925432516859695298e+00, 2.373961983289932132e+00, 1.800492899319689810e+00, 1.292935532625973494e+00, 8.808392143261760676e-01, 1.464535557369914587e+00, 4.081386319421816289e+00, 1.237447440952678335e+00, 1.528337412574463539e+00, 9.054442213504325654e-01, 1.198019881665272068e+00, 1.554513428884048754e+00, 1.480718641904131827e+00
2.017000000000000000e+03, 1.850571675171503339e+00, 1.181285859368423008e+00, 1.662648375409996326e+00, 2.981569882693722029e+00, 2.570501744382378106e+00, 1.891880627943671511e+00, 1.388287335212038176e+00, 8.480810498316448953e-01, 1.736420176998316967e+00, 3.973169912467628961e+00, 1.512261280571280508e+00, 1.782785963966495579e+00, 8.851586616891977677e-01, 1.261302036638974444e+00, 1.418131620206076526e+00, 1.801470114066016759e+00
2.018000000000000000e+03, 1.612818275160405213e+00, 1.236847806962236174e+00, 1.693155965754024939e+00, 3.042052939149006541e+00, 2.526046282945503485e+00, 1.724634028648545314e+00, 1.334380929352513068e+00, 9.814140282775490887e-01, 1.513714021579140034e+00, 3.947696942746282023e+00, 1.518881486188580432e+00, 1.416368272584897836e+00, 9.797750438620149716e-01, 1.300244197743206653e+00, 1.522256306850672924e+00, 1.469585218271349358e+00
2.019000000000000000e+03, 1.651187511575549438e+00, 1.302882785127072784e+00, 1.289217099785657572e+00, 3.001426595612881609e+00, 2.308090854619657240e+00, 1.791134759362909445e+00, 1.482966594364827584e+00, 8.703006540439344185e-01, 1.598489085668276966e+00, 3.938649341284282457e+00, 1.174950544430495736e+00, 1.483596973405461927e+00, 1.042297320500894964e+00, 1.446733929099387472e+00, 1.645173035355836699e+00, 1.775706398334580216e+00
2.020000000000000000e+03, 1.489651102961529583e+00, 1.349244195626093656e+00, 1.783739011333872471e+00, 3.220683635986339777e+00, 2.149348634174263584e+00, 1.660246695177993725e+00, 1.403454006582580904e+00, 8.344181072862975057e-01, 1.577023215714676185e+00, 4.111074260988098139e+00, 1.386168788095267335e+00, 1.461041004902049245e+00, 9.947208536381560995e-01, 1.308103247127752278e+00, 1.343415287274021708e+00, 1.571075631284373442e+00
2.021000000000000000e+03, 1.713837379843403452e+00, 1.117527559387454295e+00, 1.925390380523594791e+00, 2.895300422070290924e+00, 2.336896872335633812e+00, 1.684111287733819129e+00, 1.345399307997513727e+00, 9.242706406702267952e-01, 1.803787853491267912e+00, 4.355124716549529928e+00, 1.765868466965347050e+00, 1.674592200502907691e+00, 1.000885171166922216e+00, 1.477373464356476207e+00, 1.704907227842246575e+00, 1.907693023406808575e+00
2.022000000000000000e+03, 1.780753046209176960e+00, 1.349318113449372580e+00, 1.867607044856009368e+00, 2.882894442869992968e+00, 2.265666494539855691e+00, 1.719268475306826138e+00, 1.397067913851422816e+00, 9.844999537711766058e-01, 1.538804238180905282e+00, 4.430000207479765528e+00, 1.325862581289831033e+00, 1.500308614895400572e+00, 9.108599664670079532e-01, 1.450223793233545555e+00, 1.542987905083351929e+00, 1.768240519735221561e+00
2.023000000000000000e+03, 1.822727337243421175e+00, 1.375769453270238474e+00, 1.922535209286559743e+00, 2.717918949115687877e+00, 2.257403856977892698e+00, 1.658803096387992504e+00, 1.427497816611213777e+00, 9.652110414717571807e-01, 1.606769377158516976e+00, 4.173772684332567096e+00, 1.408629754372313636e+00, 2.082344261492417470e+00, 1.068402833354597403e+00, 1.556448409617267048e+00, 1.474697565412466771e+00, 1.671315276588317467e+00
2.024000000000000000e+03, 1.422364241481447467e+00, 1.517378790968237912e+00, 1.933220202819279976e+00, 2.764443815688243156e+00, 2.399915683483230033e+00, 1.746130006271990220e+00, 1.415651054345946180e+00, 9.265369924435742366e-01, 1.863661479109032681e+00, 4.167294916426378393e+00, 1.404755541658502915e+00, 1.575279631700697403e+00, 9.445477055897566476e-01, 1.435842112215198751e+00, 1.689221959424265451e+00, 1.497273526354187423e+00
2.025000000000000000e+03, 1.374185752090097301e+00, 1.360927375665581307e+00, 1.901910700631194162e+00, 2.890953534336862418e+00, 2.401614022106923318e+00, 1.672363883808588803e+00, 1.479115369532181035e+00, 1.024229880686702510e+00, 1.783871943691772044e+00, 4.456634474263863055e+00, 1.475328015722062736e+00, 1.344211354260336000e+00, 8.201540041306791817e-01, 1.401621761318116555e+00, 1.385305416760217678e+00, 1.603948349695521358e+00
2.026000000000000000e+03, 1.541654568642270906e+00, 1.234336904122882883e+00, 2.145399402249981602e+00, 3.106778749819262497e+00, 2.608328466583120786e+00, 1.832719050768996549e+00, 1.463450969589549011e+00, 8.840032141232436746e-01, 1.511533617897919290e+00, 4.340181765674356207e+00, 1.612881003862094875e+00, 1.672507007297692194e+00, 9.184985623309505076e-01, 1.432122767545960906e+00, 1.961791301596592652e+00, 1.911148555673639393e+00
