year, EC-Earth3-Veg, MPI-ESM1-2-LR, NorESM2-LM, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-MM, ACCESS-ESM1-5, CNRM-ESM2-1, TaiESM1, CMCC-CM2-SR5, CanESM5, CESM2-WACCM, MIROC-ES2L
1.850000000000000000e+03, 1.668416477531164288e+00, 1.037086465526601309e+01, 1.128503347474886676e+00, 9.981892476822046945e+00, 3.943349566584048116e+00, 1.331688902129049223e+00, 1.210562936624897779e+00, 7.267658696477047542e+00, 4.591581383740004352e-01, 1.913908169610585519e+00, 2.560748209432457401e+00, 1.270433554268575849e+00, 7.795236245893219618e+00
1.851000000000000000e+03, 1.694181228005247508e+00, 1.037353210755029309e+01, 1.125086055057023415e+00, 9.936265779276691745e+00, 3.971928895821552619e+00, 1.335821501000191924e+00, 1.207293476681636113e+00, 7.228666993493305881e+00, 6.973231483272159803e-01, 1.654172354401800105e+00, 2.514390445425871867e+00, 1.237414109730823109e+00, 7.764496563327144329e+00
1.852000000000000000e+03, 1.611141476580960186e+00, 1.041751187528173794e+01, 1.126596315117753599e+00, 1.002242769486677432e+01, 3.960340775286947945e+00, 1.341761998951401802e+00, 1.217304568229302220e+00, 7.210014089588118402e+00, 4.876376944755413945e-01, 1.506618549707679833e+00, 2.535227341953604885e+00, 1.225241125250748908e+00, 7.687961927293759601e+00
1.853000000000000000e+03, 1.543567073715767402e+00, 1.044273515397777707e+01, 1.118915332367016235e+00, 9.933765289709047153e+00, 3.970799586454709207e+00, 1.349720268386247035e+00, 1.224107357244839989e+00, 7.194574121380112430e+00, 7.035641015911291429e-01, 1.662998127029412743e+00, 2.626055872154104076e+00, 1.298309971618584635e+00, 7.629276658330504723e+00
1.854000000000000000e+03, 1.583620405668813458e+00, 1.036917250064204232e+01, 1.113647407518512322e+00, 9.783204692248183676e+00, 3.942838020519948472e+00, 1.386532147834334427e+00, 1.224376432787770419e+00, 7.223045938560356483e+00, 5.729033483336801735e-01, 1.865768231826511636e+00, 2.575105018103833743e+00, 1.292933286188911124e+00, 7.575421939107314984e+00
1.855000000000000000e+03, 1.535395308689138316e+00, 1.035396853282656338e+01, 1.106047621528319480e+00, 9.792212107303495117e+00, 3.915681261493905829e+00, 1.362530482952164279e+00, 1.218576878859730206e+00, 7.197199943013273149e+00, 4.475627567950817842e-01, 1.459396151455741419e+00, 2.508382011552895641e+00, 1.286919035642324349e+00, 7.561746477448043180e+00
1.856000000000000000e+03, 1.511961326995849841e+00, 1.038326463178774439e+01, 1.125263987488242190e+00, 9.897836174395610698e+00, 3.932011810169682153e+00, 1.315314598361218668e+00, 1.219445321521100301e+00, 7.253636627932602110e+00, 5.490744746319190517e-01, 1.754023286069310128e+00, 2.468872577688957293e+00, 1.297743135937671211e+00, 7.559679158179099190e+00
1.857000000000000000e+03, 1.573238585893591113e+00, 1.038019573250514860e+01, 1.155569020673770986e+00, 9.956547754849507825e+00, 3.930600645419104922e+00, 1.350440960138330260e+00, 1.225928642241801647e+00, 7.221793833978277455e+00, 6.222050523742509442e-01, 1.818337695633096107e+00, 2.514891953537898850e+00, 1.279166785469339818e+00, 7.581814829247426779e+00
1.858000000000000000e+03, 1.561948361049618317e+00, 1.033819439684686081e+01, 1.120040774302984099e+00, 9.856770084147271405e+00, 3.935343900328203137e+00, 1.349938688142839016e+00, 1.227931096345994177e+00, 7.208052440117854509e+00, 5.611884776098085004e-01, 1.545464652231262725e+00, 2.573816237142474428e+00, 1.254976480745107148e+00, 7.593140493972804883e+00
1.859000000000000000e+03, 1.583968701492068476e+00, 1.026495485821226339e+01, 1.091546801682871992e+00, 9.880880048088812373e+00, 3.938384498419051472e+00, 1.347595495908385121e+00, 1.237515160899460565e+00, 7.272915051802449682e+00, 4.356663702109585534e-01, 1.550884051436589584e+00, 2.562911420166134935e+00, 1.258088832509571597e+00, 7.588118116782940348e+00
