year, EC-Earth3-Veg, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, CMCC-CM2-SR5, MIROC-ES2L
1.850000000000000000e+03, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 2.911819735417297324e-03, 3.856121664670674517e-03, 1.611796911024099152e-05, 8.722837215185240411e-02, 3.133498734214299353e-03, 1.826571250233830213e-01
1.851000000000000000e+03, 1.930061100439886502e-03, 1.503303187193026115e-02, 9.000415783302198386e-04, 4.521915736400991016e-03, 1.275341005945258496e-02, 3.448138786630620213e-05, 1.550709416079067704e-01, 8.588876186174513802e-03, 2.319381163225663345e-01
1.852000000000000000e+03, 3.985476391511220094e-03, 3.725855619355319948e-02, 1.742870687823846803e-03, 5.744729980565664758e-03, 2.031389252195678688e-02, 4.367743361337106850e-05, 1.964886724533871365e-01, 1.303799129535482444e-02, 2.660986424654758209e-01
1.853000000000000000e+03, 5.990810173453963924e-03, 4.836127869741049801e-02, 2.518503988978325510e-03, 6.802381589737369755e-03, 2.609045527048188193e-02, 4.932626954648200592e-05, 2.283399424693968449e-01, 1.667069424059819741e-02, 2.921873583637960015e-01
1.854000000000000000e+03, 7.929791200652489686e-03, 5.811308520418011214e-02, 3.213898907004639552e-03, 7.516921768450696498e-03, 3.021550857899932274e-02, 5.557115556074370311e-05, 2.536296025535456078e-01, 1.961776521680588803e-02, 3.104225027713046203e-01
1.855000000000000000e+03, 9.841438594961423106e-03, 6.817388569832870393e-02, 3.844704364283154860e-03, 7.960320152001628194e-03, 3.422695022640130647e-02, 6.430525432113223003e-05, 2.755459811786025726e-01, 2.204089504754095166e-02, 3.240468663463831889e-01
1.856000000000000000e+03, 1.170119006484686246e-02, 7.770625109984048706e-02, 4.416941683263345825e-03, 8.114731340698285583e-03, 3.690413430536359368e-02, 6.886645250298125320e-05, 2.930147599977793171e-01, 2.405682740112877888e-02, 3.345227123983767759e-01
1.857000000000000000e+03, 1.351327207141403593e-02, 8.772017453131579490e-02, 4.873590876199082600e-03, 8.093137939067905282e-03, 3.897427739113082379e-02, 7.103711246358718060e-05, 3.064306034849850757e-01, 2.573518453347650378e-02, 3.441173980343152916e-01
1.858000000000000000e+03, 1.530364634999392855e-02, 9.701930019140142525e-02, 5.265079634177690163e-03, 7.967433002342988110e-03, 4.148847251917665846e-02, 7.567918329400472152e-05, 3.164037343359106247e-01, 2.714872688690163696e-02, 3.511633834250589281e-01
1.859000000000000000e+03, 1.704242125424520679e-02, 1.056761668448476937e-01, 5.603606413715061900e-03, 7.822623528686463434e-03, 4.399843638874644663e-02, 8.134006014121956366e-05, 3.259681275732108086e-01, 2.835503379455181147e-02, 3.568388053474246258e-01
1.860000000000000000e+03, 1.871564579366854705e-02, 1.136643718031193351e-01, 5.753350162727314220e-03, 7.801222912780185655e-03, 4.518200191994450887e-02, 8.656926181203010830e-05, 3.334730043826024115e-01, 2.924979041360161250e-02, 3.604674978607035896e-01
1.861000000000000000e+03, 2.029552562348170205e-02, 1.196674552935224484e-01, 5.906185388458335371e-03, 7.529682563901947921e-03, 4.620747652451998033e-02, 9.095677535114116195e-05, 3.388451471441823459e-01, 2.991847728131547327e-02, 3.639592805704481293e-01
1.862000000000000000e+03, 2.182520288461910207e-02, 1.264505074358762970e-01, 6.058999668708132079e-03, 7.309711390180233595e-03, 4.746754628892522337e-02, 9.208386428323939729e-05, 3.431525842639053803e-01, 3.054631538212401048e-02, 3.674731200393942521e-01
1.863000000000000000e+03, 2.331156744091120864e-02, 1.331245223397637123e-01, 6.248180376313979857e-03, 7.171842332718285536e-03, 4.779958316259300816e-02, 9.480405953141837825e-05, 3.464469059041673238e-01, 3.113417796329882511e-02, 3.710931344191586434e-01
1.864000000000000000e+03, 2.465107218494817440e-02, 1.396575696187102866e-01, 6.436843447886677651e-03, 7.060726983865965069e-03, 4.845529696156383737e-02, 9.734221833777632969e-05, 3.500324027351482403e-01, 3.169721078767293726e-02, 3.746770732170793816e-01
