year, CMCC-CM2-SR5, MPI-ESM1-2-LR, CanESM5, EC-Earth3-Veg, NorESM2-LM, TaiESM1, CNRM-ESM2-1, UKESM1-0-LL, MIROC-ES2L, CESM2-WACCM, GFDL-ESM4, IPSL-CM6A-LR, ACCESS-ESM1-5, NorESM2-MM
1.850000000000000000e+03, 6.960784337478553141e+01, 2.210206258867474816e+01, 5.117857715342363178e+01, 4.954836816112565856e+01, 3.294001148012725366e+01, 2.863804483569107617e+01, 4.226035936923933178e+01, 6.087026700197076678e+01, 2.668181125483259564e+01, 3.803046809815742080e+01, 1.589769701303850624e+01, 2.347957821443143800e+01, 1.540599928982415534e+01, 4.033708666890097305e+01
1.851000000000000000e+03, 6.970036513283793056e+01, 2.216795844623272771e+01, 5.117840421961621900e+01, 4.957403623557550532e+01, 3.294463076718686523e+01, 2.868819483261051673e+01, 4.227779303664161148e+01, 6.087883659577452278e+01, 2.663726794936133757e+01, 3.801039323679545845e+01, 1.602370034236539453e+01, 2.349062443754693064e+01, 1.540144706977513422e+01, 4.031077403501176804e+01
1.852000000000000000e+03, 6.963629769397037705e+01, 2.226064882516904220e+01, 5.117853260190193510e+01, 4.957546884997906744e+01, 3.295274845188807689e+01, 2.866893471621134637e+01, 4.226541074641265539e+01, 6.102678174490004892e+01, 2.661534577606431995e+01, 3.797499870172327974e+01, 1.599876727985424196e+01, 2.349073937425811565e+01, 1.540804681228326878e+01, 4.029792908335889479e+01
1.853000000000000000e+03, 6.961987648643071225e+01, 2.231142605535357148e+01, 5.118276170922496249e+01, 4.954077642966792894e+01, 3.294806590048795414e+01, 2.873047126280642871e+01, 4.222689908094035616e+01, 6.101732100905766742e+01, 2.660628302010243473e+01, 3.797549300288954299e+01, 1.572949623260161367e+01, 2.349283488553912136e+01, 1.541547371652337617e+01, 4.028865131210810091e+01
1.854000000000000000e+03, 6.970624828678667484e+01, 2.226347205814637675e+01, 5.119014988115920062e+01, 4.953203656299691460e+01, 3.294653904209437201e+01, 2.880484442969369852e+01, 4.223605485240729251e+01, 6.086382424021644511e+01, 2.662707754833056839e+01, 3.800167449769214301e+01, 1.581138547216842305e+01, 2.348577062326062048e+01, 1.542343698537200325e+01, 4.029285503754289266e+01
1.855000000000000000e+03, 6.969354255269229270e+01, 2.227974898225415501e+01, 5.119150563001907273e+01, 4.952435472336232181e+01, 3.292826470407780448e+01, 2.869058886599997749e+01, 4.222562868578411610e+01, 6.079148977476664584e+01, 2.660482594697401026e+01, 3.801017090259926334e+01, 1.597973007044228133e+01, 2.348078759322952536e+01, 1.542363570302832620e+01, 4.029825672481608478e+01
1.856000000000000000e+03, 6.967406819640081039e+01, 2.234761708430727722e+01, 5.119239093637413873e+01, 4.946781491562006750e+01, 3.292280778357554283e+01, 2.866638973986199090e+01, 4.222338337954405318e+01, 6.099030631223913446e+01, 2.654235217448321649e+01, 3.802896097397855613e+01, 1.609516696373362521e+01, 2.348225609735335340e+01, 1.542501710188290076e+01, 4.027319578618712370e+01
1.857000000000000000e+03, 6.976057972495799220e+01, 2.235993386334439137e+01, 5.118058626461223781e+01, 4.946023516797178132e+01, 3.294558950791088847e+01, 2.873625057072530709e+01, 4.224132717574116924e+01, 6.100350218087490362e+01, 2.648041915558759740e+01, 3.803526251356399257e+01, 1.589678926842790041e+01, 2.347772280756984387e+01, 1.543379026214454797e+01, 4.025699051367953274e+01
1.858000000000000000e+03, 6.977177516254832312e+01, 2.233479803839621169e+01, 5.117620278257344779e+01, 4.944278159752183655e+01, 3.295611704213204973e+01, 2.876788137744754792e+01, 4.224602029802225189e+01, 6.094417592212933954e+01, 2.640520415774379259e+01, 3.802274490594452772e+01, 1.590858651681220515e+01, 2.347471569418231852e+01, 1.543965421738626986e+01, 4.026048694004696671e+01
1.859000000000000000e+03, 6.973019371198400052e+01, 2.230849057540685720e+01, 5.117958824230152004e+01, 4.942367799502466141e+01, 3.292860059087338698e+01, 2.865101631456346354e+01, 4.223265738544439074e+01, 6.089101085597126684e+01, 2.636532818677401480e+01, 3.800699972756127920e+01, 1.588603464828908507e+01, 2.347346472494783853e+01, 1.545240781422864274e+01, 4.025424224492537917e+01
1.860000000000000000e+03, 6.975140158183154426e+01, 2.238163102430146978e+01, 5.118721978832715536e+01, 4.941567442102684993e+01, 3.290742779205561419e+01, 2.865300262353300198e+01, 4.225371983567004719e+01, 6.082474216387402066e+01, 2.631499620960095953e+01, 3.800568338093420806e+01, 1.598103199516709338e+01, 2.346911945961747392e+01, 1.546207583074316183e+01, 4.025471350738128251e+01
1.861000000000000000e+03, 6.978907560388707054e+01, 2.250688793200551885e+01, 5.120230121368710030e+01, 4.938676080658909484e+01, 3.290910922123012483e+01, 2.879203367329965246e+01, 4.223101000409945982e+01, 6.091404079423097784e+01, 2.623936583630428387e+01, 3.798351530496786665e+01, 1.608789302343221550e+01, 2.346728184786398685e+01, 1.547048302364131089e+01, 4.026069379572517448e+01
1.862000000000000000e+03, 6.983250627087470264e+01, 2.247767460629731318e+01, 5.120445332494561796e+01, 4.938643848973557482e+01, 3.290760063705305072e+01, 2.873209284192648383e+01, 4.224614138712097144e+01, 6.093292205461978739e+01, 2.621071714182324897e+01, 3.797059328694113844e+01, 1.623773342333196723e+01, 2.347019189801952166e+01, 1.548198048727187803e+01, 4.026438090178137230e+01
1.863000000000000000e+03, 6.981597129759259701e+01, 2.240826950427120678e+01, 5.121659488089701284e+01, 4.941796465235076141e+01, 3.292178903680802904e+01, 2.867235034296011165e+01, 4.224527662995026134e+01, 6.097622598131615490e+01, 2.622637205757105860e+01, 3.797513692783574868e+01, 1.633689899107740473e+01, 2.347853608186372654e+01, 1.549037633588766205e+01, 4.026509067078262660e+01
1.864000000000000000e+03, 6.979502378351986636e+01, 2.243634632212664926e+01, 5.122990097243301477e+01, 4.943711214759527905e+01, 3.296066148916082028e+01, 2.870620374658265916e+01, 4.226297976582528548e+01, 6.100557013670145068e+01, 2.620826418595353147e+01, 3.799267722907972455e+01, 1.630946879294813101e+01, 2.348282339581622935e+01, 1.547896645098286683e+01, 4.027594039881194732e+01
1.865000000000000000e+03, 6.983302461369099490e+01, 2.246093918477665596e+01, 5.122109492253905216e+01, 4.945772868399062361e+01, 3.294079913414796579e+01, 2.874347047317644410e+01, 4.226003993448495066e+01, 6.091919386891680688e+01, 2.615756363095348291e+01, 3.801050907738319751e+01, 1.616595905424080115e+01, 2.348599131265913798e+01, 1.545991976927841804e+01, 4.028187622943369917e+01
1.866000000000000000e+03, 6.984569610895744063e+01, 2.239303864810769440e+01, 5.122112094110094205e+01, 4.946746934630100867e+01, 3.290666563270281841e+01, 2.879159676280542257e+01, 4.224698120589412298e+01, 6.085327866671234176e+01, 2.609662142923512107e+01, 3.803390841147577817e+01, 1.600794531678768706e+01, 2.347902619860213136e+01, 1.544795037010454664e+01, 4.028661955068812972e+01
1.867000000000000000e+03, 6.985241105189297173e+01, 2.247563946451602845e+01, 5.123237290036626490e+01, 4.948102034468568178e+01, 3.291351943667106639e+01, 2.874130097263793715e+01, 4.224558663108177825e+01, 6.079014294428173315e+01, 2.605990367132353569e+01, 3.803669583435780055e+01, 1.578517266912490413e+01, 2.347158993500555013e+01, 1.543930252059274899e+01, 4.028810425902033643e+01
1.868000000000000000e+03, 6.993277398165533043e+01, 2.252784715435541329e+01, 5.123812704458123335e+01, 4.947844256697495524e+01, 3.292631858585936300e+01, 2.866309943015992445e+01, 4.223940879435579632e+01, 6.071865633711842491e+01, 2.605356143931778590e+01, 3.803015171582319454e+01, 1.569449478009805787e+01, 2.346531685943298839e+01, 1.542479716189714622e+01, 4.025376368520328896e+01
1.869000000000000000e+03, 7.000256732813251404e+01, 2.246430968676294171e+01, 5.123157928660314298e+01, 4.949241698363049125e+01, 3.293794724856068257e+01, 2.857143071575231730e+01, 4.226302696682645177e+01, 6.073425809657509689e+01, 2.604368380012234852e+01, 3.802730584532545066e+01, 1.585568986755146526e+01, 2.346785481404317864e+01, 1.539408872923264227e+01, 4.021739764251817917e+01
1.870000000000000000e+03, 7.008555065772947046e+01, 2.246024364982764254e+01, 5.122979956158111037e+01, 4.950283878266559867e+01, 3.291826517259502083e+01, 2.861455507884674532e+01, 4.227414318637622870e+01, 6.069127983429485340e+01, 2.602504401223250241e+01, 3.801502601176700580e+01, 1.601336764434460491e+01, 2.346360309647463893e+01, 1.538624294140288562e+01, 4.021452044497047495e+01
1.871000000000000000e+03, 7.002388406377065166e+01, 2.245470400935543864e+01, 5.123549269063604328e+01, 4.951511794247840470e+01, 3.291104602213670915e+01, 2.866842111420679373e+01, 4.223887658447711146e+01, 6.070611444889833308e+01, 2.599557008083229093e+01, 3.800460901011233972e+01, 1.592594651319304688e+01, 2.346117668796136257e+01, 1.538068629177436364e+01, 4.020303686660122366e+01
