year, UKESM1-0-LL, IPSL-CM6A-LR, CESM2-WACCM, CNRM-ESM2-1
1.850000000000000000e+03, 4.539526645330890116e-10, -3.186764529901998931e-10, 2.985488950651464847e-13, 0.000000000000000000e+00
1.851000000000000000e+03, 4.381111117410929549e-10, -3.731670086488682288e-10, 1.038289105285285219e-10, 1.268540885659309589e-11
1.852000000000000000e+03, 4.068745496817696234e-10, -3.920262182849019055e-10, 1.138937735938363422e-10, 1.365200623035150147e-11
1.853000000000000000e+03, 4.044069346804342773e-10, -3.697114443352925839e-10, 1.223042171860856056e-10, 1.459584978933741101e-11
1.854000000000000000e+03, 4.362966027796904399e-10, -3.922883515084591156e-10, 1.282028357169016903e-10, 1.523984696230381501e-11
1.855000000000000000e+03, 4.789919463156742915e-10, -4.039583717451534442e-10, 1.333478726660637135e-10, 1.618249902743984354e-11
1.856000000000000000e+03, 4.211418983309183114e-10, -4.145498288740888975e-10, 1.370629243039714244e-10, 1.714227844599931537e-11
1.857000000000000000e+03, 4.263139853093409072e-10, -4.080849649635540518e-10, 1.400266381647794619e-10, 1.729756997437022289e-11
1.858000000000000000e+03, 4.592963719017140952e-10, -4.171920873541382560e-10, 1.425039860512990398e-10, 1.816808946163721395e-11
1.859000000000000000e+03, 4.696193134367280346e-10, -4.134574839034219149e-10, 1.451606280621417303e-10, 1.944393294588459552e-11
1.860000000000000000e+03, 5.118076115552972652e-10, -4.192384152069794730e-10, 1.472416199176130485e-10, 1.940198052618121794e-11
1.861000000000000000e+03, 4.784071756496554876e-10, -4.159975113615661024e-10, 1.434389075884956760e-10, 1.970514869996285438e-11
1.862000000000000000e+03, 4.566133060537857870e-10, -4.306210608217415636e-10, 1.448299741197695522e-10, 1.986327500282594634e-11
1.863000000000000000e+03, 4.894773097524707098e-10, -4.398298719689999575e-10, 1.458345044166863053e-10, 2.019674604183693833e-11
1.864000000000000000e+03, 4.877264960817055651e-10, -4.232393996909473253e-10, 1.467791851505585529e-10, 2.030770392114808226e-11
1.865000000000000000e+03, 5.203004481506128417e-10, -4.339478358267836778e-10, 1.474248729820417879e-10, 2.052213424621586190e-11
1.866000000000000000e+03, 5.678157172503442863e-10, -4.392535846718249358e-10, 1.479611292000933078e-10, 2.185085849143814953e-11
1.867000000000000000e+03, 5.252333674823021741e-10, -4.207130182641938986e-10, 1.480031005318362261e-10, 2.183189197013597576e-11
1.868000000000000000e+03, 5.417466749493883241e-10, -4.480502694648637558e-10, 1.482855184502933150e-10, 2.216129492620730039e-11
