year, UKESM1-0-LL, ACCESS-ESM1-5, CESM2-WACCM, MIROC-ES2L, IPSL-CM6A-LR, CMCC-ESM2, CNRM-ESM2-1, MPI-ESM1-2-LR
1.850000000000000000e+03, 7.325298166992036121e-14, 0.000000000000000000e+00, 5.259959445231110525e-11, 7.265788205550053143e-10, 3.122846914745911865e-10, 4.514907918686412515e-12, 0.000000000000000000e+00, 8.189699388748743668e-10
1.851000000000000000e+03, 1.451705205121498140e-13, 3.099193428150944658e-11, 7.134695741324140311e-11, 8.189319839810515583e-10, 3.664094273409295625e-10, 1.239412767859350612e-11, 0.000000000000000000e+00, 1.262858269571400571e-09
1.852000000000000000e+03, 1.633716086179616525e-13, 6.408089992803241996e-11, 9.184780814424728310e-11, 8.566070953389608167e-10, 3.848862481021373740e-10, 1.878774959995341653e-11, 7.088377098303596225e-13, 1.365649593185332298e-09
1.853000000000000000e+03, 1.649109966320880643e-13, 6.214232384194398493e-11, 1.032130244482414440e-10, 8.901834412130669253e-10, 3.621858196561996548e-10, 2.398528241891170426e-11, 1.435267115657251414e-12, 1.421921795063738423e-09
1.854000000000000000e+03, 1.686354226994882962e-13, 6.106475090970647941e-11, 1.042166668742216415e-10, 9.022406333789794418e-10, 3.843712516099585552e-10, 2.824107522747751290e-11, 2.176578340414344959e-12, 1.465975089676449735e-09
1.855000000000000000e+03, 1.845840444867160320e-13, 6.336244304320707781e-11, 1.144000818114779994e-10, 9.103271420260011462e-10, 3.956433764272292484e-10, 3.174982306553463270e-11, 2.910679135178968542e-12, 1.521186280603041725e-09
1.856000000000000000e+03, 1.808035970686555359e-13, 6.550236380580854725e-11, 1.142144956626168966e-10, 9.144575566218411675e-10, 4.058337162448144247e-10, 3.465797256646375121e-11, 3.658651861443979781e-12, 1.561045852747936204e-09
1.857000000000000000e+03, 1.683418569906777646e-13, 6.944443472736751519e-11, 1.123294916165228862e-10, 9.262333740658334560e-10, 3.989648907197881705e-10, 3.708309297288894033e-11, 4.418789798044935481e-12, 1.584608523599418320e-09
1.858000000000000000e+03, 1.703623860733528360e-13, 7.181926547721741333e-11, 1.226178455671079991e-10, 9.264181631462304338e-10, 4.076597704829167018e-10, 3.913001832236333751e-11, 5.138427793124306616e-12, 1.594346413876955944e-09
1.859000000000000000e+03, 1.787121183281339891e-13, 7.337218815103274705e-11, 1.369308953990467316e-10, 9.253435579021306581e-10, 4.035082597666786524e-10, 4.086099903268287202e-11, 5.868990804416198215e-12, 1.622837138782281189e-09
1.860000000000000000e+03, 1.858680440769184250e-13, 7.427182873465985463e-11, 1.352324004281421940e-10, 9.155909132052531774e-10, 4.087511657420260691e-10, 4.209704259911344415e-11, 6.635699369024655394e-12, 1.638606438741365343e-09
1.861000000000000000e+03, 1.898668252449322866e-13, 7.193803978772447026e-11, 1.399130998213558364e-10, 9.131036002112196288e-10, 4.051598839030870904e-10, 4.295658160859002875e-11, 6.688888447780661997e-12, 1.642982710929276333e-09
1.862000000000000000e+03, 1.790808232028852453e-13, 7.325634396997714073e-11, 1.486504177083303975e-10, 9.122293086970529023e-10, 4.194301913050900914e-10, 4.372561768107770138e-11, 6.744604281721093097e-12, 1.644200695216246584e-09
1.863000000000000000e+03, 1.771239740159672874e-13, 7.461862100373320377e-11, 1.444832053303392662e-10, 9.129411349751054234e-10, 4.282830451586085349e-10, 4.437236220388814735e-11, 6.788767310015733903e-12, 1.647381214699601178e-09
1.864000000000000000e+03, 1.763140565020871306e-13, 7.588743986134937312e-11, 1.453824975792632157e-10, 9.124026275120229077e-10, 4.113404008645247376e-10, 4.497014363082388359e-11, 6.853385833282753905e-12, 1.659545778936672083e-09
1.865000000000000000e+03, 1.794368716735017789e-13, 7.663958903993411672e-11, 1.451339984424965607e-10, 9.257426696797067264e-10, 4.216829352033657973e-10, 4.555997860700418042e-11, 6.905078794710446970e-12, 1.666032517429520677e-09
1.866000000000000000e+03, 1.907180045890326435e-13, 7.643170335599515049e-11, 1.384301607036769853e-10, 9.202846950395889447e-10, 4.266207076366153088e-10, 4.613922947585191564e-11, 6.958070548742835285e-12, 1.681736483049524434e-09
1.867000000000000000e+03, 1.919858037285553818e-13, 7.888599626057347411e-11, 1.440463855447267482e-10, 9.244526544013507647e-10, 4.077072822619710483e-10, 4.670345709499473631e-11, 7.124596035892972539e-12, 1.692005637838001391e-09
1.868000000000000000e+03, 1.867502008822981612e-13, 7.870221443713925502e-11, 1.345475270378601768e-10, 9.209305311057409493e-10, 4.346650453665623605e-10, 4.721084410165254889e-11, 7.265475136790016781e-12, 1.680038489582392094e-09
1.869000000000000000e+03, 1.916999653123502514e-13, 7.960948450204501660e-11, 1.475013335260491247e-10, 9.271084624840290476e-10, 4.408580581645026688e-10, 4.769592290329871495e-11, 7.383149948400301025e-12, 1.684168628933347378e-09
