year, MIROC-ES2L, GFDL-ESM4, IPSL-CM6A-LR, INM-CM4-8, MPI-ESM1-2-LR, CNRM-ESM2-1, ACCESS-ESM1-5, EC-Earth3-Veg, INM-CM5-0, CanESM5, NorESM2-MM, CMCC-ESM2, UKESM1-0-LL, TaiESM1, CESM2-WACCM, NorESM2-LM
1.850000000000000000e+03, 2.585752131673615839e+00, 4.045045825967522823e+00, 2.854870791500221383e+00, 2.561955832991147819e+00, 4.209324826930088470e+00, 2.706311006466388225e+00, 1.788425163420186870e+00, 4.243012330647931485e+00, 2.520835856359156413e+00, 2.792345067414309323e+00, 2.854036593028730362e+00, 3.138509537628655366e+00, 4.188792902870745571e+00, 4.130982530318089374e+00, 3.041868104936802375e+00, 2.513219077361472209e+00
1.851000000000000000e+03, 2.586427434202879017e+00, 4.301188793627710005e+00, 2.750968104418242799e+00, 2.573823714707372368e+00, 4.116677468015623731e+00, 2.701916805014457523e+00, 1.829000440367566815e+00, 4.191627876364992566e+00, 2.539484284304192485e+00, 2.898103247111867287e+00, 2.911239163876820690e+00, 2.771146942738818009e+00, 4.192514768143510651e+00, 3.902609837377843949e+00, 3.077093705507796706e+00, 2.534005754063448190e+00
1.852000000000000000e+03, 2.570836976872685753e+00, 3.962711458615989724e+00, 2.706549539725494835e+00, 2.558555447060478105e+00, 3.981636505512683222e+00, 2.700291511704243419e+00, 1.840032736755204734e+00, 4.126565528244147352e+00, 2.519986358744140453e+00, 2.910710043942942971e+00, 2.963928951494734676e+00, 3.197032159642044569e+00, 4.179835269332217607e+00, 4.049211644328687854e+00, 3.140809407829483924e+00, 2.451264220574224773e+00
1.853000000000000000e+03, 2.557824912061828382e+00, 3.861404506560770500e+00, 2.596647985503070633e+00, 2.580349255483078252e+00, 3.844717108912477865e+00, 2.852682451375978978e+00, 1.866115280764039541e+00, 4.055165275356966248e+00, 2.541785123751378439e+00, 2.749598001922113344e+00, 2.960468505602120270e+00, 3.637182103680687728e+00, 4.177560076178903792e+00, 3.715955192345587577e+00, 3.197536064254563826e+00, 2.450998692613035601e+00
1.854000000000000000e+03, 2.555371267911155542e+00, 4.106276379440366497e+00, 2.680956160941123656e+00, 2.530135784011191546e+00, 4.103754880648884829e+00, 2.769132477231967204e+00, 1.835139371647093842e+00, 4.066395897012793803e+00, 2.579400451115463344e+00, 2.754036414517940123e+00, 3.021795099163322895e+00, 3.701202771452920981e+00, 4.178883995802433304e+00, 3.516200349954969884e+00, 3.131424579539866748e+00, 2.487742903110713666e+00
1.855000000000000000e+03, 2.551387640955010916e+00, 4.285259462429548805e+00, 2.738120708201216669e+00, 2.556813918106536576e+00, 4.169324350125891421e+00, 2.864263407942441830e+00, 1.817081249161089485e+00, 4.166143104228671845e+00, 2.550779946201578774e+00, 2.856758632186574776e+00, 2.922901524792853589e+00, 3.640662180669163916e+00, 4.192872498722260310e+00, 3.963151933104141822e+00, 3.075472438644986983e+00, 2.475679747454338830e+00
1.856000000000000000e+03, 2.546049359297127168e+00, 4.308173467284966307e+00, 2.730193176069181327e+00, 2.580999865857932285e+00, 4.030201864272126677e+00, 2.807506808932122677e+00, 1.862965082827486185e+00, 4.106074824410395507e+00, 2.532858808550383589e+00, 2.923165635602936963e+00, 2.898254371655810679e+00, 3.401727278094314855e+00, 4.175839558693700049e+00, 4.320815400257574268e+00, 3.050697752097653925e+00, 2.479729387504050031e+00
1.857000000000000000e+03, 2.530537926948624339e+00, 3.962465755809171597e+00, 2.654461457635421073e+00, 2.543431401382533430e+00, 3.885931669409025346e+00, 2.774656270183896378e+00, 1.839124008223684603e+00, 4.150830590728642022e+00, 2.560235289146809201e+00, 2.865618430950736872e+00, 2.985382357282127863e+00, 3.236894799701064418e+00, 4.173101977817032626e+00, 3.996907669005510311e+00, 2.974025821593241137e+00, 2.468992228942032519e+00
1.858000000000000000e+03, 2.524388087361898680e+00, 4.008809608797867519e+00, 2.700408155153759537e+00, 2.583692576148596043e+00, 4.065533980060050290e+00, 2.816807540168107415e+00, 1.839770209896574249e+00, 4.121101493976859764e+00, 2.559075160612219069e+00, 2.879640455672969779e+00, 3.006454308326137692e+00, 3.331795202639865394e+00, 4.181437022222281641e+00, 3.737517957294371751e+00, 2.986324964065432575e+00, 2.361682217516787308e+00
1.859000000000000000e+03, 2.522672303610890676e+00, 4.040364360866555593e+00, 2.724076836834639970e+00, 2.579142102960797267e+00, 4.303250006345373357e+00, 2.793998534715901538e+00, 1.866054786345250793e+00, 4.119432145717182081e+00, 2.538337865723542919e+00, 2.911457062297764686e+00, 3.015872172022903808e+00, 3.348236236544685607e+00, 4.175647249442470788e+00, 4.079345453061661075e+00, 2.995205782135935912e+00, 2.410305962623275011e+00
