year, MPI-ESM1-2-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, EC-Earth3-Veg, NorESM2-MM, INM-CM4-8, TaiESM1, IPSL-CM6A-LR, INM-CM5-0, CMCC-CM2-SR5, UKESM1-0-LL, CESM2-WACCM, MIROC-ES2L, GFDL-ESM4, ACCESS-ESM1-5
1.850000000000000000e+03, 4.499750996755793153e+00, 3.007807720416467046e+00, 2.447624647723983582e+00, 3.530713300434548341e+00, 3.967507314830391429e+00, 3.728914311295955741e+00, 5.072312398393859390e+00, 4.124143724314225601e+00, 2.380086497699903436e+00, 4.895609369834902580e+00, 2.694971917909157355e+00, 4.637094216101357524e+00, 3.545005291799333769e+00, 2.947568020656667453e+00, 4.239117315111057493e+00, 2.170395111355014173e+00
1.851000000000000000e+03, 4.358704264854419641e+00, 2.995744320371535707e+00, 2.481603003116079176e+00, 3.749169553118580023e+00, 3.982530378249375058e+00, 3.687728319448260628e+00, 5.167333187752237045e+00, 3.734711918052494362e+00, 2.205110784557402059e+00, 5.038866066399308785e+00, 3.317863845599090755e+00, 4.474760104693523921e+00, 3.662965259865154088e+00, 2.822287648157180584e+00, 4.636450442030525032e+00, 2.313306004351242784e+00
1.852000000000000000e+03, 4.227601843772316847e+00, 3.072061002218113401e+00, 2.636346938366809223e+00, 3.717143515281396304e+00, 3.647159618319527397e+00, 3.740343481304746920e+00, 5.024354217268188982e+00, 4.081418239782050428e+00, 2.261768429990242968e+00, 4.947820123745590770e+00, 3.101295355843980861e+00, 4.076208338071918291e+00, 3.811895498939660509e+00, 2.706434172507295344e+00, 4.130309653311707407e+00, 2.334551652950620948e+00
1.853000000000000000e+03, 4.023641797838230616e+00, 3.042075044071196999e+00, 2.665414636430919249e+00, 3.482099103571017373e+00, 3.729394025261411727e+00, 3.765794860414263034e+00, 5.225717526664450219e+00, 3.495077728624484958e+00, 2.169170770094253964e+00, 5.066001308652736235e+00, 2.856226781481016275e+00, 4.171954693040185624e+00, 3.478585928875370215e+00, 2.801271184382760460e+00, 4.071054746505033073e+00, 2.361083293994998389e+00
1.854000000000000000e+03, 4.421929952570782696e+00, 3.045599796786722102e+00, 2.600798109553382975e+00, 3.493242025652555149e+00, 4.239249912178429724e+00, 3.482643275011918949e+00, 4.952535808726616473e+00, 3.911964376334967408e+00, 2.275230380839493360e+00, 5.316121591359291187e+00, 2.957603942868213487e+00, 4.472921908204295249e+00, 3.523116215007759955e+00, 2.835689373090866550e+00, 4.464613810367302094e+00, 2.244203351540555946e+00
1.855000000000000000e+03, 4.489205090513126883e+00, 3.101580513314976972e+00, 2.737522658684209631e+00, 3.700117010215938862e+00, 3.858436548636829500e+00, 3.610221368104083783e+00, 5.090232445039367448e+00, 4.208967411252038993e+00, 2.372866038889715590e+00, 5.053121993411386015e+00, 3.309589774681433560e+00, 4.781552128160980075e+00, 3.441062170981740831e+00, 2.870467825332458478e+00, 4.614459804762912398e+00, 2.257475798535931499e+00
1.856000000000000000e+03, 4.390709016649571694e+00, 2.982862583222394726e+00, 2.520212007972090884e+00, 3.767020798832846129e+00, 3.933746117417288080e+00, 3.874719894382926189e+00, 5.274642210947098064e+00, 3.746386884827828112e+00, 2.315041968708996922e+00, 5.076576583379607932e+00, 2.760460769164873707e+00, 4.075890322172038616e+00, 3.362437172121425455e+00, 2.797534897100645068e+00, 4.528033080948767441e+00, 2.365131332825571864e+00
1.857000000000000000e+03, 4.184872870708140624e+00, 2.832478311225724799e+00, 2.532427536709096483e+00, 3.671921383124803206e+00, 4.017765902916476506e+00, 3.719259033677155379e+00, 4.946272437990420379e+00, 3.804510194272148649e+00, 2.219747421187827197e+00, 5.212905749712187564e+00, 2.999370653382203766e+00, 4.087388944121280510e+00, 3.412652373980466614e+00, 2.825931968311881093e+00, 4.137781456204271180e+00, 2.262894091565243126e+00
1.858000000000000000e+03, 4.433629018991696036e+00, 3.069223904882246057e+00, 2.850838079228742661e+00, 3.726760496925043409e+00, 3.857216535605060503e+00, 3.769344256650826175e+00, 5.261231271484688499e+00, 4.058245156128123199e+00, 2.365585893673368023e+00, 5.150301757262012892e+00, 3.222714166776133204e+00, 4.408701910905564958e+00, 3.517722207089854614e+00, 2.721886577934354623e+00, 4.264840809544877764e+00, 2.368577141503030781e+00
1.859000000000000000e+03, 4.662260497158938755e+00, 3.141876693621814987e+00, 2.357635905897004669e+00, 3.695746981610880777e+00, 3.941214178426466042e+00, 3.786000883337092393e+00, 5.130453825726541517e+00, 4.323108016624316541e+00, 2.216193004772095243e+00, 5.082243342129185493e+00, 3.033980506800640242e+00, 4.398869224901779340e+00, 3.518847699765345727e+00, 2.839612125081134586e+00, 4.310622279467263951e+00, 2.323535032659862942e+00
