year, NorESM2-MM, EC-Earth3-Veg, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, CMCC-CM2-SR5, CESM2-WACCM, MIROC-ES2L, INM-CM5-0, GFDL-ESM4, IPSL-CM6A-LR, NorESM2-LM, CNRM-ESM2-1, CanESM5, TaiESM1, INM-CM4-8
1.850000000000000000e+03, 7.530162291648049511e+00, 7.025468777107932716e+00, 6.049126185959423196e+00, 7.905326523278136008e+00, 6.354274614741141747e+00, 6.295024912124851824e+00, 8.774905281034795834e+00, 5.783622733988506681e+00, 8.483687774113935376e+00, 7.063638432039257786e+00, 8.722223206390850692e+00, 6.734465723883028332e+00, 6.321469753111175649e+00, 7.358920447026250145e+00, 6.701571518919680059e+00, 8.455060142686315672e+00
1.851000000000000000e+03, 7.333155108739174644e+00, 6.763562024473642964e+00, 6.039836752890896499e+00, 7.930235626060475163e+00, 6.307259025678535913e+00, 7.880376640041537151e+00, 8.372547274490028002e+00, 6.020231583538351749e+00, 8.501610527632021075e+00, 7.487884314894608373e+00, 9.115173992884285425e+00, 6.906931651795523486e+00, 6.379388737882027982e+00, 7.526690146387423397e+00, 7.402779534148251628e+00, 8.439884814866054796e+00
1.852000000000000000e+03, 7.932036558679119942e+00, 6.370320389825284479e+00, 5.737353508868849872e+00, 7.499009496988582768e+00, 5.757435997120519566e+00, 7.556614527399622361e+00, 8.342187171857819550e+00, 6.561969894826810368e+00, 8.876630825523474044e+00, 6.146326908257853994e+00, 9.456876898414568799e+00, 6.965357065322252517e+00, 6.787598423637569489e+00, 7.799558190748160591e+00, 6.698679321550959465e+00, 8.350330928378578932e+00
1.853000000000000000e+03, 7.328014545012721648e+00, 6.779746900009328670e+00, 5.426929545668905952e+00, 7.804994630082733309e+00, 6.389850017930078785e+00, 7.003433736740340088e+00, 8.068722924050517165e+00, 6.339775307225751000e+00, 8.747480268024625971e+00, 6.792377064231881256e+00, 9.192496959310332727e+00, 6.789771171425761587e+00, 6.785331680016116529e+00, 7.619922539648747772e+00, 6.192505175352644997e+00, 8.512912305160675430e+00
1.854000000000000000e+03, 7.312557325783673789e+00, 6.931234069303680911e+00, 6.045879359098900174e+00, 7.700509606893770176e+00, 6.928952807581784334e+00, 7.789657753795464323e+00, 8.174557534341214904e+00, 6.127179959038064894e+00, 9.011801572467764032e+00, 7.251483583781498155e+00, 9.904336429385299567e+00, 7.631316986673557956e+00, 6.852215314958160164e+00, 8.043148776257812216e+00, 7.324380321861009513e+00, 8.610184928233667989e+00
1.855000000000000000e+03, 7.759566056986003879e+00, 6.228155697463084728e+00, 6.107736247523376960e+00, 7.538454234838378731e+00, 6.147626507797324003e+00, 7.981295247490552747e+00, 7.482785784817489905e+00, 6.078597866677500683e+00, 9.099861858398776704e+00, 7.399842766146539574e+00, 9.730701938368694570e+00, 7.290424657757914595e+00, 7.061804482555299245e+00, 7.777675418117388162e+00, 7.249115123672113192e+00, 8.512923204445502989e+00
1.856000000000000000e+03, 7.789532044411518363e+00, 6.665891357478516355e+00, 5.614668324333667471e+00, 8.007183924125005348e+00, 5.706492493119757370e+00, 7.357534032779740052e+00, 8.001471992225546614e+00, 6.099732152145493913e+00, 9.196948570723769478e+00, 6.673736706907359206e+00, 9.341598625552416379e+00, 6.402418904603742078e+00, 6.535145924876236023e+00, 7.807501847082836122e+00, 6.968453464645122608e+00, 8.654756373692313431e+00
1.857000000000000000e+03, 7.384547692962061483e+00, 6.695244858339510330e+00, 5.492166024712855865e+00, 7.985232158132347990e+00, 6.210149019217124255e+00, 7.109287558816290264e+00, 8.032920656673885773e+00, 5.766140531025891747e+00, 9.206847892266729616e+00, 6.868540052656756600e+00, 9.941482500635345332e+00, 6.173918581051426990e+00, 6.670773746903321921e+00, 7.494340939060468720e+00, 7.126658257160746857e+00, 8.297395909259314806e+00
1.858000000000000000e+03, 7.999816642334962147e+00, 6.655006421500501368e+00, 6.306135769520167855e+00, 7.949461915646932830e+00, 6.343342807481703538e+00, 7.871604575682337845e+00, 7.928611831488644235e+00, 6.386229458802545444e+00, 8.890663156778506604e+00, 6.878084871002680956e+00, 8.828715793878444629e+00, 7.437259521841822263e+00, 6.672188120680463186e+00, 7.552764296803227140e+00, 7.543670875083344995e+00, 8.475209532555551206e+00
1.859000000000000000e+03, 8.011413665835839026e+00, 6.892026479493606139e+00, 6.086751465836714559e+00, 7.769482714538450630e+00, 6.432569192488056586e+00, 7.839406874280830273e+00, 7.949223595984578949e+00, 5.960977643399493431e+00, 9.142363851995273905e+00, 6.925238343563193233e+00, 9.493913194680899892e+00, 7.179050692136986989e+00, 6.499945097505238856e+00, 7.802014720519341751e+00, 7.320455895131035895e+00, 8.424075269251572351e+00
1.860000000000000000e+03, 7.801091576754591195e+00, 6.466322383163055854e+00, 5.781254289189475593e+00, 7.905296697525755256e+00, 6.539006625670147343e+00, 7.931690063687748982e+00, 7.867525112722515424e+00, 5.900153444304657491e+00, 8.816418668936051972e+00, 7.268206907544755069e+00, 8.877200643943595537e+00, 6.957997276544402254e+00, 6.832829496524539969e+00, 7.556536541252840244e+00, 6.028023170017327459e+00, 8.359052651775476406e+00
1.861000000000000000e+03, 7.878964892183968338e+00, 6.619858058486104646e+00, 5.184549358161772759e+00, 7.513037218870639578e+00, 6.058637348638798770e+00, 7.596679647730766760e+00, 8.241618083664114636e+00, 6.431996191931726337e+00, 8.979498311084258333e+00, 7.426436311522142120e+00, 9.149910440401949785e+00, 7.675028238503368350e+00, 6.320086814442453793e+00, 7.608926364555427035e+00, 7.419869523123725941e+00, 8.349277124708910591e+00
1.862000000000000000e+03, 7.202624985761082677e+00, 6.989069285382880636e+00, 5.787459446160366561e+00, 7.427778092589541359e+00, 6.177730744026261434e+00, 7.642944195049520495e+00, 8.112044088409520626e+00, 6.224505974586691970e+00, 8.924943751860579866e+00, 7.400807484644104761e+00, 8.712770845274302900e+00, 7.304918316544861234e+00, 6.587982873182187227e+00, 7.380411902552666881e+00, 7.306427671264246193e+00, 8.537285090571364421e+00
1.863000000000000000e+03, 7.674060877202399489e+00, 7.056506693167042599e+00, 5.708739772304771698e+00, 7.021564333313313533e+00, 6.083154004613647636e+00, 8.304487902159406687e+00, 8.408964874939600875e+00, 6.144908179892008881e+00, 9.073909613588943657e+00, 7.022776672065648818e+00, 9.039300460812755844e+00, 5.455237830649073416e+00, 6.407893046966286477e+00, 7.737351418468588093e+00, 6.893009030738311615e+00, 8.721925239481173264e+00
1.864000000000000000e+03, 7.516555726507824886e+00, 7.227680198294701874e+00, 5.409176349878731749e+00, 7.899338153575586219e+00, 6.462403627392809824e+00, 7.091806935797298372e+00, 7.916610604070249302e+00, 5.864740815742680802e+00, 9.061072276037151596e+00, 6.786096791506786907e+00, 9.649456664141522921e+00, 7.132537536285064483e+00, 6.512788777844537691e+00, 7.939547499579089340e+00, 6.990704046286642104e+00, 8.265632061105554484e+00
