year, TaiESM1, CNRM-ESM2-1, MPI-ESM1-2-LR, MIROC-ES2L, GFDL-ESM4, UKESM1-0-LL, NorESM2-MM, INM-CM4-8, CanESM5, CESM2-WACCM, CMCC-CM2-SR5, INM-CM5-0, ACCESS-ESM1-5, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM
1.850000000000000000e+03, 2.968529577795842442e+02, 2.966302889376524377e+02, 2.967778089962321246e+02, 2.977058099145709775e+02, 2.965328670070762200e+02, 2.983069775311034846e+02, 2.980393568096750414e+02, 2.975748775895894482e+02, 2.981345330295753229e+02, 2.976950966655941784e+02, 2.982339898365831345e+02, 2.973903118905309952e+02, 2.995132655077081267e+02, 2.961782074554746487e+02, 2.963331135971558865e+02, 2.984335485177559804e+02
1.851000000000000000e+03, 2.971660169073808220e+02, 2.969741022081443020e+02, 2.970199455388969341e+02, 2.982053918833674970e+02, 2.962691896992250804e+02, 2.982458760881985427e+02, 2.979367511028700619e+02, 2.973945138905003205e+02, 2.978953737254977909e+02, 2.978887831765384249e+02, 2.984676632599061463e+02, 2.973280699747948006e+02, 2.994179708517372660e+02, 2.961862799194637432e+02, 2.966365487400743177e+02, 2.987552590821314311e+02
1.852000000000000000e+03, 2.969205036079204660e+02, 2.969115310290421235e+02, 2.971684301588595076e+02, 2.977393107655256586e+02, 2.966938455711616029e+02, 2.983531316037737611e+02, 2.977199381758780419e+02, 2.975792977109404660e+02, 2.978338713385613232e+02, 2.976556463975488782e+02, 2.980948411667379219e+02, 2.972989126968694222e+02, 2.993065457256942068e+02, 2.964493813618739182e+02, 2.966525203651660831e+02, 2.984505421958110105e+02
1.853000000000000000e+03, 2.971049453497265631e+02, 2.963984878245605046e+02, 2.977042382489021861e+02, 2.974567765220512570e+02, 2.968468975933089382e+02, 2.984422623680470679e+02, 2.976670988594134428e+02, 2.974092393708780833e+02, 2.980251645373267593e+02, 2.978541636079137334e+02, 2.979266908470083877e+02, 2.973637500196048222e+02, 2.993525820278773040e+02, 2.966638862743949403e+02, 2.966890312994408418e+02, 2.983626445875945024e+02
1.854000000000000000e+03, 2.977009922096847845e+02, 2.967988839417644158e+02, 2.970868833297229799e+02, 2.971991073270780817e+02, 2.962509511305056549e+02, 2.984171505924738881e+02, 2.981879005125446156e+02, 2.976121721573043146e+02, 2.982027779257941802e+02, 2.978889592100623531e+02, 2.985105372942950339e+02, 2.971551084189750327e+02, 2.995222449463519183e+02, 2.960483875894274206e+02, 2.967074557521102633e+02, 2.989757808101680894e+02
1.855000000000000000e+03, 2.970021002370933161e+02, 2.963434337697331102e+02, 2.968169754681206314e+02, 2.979584661509216517e+02, 2.963003798377744715e+02, 2.979975271524364757e+02, 2.984119332700129235e+02, 2.974796305692208307e+02, 2.979358349701762450e+02, 2.977136298564518029e+02, 2.982646666556552191e+02, 2.973189500970112249e+02, 2.994397944652086494e+02, 2.962708604198181206e+02, 2.964623448102919951e+02, 2.984975296291256086e+02
1.856000000000000000e+03, 2.970582594016931353e+02, 2.966073974591533329e+02, 2.969397598374337122e+02, 2.978052537775702149e+02, 2.964191389249018016e+02, 2.984456080547519150e+02, 2.975119699655729733e+02, 2.974677266718245505e+02, 2.980638684383337704e+02, 2.980046254452239509e+02, 2.979040919179865909e+02, 2.973163631497252481e+02, 2.994603313941245801e+02, 2.965000169429125094e+02, 2.963807481202482563e+02, 2.981306595988507411e+02
1.857000000000000000e+03, 2.972325920430238853e+02, 2.968626151769488501e+02, 2.971421465498092971e+02, 2.978725847272199871e+02, 2.967613768954483362e+02, 2.984511856529137503e+02, 2.974841681759499465e+02, 2.976189568658377311e+02, 2.979591426015851425e+02, 2.981423223309635659e+02, 2.982925899241524803e+02, 2.973521427814624758e+02, 2.994629468718414387e+02, 2.962074121929510966e+02, 2.966403969034067245e+02, 2.986669040879403951e+02
1.858000000000000000e+03, 2.976629629564300217e+02, 2.963363412378011503e+02, 2.970698247699492640e+02, 2.978235313947407121e+02, 2.964603072898753453e+02, 2.982525843630328950e+02, 2.976039168638288857e+02, 2.974989449158020420e+02, 2.980965960568539117e+02, 2.979973496964415745e+02, 2.980429962079228972e+02, 2.971870281917807119e+02, 2.991869360570805725e+02, 2.965308238436890065e+02, 2.964963902814345715e+02, 2.986172995849212271e+02
1.859000000000000000e+03, 2.971323773872273364e+02, 2.966917827553099301e+02, 2.969109263197961468e+02, 2.976453658369777600e+02, 2.965250953394394742e+02, 2.983852315489198190e+02, 2.976519333440782589e+02, 2.974826413217791696e+02, 2.980768868281554660e+02, 2.978936946827531074e+02, 2.980759214217900421e+02, 2.974561009674458205e+02, 2.991904239605980820e+02, 2.963928332792198717e+02, 2.967473896403865865e+02, 2.984463573065629589e+02
