year, ACCESS-ESM1-5, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, MPI-ESM1-2-LR, CESM2-WACCM, MIROC-ES2L, CMCC-CM2-SR5
2.015000000000000000e+03, 2.015780404224866373e+00, 1.163704155067376983e-01, 1.121731741200947124e-01, 1.703141957232003345e-01, 1.526099841998454776e-01, 9.910382414538527751e-01, 6.470439968836415590e-01, 1.755814314100285545e+00, 4.430359731432700898e-01
2.016000000000000000e+03, 2.060685125754515568e+00, 1.141112233176348884e-01, 9.683528594598080075e-02, 1.574001095417643104e-01, 1.447220550683759044e-01, 9.669089200184051158e-01, 5.917674101096104256e-01, 1.732762649549155043e+00, 4.129789165691514774e-01
2.017000000000000000e+03, 2.000708082784835806e+00, 1.116585637934685155e-01, 8.852208215436208061e-02, 1.444160349781429542e-01, 1.367154653266196562e-01, 9.465858228940707830e-01, 5.719804603637136386e-01, 1.714619423639417661e+00, 3.881961926751071879e-01
2.018000000000000000e+03, 1.952408031811618150e+00, 1.094218354914932440e-01, 8.298108767780931760e-02, 1.327611353055628274e-01, 1.296675733545345210e-01, 9.276193969816455276e-01, 5.298232616414623175e-01, 1.698028323158045971e+00, 3.667139623820196426e-01
2.019000000000000000e+03, 1.910547932738409616e+00, 1.070701522987620308e-01, 7.866103265127000199e-02, 1.205008337199810764e-01, 1.229967202908953255e-01, 9.109660917502537814e-01, 5.011351117707819602e-01, 1.686487788526753961e+00, 3.473437206336084659e-01
2.020000000000000000e+03, 1.872455172101832765e+00, 1.045366379701568177e-01, 7.498565117774834421e-02, 1.131309637363610981e-01, 1.174421577599386868e-01, 8.965967564405221690e-01, 4.977167844320539714e-01, 1.674567711068561060e+00, 3.302394242380585210e-01
2.021000000000000000e+03, 1.845111740868398131e+00, 1.021129685651864794e-01, 7.173615047748008178e-02, 1.037123638649013607e-01, 1.149007018325106794e-01, 8.863064448510566962e-01, 4.744141773198312095e-01, 1.670629422026568278e+00, 3.148169520790137788e-01
2.022000000000000000e+03, 1.819167069082948451e+00, 9.984159349545623785e-02, 6.877662917529366038e-02, 9.364915552883701366e-02, 1.128445985269241336e-01, 8.789664417467372148e-01, 4.326918877594856383e-01, 1.667453283139109566e+00, 3.002560109749664030e-01
2.023000000000000000e+03, 1.794794031343305063e+00, 9.787478569529495243e-02, 6.606999088073073345e-02, 8.675423785853451919e-02, 1.112232696334550797e-01, 8.680617665182260856e-01, 4.246793337230850840e-01, 1.664666667708012637e+00, 2.868234653943053103e-01
2.024000000000000000e+03, 1.772117423160749494e+00, 9.612913018290900058e-02, 6.359300239187230808e-02, 8.132568317165371485e-02, 1.119000574464416725e-01, 8.633753210979384640e-01, 4.097847438506886375e-01, 1.663138158460624405e+00, 2.747730788896187160e-01
2.025000000000000000e+03, 1.750854160287155903e+00, 9.426904003281739997e-02, 6.133322468312725484e-02, 7.760889351476560338e-02, 1.130733529071618892e-01, 8.620120743423415055e-01, 3.871322705368286932e-01, 1.671002222839240936e+00, 2.649983236234500494e-01
2.026000000000000000e+03, 1.737852624250689093e+00, 9.251642436514108392e-02, 5.926754335118543382e-02, 7.640141326027739821e-02, 1.171902030626424535e-01, 8.616906237647978806e-01, 3.950586614281633158e-01, 1.673746579932952949e+00, 2.566274629496504978e-01
2.027000000000000000e+03, 1.725216939469480959e+00, 9.091515264579484723e-02, 5.736520190783409717e-02, 7.511104113904058799e-02, 1.214669844853885766e-01, 8.599823531820735001e-01, 3.929130796589057062e-01, 1.675902200970377676e+00, 2.483044325165226773e-01
2.028000000000000000e+03, 1.713332134570069831e+00, 8.973469899375430270e-02, 5.558098246524717512e-02, 7.355841973246453336e-02, 1.256240579303690985e-01, 8.556469002816522451e-01, 3.691438661907567864e-01, 1.677426943884476440e+00, 2.404468082738836221e-01
2.029000000000000000e+03, 1.701731650024771447e+00, 8.879277170770716321e-02, 5.418148335379500968e-02, 7.212969941156176235e-02, 1.292717343418016140e-01, 8.537709227240269927e-01, 3.649462982511085252e-01, 1.681151024091602997e+00, 2.338277484777326609e-01
2.030000000000000000e+03, 1.690532950981986193e+00, 8.806124178773468147e-02, 5.502201577222942674e-02, 7.097387325871737374e-02, 1.326436393183430262e-01, 8.548813002035322572e-01, 3.487987111514389005e-01, 1.683855233623692937e+00, 2.288125653764835898e-01
