year, CESM2-WACCM, CNRM-ESM2-1, NorESM2-MM, GFDL-ESM4, CNRM-ESM2-1, EC-Earth3-Veg, NorESM2-LM, TaiESM1, MPI-ESM1-2-LR, NorESM2-MM, GFDL-ESM4, TaiESM1
2.015000000000000000e+03, 7.972636955039002462e-10, 1.595557182264109007e-10, 1.149859696981879443e-09, 4.654580319837016103e-10, 1.595557182264109007e-10, 9.242169164527599889e-10, 7.279999885360122480e-10, 6.128899537640479730e-10, 5.182046132806989055e-10, 1.149859696981879443e-09, 4.465900198507867418e-10, 6.128899537640479730e-10
2.016000000000000000e+03, 6.124798340196917410e-10, 1.219071061552012541e-10, 6.616920176052314971e-10, 7.429959276991064297e-10, 1.219071061552012541e-10, 6.867035062587113467e-10, 3.555752531363502239e-10, 4.951015287230542687e-10, 6.362977168184124616e-10, 6.616920176052314971e-10, 7.255904948031129262e-10, 4.951015287230542687e-10
2.017000000000000000e+03, 6.136635787406055773e-10, 2.502591337144385905e-10, 6.085227864022095693e-10, 6.337524397694491716e-10, 2.502591337144385905e-10, 7.128086453983272778e-10, 3.541344412477533315e-10, 6.406825830788791704e-10, 6.084823567105731086e-10, 6.085227864022095693e-10, 6.168376762217852576e-10, 6.406825830788791704e-10
2.018000000000000000e+03, 7.629109059456914035e-10, 1.935252330720381359e-10, 5.590443782437878558e-10, 4.636101357273967774e-10, 1.935252330720381359e-10, 9.037534685098213636e-10, 3.325568092519189925e-10, 1.274172479348049577e-09, 6.045211665066079661e-10, 5.590443782437878558e-10, 4.478171108447570212e-10, 1.274172479348049577e-09
2.019000000000000000e+03, 5.406420755492505593e-10, 1.407471242093478834e-10, 7.338938114631060563e-10, 3.733485837235126237e-10, 1.407471242093478834e-10, 3.009439036958972806e-09, 3.468143242847251868e-10, 6.718600430976374004e-10, 5.431712925552135980e-10, 7.338938114631060563e-10, 3.584893759607859225e-10, 6.718600430976374004e-10
2.020000000000000000e+03, 3.263850410262990930e-10, 2.108720850090001382e-10, 7.128971636730934974e-10, 1.222301438277187317e-09, 2.108720850090001382e-10, 2.456684195571542939e-09, 2.163866147402560395e-10, 6.244974701737217470e-10, 5.696800291654087494e-10, 7.128971636730934974e-10, 1.207380938346149840e-09, 6.244974701737217470e-10
2.021000000000000000e+03, 1.503525899336574279e-09, 2.176698430982719805e-10, 1.536084893289878864e-09, 4.255486214369969767e-10, 2.176698430982719805e-10, 2.073543385956441584e-09, 1.124972819369039908e-09, 1.807531786143795679e-10, 5.583623855452037358e-10, 1.536084893289878864e-09, 4.109780366408795208e-10, 1.807531786143795679e-10
2.022000000000000000e+03, 1.256909900555324524e-09, 2.200349709491630002e-10, 1.117537420726420020e-09, 4.381423741095840982e-10, 2.200349709491630002e-10, 1.243228420141097418e-09, 1.157874723937665495e-09, 4.071559535833596687e-10, 5.763837074185671210e-10, 1.117537420726420020e-09, 4.237978888143015091e-10, 4.071559535833596687e-10
2.023000000000000000e+03, 1.209238019483757948e-09, 1.530391132768272824e-10, 1.155246677186176002e-09, 3.704171141700816465e-10, 1.530391132768272824e-10, 8.798724164750607149e-10, 1.275691894785887019e-09, 6.784975218250844787e-10, 5.328640089766906607e-10, 1.155246677186176002e-09, 3.568147547652957392e-10, 6.784975218250844787e-10
2.024000000000000000e+03, 1.324922326429218304e-09, 1.575789634699255608e-10, 1.068382315288379418e-09, 3.804232323070141020e-10, 1.575789634699255608e-10, 1.028973445432530216e-09, 8.277793599413748687e-10, 5.205777305645169525e-10, 5.310505923751503670e-10, 1.068382315288379418e-09, 3.667479107805586409e-10, 5.205777305645169525e-10
2.025000000000000000e+03, 9.178297014385299832e-10, 1.884549370817495937e-10, 1.100913580854051264e-09, 6.230311460930972605e-10, 1.884549370817495937e-10, 1.845557397915181204e-09, 7.857683662137591525e-10, 2.841782926261227493e-10, 5.456662499682202197e-10, 1.100913580854051264e-09, 6.089884366073784423e-10, 2.841782926261227493e-10
2.026000000000000000e+03, 1.159519392387581270e-09, 1.586050626158457257e-10, 1.333232842930293929e-09, 7.095024982677997880e-10, 1.586050626158457257e-10, 2.609194871605209062e-09, 1.380640122842527198e-09, 1.214030678148618957e-09, 6.880137421845282646e-10, 1.333232842930293929e-09, 6.954378970729547958e-10, 1.214030678148618957e-09
2.027000000000000000e+03, 1.034590296944531234e-09, 1.695000774222512705e-10, 9.202211792070076271e-10, 3.623266955159146573e-10, 1.695000774222512705e-10, 1.174394307506117748e-09, 8.936400654087454138e-10, 5.273812538062344462e-10, 4.854430646426401245e-10, 9.202211792070076271e-10, 3.482592917365887021e-10, 5.273812538062344462e-10
2.028000000000000000e+03, 9.581543748920200432e-10, 1.280670281972874813e-10, 7.797273051834225901e-10, 3.934322793668841048e-10, 1.280670281972874813e-10, 1.345563533726197675e-09, 6.363141734615015859e-10, 3.948693377422317236e-10, 5.424207363520538438e-10, 7.797273051834225901e-10, 3.793639332132630185e-10, 3.948693377422317236e-10
2.029000000000000000e+03, 7.453010535558747369e-10, 1.349175031784156178e-10, 6.725970085352046367e-10, 8.482507540648205100e-10, 1.349175031784156178e-10, 1.281771422115221934e-09, 5.092925163770322172e-10, 6.577503094207134889e-10, 6.155797730054914454e-10, 6.725970085352046367e-10, 8.334937822278348615e-10, 6.577503094207134889e-10
2.030000000000000000e+03, 7.448085445556514654e-10, 1.685398631720870929e-10, 6.021554129770942054e-10, 8.645298677598028419e-10, 1.685398631720870929e-10, 1.795327258414220566e-09, 4.956861618875878259e-10, 8.688352660785072103e-10, 5.210180522041083809e-10, 6.021554129770942054e-10, 8.499733783716129434e-10, 8.688352660785072103e-10
2.031000000000000000e+03, 7.779668932118211924e-10, 1.817858982069688324e-10, 1.304096655984284093e-09, 3.361795269187010844e-10, 1.817858982069688324e-10, 1.018839344017508211e-09, 4.255244159596560340e-10, 5.574579126209059013e-10, 6.451688199157548315e-10, 1.304096655984284093e-09, 3.221349769152230092e-10, 5.574579126209059013e-10
2.032000000000000000e+03, 9.991052572084193450e-10, 1.557579107278364882e-10, 1.036833049465594347e-09, 4.048199312158176223e-10, 1.557579107278364882e-10, 9.540177672857103956e-10, 5.368782342892622297e-10, 4.066947203539528629e-10, 5.516848614793008974e-10, 1.036833049465594347e-09, 3.914191016506470821e-10, 4.066947203539528629e-10
2.033000000000000000e+03, 1.095404704246496915e-09, 1.683040628922980883e-10, 6.562001115764620517e-10, 9.141326082128972460e-10, 1.683040628922980883e-10, 1.595702779248985307e-09, 4.174252568737086186e-10, 5.311962327649163831e-10, 5.579203941281383731e-10, 6.562001115764620517e-10, 9.003485444182745113e-10, 5.311962327649163831e-10
2.034000000000000000e+03, 8.159599384782487356e-10, 1.302880768692818803e-10, 7.717350012661721083e-10, 5.100933076645868594e-10, 1.302880768692818803e-10, 1.657475791665850981e-09, 3.932046613249714671e-10, 6.979039561123847107e-10, 5.908827417874202942e-10, 7.717350012661721083e-10, 4.963699039782616518e-10, 6.979039561123847107e-10
2.035000000000000000e+03, 9.128910399649080193e-10, 1.732244350071849733e-10, 7.987094634482146722e-10, 4.833886151932588135e-10, 1.732244350071849733e-10, 1.199713806703155864e-09, 5.365887479903240868e-10, 5.638320295140253432e-10, 6.188362825929027630e-10, 7.987094634482146722e-10, 4.697801174802467835e-10, 5.638320295140253432e-10
2.036000000000000000e+03, 1.106663599572145886e-09, 1.899030250835558333e-10, 8.413749524381084315e-10, 8.641552689585174293e-10, 1.899030250835558333e-10, 2.446420262944851733e-09, 6.847854014545631429e-10, 9.206753610205734531e-10, 5.836436298535123125e-10, 8.413749524381084315e-10, 8.503376961486606885e-10, 9.206753610205734531e-10
2.037000000000000000e+03, 5.408944211677526082e-10, 1.836703376463974509e-10, 9.181301014893192991e-10, 9.978450718668328871e-10, 1.836703376463974509e-10, 1.250373254298215024e-09, 6.910431780562032374e-10, 6.082389140755301118e-10, 5.390554533261872262e-10, 9.181301014893192991e-10, 9.834703247941277908e-10, 6.082389140755301118e-10
2.038000000000000000e+03, 7.140519027084591063e-10, 1.073743646108580824e-10, 7.055171133686506607e-10, 6.034799789904438285e-10, 1.073743646108580824e-10, 7.922719422419074623e-10, 4.418511411919000964e-10, 2.979723441091871838e-10, 5.967944405165680811e-10, 7.055171133686506607e-10, 5.899782974722141541e-10, 2.979723441091871838e-10
2.039000000000000000e+03, 7.847072501163539386e-10, 1.317757023025402976e-10, 4.268194484039420947e-10, 4.644457053025268124e-10, 1.317757023025402976e-10, 1.507784712638821164e-09, 3.393669459636342142e-10, 3.356655533197964010e-10, 6.385345537483753246e-10, 4.268194484039420947e-10, 4.514239247292223628e-10, 3.356655533197964010e-10
