year, CESM2-WACCM, IPSL-CM6A-LR, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, NorESM2-MM, GFDL-ESM4, NorESM2-LM, UKESM1-0-LL
2.015000000000000000e+03, 1.181098486738703206e-09, 3.145339088945881246e-09, 1.900026466010420530e-09, 3.988320339476502000e-10, 7.826509041964306171e-10, 0.000000000000000000e+00, 8.578301890505390793e-10, 3.402357609206405328e-10, 3.662050114173993136e-09
2.016000000000000000e+03, 9.793323592578108883e-10, 2.868379430563635202e-09, 1.934924029993965031e-09, 4.153588937557817441e-10, 8.075451092698441582e-10, 4.184610753080814565e-10, 8.435366553362280880e-10, 3.781184688475418731e-10, 3.525489599851165671e-09
2.017000000000000000e+03, 1.182944531350816099e-09, 2.683779795468087475e-09, 1.919851187386983046e-09, 4.013827999405074919e-10, 8.620116135985118814e-10, 4.091695689312610818e-10, 9.214636566689048050e-10, 3.708094103810385703e-10, 3.836222510245776895e-09
2.018000000000000000e+03, 1.004681756946723404e-09, 2.760018819890957603e-09, 1.885916984015304913e-09, 3.862835647920934191e-10, 8.734448299563768147e-10, 3.893438481723669345e-10, 9.063231784798735718e-10, 3.552578027711154810e-10, 3.442679679454178429e-09
2.019000000000000000e+03, 9.775695020523982735e-10, 2.714776152363023421e-09, 1.843321492970645275e-09, 3.724210606297796555e-10, 7.810581803352658648e-10, 3.675665187248721453e-10, 8.952374019824947791e-10, 3.341653068950202917e-10, 3.460260961716747949e-09
2.020000000000000000e+03, 1.277960254050603244e-09, 2.843442719440692703e-09, 1.819463606973915440e-09, 3.618001136131366570e-10, 8.896655989961289900e-10, 3.477178687261841339e-10, 9.323341328513261254e-10, 3.149566411414950181e-10, 3.626690736292005743e-09
2.021000000000000000e+03, 1.254957833582717165e-09, 2.812446631474128313e-09, 1.817086117431175576e-09, 3.569573027767112029e-10, 8.605298468998450189e-10, 3.303707820177333221e-10, 9.251477851289311039e-10, 2.982685210103565214e-10, 3.541792344609062481e-09
2.022000000000000000e+03, 9.349015267053281838e-10, 2.917793007623575530e-09, 1.814513420834886738e-09, 3.562472994640644625e-10, 8.949868241599415802e-10, 3.163115669079378974e-10, 9.236545805878714113e-10, 2.853576542164518020e-10, 3.506509940466393240e-09
2.023000000000000000e+03, 1.071967322252879570e-09, 2.878099353696996912e-09, 1.765709382701503457e-09, 3.591916815944465329e-10, 9.391896340395674851e-10, 3.050878109319703268e-10, 8.775408785841748567e-10, 2.750350536054365690e-10, 3.569537841063114810e-09
2.024000000000000000e+03, 1.080616208002904148e-09, 2.684728351797143749e-09, 1.760234936080623574e-09, 3.665679627023651652e-10, 9.698510145999433910e-10, 2.965354792489602959e-10, 9.285325674399504196e-10, 2.670126044118769258e-10, 3.670056436339466368e-09
2.025000000000000000e+03, 9.455243251922762635e-10, 2.569336218512617026e-09, 1.768420194381449558e-09, 3.852230719829895007e-10, 9.513838006658361887e-10, 2.910079146060909347e-10, 9.439280429485765131e-10, 2.613327923342599891e-10, 3.854346143798700200e-09
2.026000000000000000e+03, 1.182871360657576254e-09, 2.959999024529174393e-09, 1.781954258398305351e-09, 3.679435188554984168e-10, 8.631555677965355629e-10, 2.874912756224742455e-10, 9.489998587106826031e-10, 2.573069454115666108e-10, 3.678865593096451087e-09
2.027000000000000000e+03, 1.291058532226705640e-09, 3.030516810928911473e-09, 1.788242868293804727e-09, 3.576699375411058588e-10, 8.595129315696120071e-10, 2.779250337161222180e-10, 9.369703452299920976e-10, 2.480840786693089789e-10, 3.332930135246430204e-09
2.028000000000000000e+03, 1.071856272091078455e-09, 2.936947498567381398e-09, 1.771550512821764683e-09, 3.505551745096383783e-10, 9.754970019356217280e-10, 2.760265366990434010e-10, 9.773568981433193597e-10, 2.460687184636100275e-10, 3.338541741347678873e-09
2.029000000000000000e+03, 1.116921346614831918e-09, 2.862726773000591864e-09, 1.769276193338278958e-09, 3.430908816861234536e-10, 9.976102554338674291e-10, 2.757397788360702550e-10, 1.026937804597703000e-09, 2.457984333281082086e-10, 4.000120276414043876e-09
2.030000000000000000e+03, 9.717724760070851668e-10, 2.856521795662731947e-09, 1.786207416189910830e-09, 3.411875976669835053e-10, 8.486710285924223868e-10, 2.756220299452584499e-10, 9.995138137523191566e-10, 2.457077775691675475e-10, 3.931447297808802768e-09
