year, EC-Earth3-Veg, NorESM2-MM, CMCC-ESM2, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, UKESM1-0-LL, MPI-ESM1-2-LR, NorESM2-LM, IPSL-CM6A-LR
2.015000000000000000e+03, 1.324327989936240563e-09, 2.166944445287718455e-09, 5.973447145950522222e-10, 6.400985925330279552e-10, 1.615652505532238810e-09, 1.215282439609249265e-09, 1.411816852106456344e-10, 2.738220306297710822e-09, 1.727767525085686975e-09, 4.785851097738080106e-10
2.016000000000000000e+03, 1.010078864429952928e-09, 1.814691075989400655e-09, 5.540137976268387827e-10, 3.455170404407507915e-10, 1.194853095926194234e-09, 7.443148990768140116e-10, 7.003990900173469187e-11, 2.551775972879538641e-09, 1.582282718292178255e-09, 1.554516823065745046e-10
2.017000000000000000e+03, 9.485129440508179535e-10, 1.731811548650826356e-09, 5.196828810105562314e-10, 3.357031415157897750e-10, 1.045271731793308236e-09, 6.935744800091245423e-10, 4.268686557259491513e-11, 2.472974589241740455e-09, 1.482336820978336466e-09, 1.517008695433537554e-10
2.018000000000000000e+03, 9.387202567461795547e-10, 1.751605826006284681e-09, 4.889497792052854036e-10, 3.165730162425440976e-10, 9.231427273138207518e-10, 6.493718627558874710e-10, 3.128997321715220396e-11, 2.424319146073316037e-09, 1.511162956027882145e-09, 1.477041484556667171e-10
2.019000000000000000e+03, 9.095583285114837474e-10, 1.638049158888947261e-09, 4.620179222274323275e-10, 2.977016879217251995e-10, 8.256461696470248032e-10, 6.089094526085825624e-10, 2.581685443035936168e-11, 2.395452306959738384e-09, 1.502262803923084591e-09, 1.412729405306978955e-10
2.020000000000000000e+03, 8.566329271597582084e-10, 1.599510596819029160e-09, 4.645192972681208409e-10, 2.514279463514749050e-10, 7.787178007317925194e-10, 5.737201820506560486e-10, 2.265929675002515664e-11, 2.347026980212676924e-09, 1.442320930678244929e-09, 1.356653237430760187e-10
2.021000000000000000e+03, 8.306757486343723296e-10, 1.498226327212558804e-09, 4.487487356853772741e-10, 1.997622350491745380e-10, 7.106703263479725829e-10, 5.419259749039685373e-10, 2.056017672801387686e-11, 2.318669537368237857e-09, 1.363807489762552485e-09, 1.059788415147168344e-10
2.022000000000000000e+03, 8.180365546308682299e-10, 1.600681416178289515e-09, 4.292897743344037992e-10, 1.855602924516294385e-10, 6.533144475286388563e-10, 5.082593669678860707e-10, 1.879593749432275224e-11, 2.308448531028362613e-09, 1.217338971767564841e-09, 1.018842815482381564e-10
2.023000000000000000e+03, 8.508923569953398504e-10, 1.756706307927575415e-09, 3.965710297152571818e-10, 1.533571275217204448e-10, 6.092150293653992134e-10, 4.783901271790063994e-10, 1.725552486693025491e-11, 2.311248814703395005e-09, 1.169555460485418827e-09, 1.007811427882407750e-10
2.024000000000000000e+03, 8.506270383117514967e-10, 1.670324943798115547e-09, 3.676189306435840585e-10, 1.312594509802925195e-10, 5.850870723913862539e-10, 4.522029788291130614e-10, 1.592255497376275176e-11, 2.329058827095331889e-09, 1.265223650065775775e-09, 8.957647805932390564e-11
2.025000000000000000e+03, 8.479350261813024606e-10, 1.531108589747339155e-09, 3.803166273250953541e-10, 1.058236372633770102e-10, 5.880324241651484585e-10, 4.297052920218149804e-10, 1.482442725691133484e-11, 2.345380147584641366e-09, 1.343154519778181316e-09, 8.622481320463471907e-11
2.026000000000000000e+03, 8.588633604169103461e-10, 1.428338121865179115e-09, 3.765964872967722590e-10, 1.326993600995479654e-10, 5.654432712190197411e-10, 4.506371590346191393e-10, 1.392506723032558808e-11, 2.344304121077103320e-09, 1.186243550884803797e-09, 1.435497135117376838e-10
2.027000000000000000e+03, 8.348011469191736735e-10, 1.511163669592006804e-09, 3.467939665898754976e-10, 1.316525029422707641e-10, 5.500830592103787745e-10, 4.208928940736767285e-10, 1.314177358305893606e-11, 2.327781191313420669e-09, 1.137293076459185743e-09, 1.467153457417029277e-10
2.028000000000000000e+03, 8.765357122726340363e-10, 1.459255374357435511e-09, 3.161294358664487777e-10, 1.275367305663216510e-10, 5.455167046239470447e-10, 4.007190792300027183e-10, 1.226062221121908657e-11, 2.316117281252559010e-09, 1.295222415033117732e-09, 1.497241128379313205e-10
2.029000000000000000e+03, 8.860922297110111097e-10, 1.630964857723479902e-09, 3.147433291423293937e-10, 1.280852711595431951e-10, 5.275151490379463054e-10, 3.850295663470568436e-10, 1.262017257288977926e-11, 2.318051133973887892e-09, 1.292163877686694011e-09, 1.525439233173606571e-10
2.030000000000000000e+03, 9.092103962254931082e-10, 1.720502978383638462e-09, 3.224506197050206513e-10, 1.267058442020000642e-10, 5.005152063394781602e-10, 3.731329351244419072e-10, 2.013016003500729278e-11, 2.318331655528685278e-09, 1.177143857546322735e-09, 1.552570552953138459e-10
2.031000000000000000e+03, 8.617853191539299075e-10, 1.459864795993946553e-09, 3.035188744163555826e-10, 1.149685037449870355e-10, 4.936437934102348737e-10, 3.972392299730726323e-10, 1.556573389735737159e-11, 2.309912664765879059e-09, 1.268571542386785950e-09, 1.057891848127641321e-10
2.032000000000000000e+03, 8.315447247957476637e-10, 1.367760108651668629e-09, 2.911134459941656647e-10, 1.152794976524887029e-10, 4.871686840401837871e-10, 3.913854174152643285e-10, 1.147391793423987488e-11, 2.295396080314074342e-09, 1.133617528250888770e-09, 1.056790363833862745e-10
2.033000000000000000e+03, 8.594487950799774807e-10, 1.700073932863999790e-09, 2.808260110401913673e-10, 1.168845969244032130e-10, 4.813890923015985272e-10, 3.817034929869298268e-10, 9.764543921803491947e-12, 2.307900630604195856e-09, 1.207755647743839478e-09, 1.046575375033254152e-10
2.034000000000000000e+03, 8.786262480308171823e-10, 1.690227806915031590e-09, 2.798790343038601115e-10, 1.183516044596355273e-10, 4.722847181451675022e-10, 3.725902652520882489e-10, 8.780725545750570985e-12, 2.334082338856958351e-09, 1.228359095021145101e-09, 1.048902927375585526e-10
2.035000000000000000e+03, 8.475288275284059685e-10, 1.634973402616276571e-09, 3.040638069220711741e-10, 1.192739675221770336e-10, 4.353656890268754123e-10, 3.687991260523293924e-10, 8.098419521701734708e-12, 2.342659383138964705e-09, 1.244004579804140565e-09, 1.056000967435730281e-10
2.036000000000000000e+03, 7.934839435704267919e-10, 1.501159191425209370e-09, 2.919301374707526889e-10, 8.443848611343881222e-11, 4.247787677150917182e-10, 3.852407138798506114e-10, 7.478364957909883188e-12, 2.323311985512265060e-09, 1.049120321452752671e-09, 1.203828708306784148e-10
2.037000000000000000e+03, 7.733079183597892803e-10, 1.417289004628138254e-09, 2.803337830214219834e-10, 8.195716650894338291e-11, 4.185794149713423232e-10, 3.742567067884378576e-10, 1.558960243310722336e-11, 2.336210171980634215e-09, 1.021566885079300046e-09, 1.180001452834141073e-10
2.038000000000000000e+03, 7.967544501347089849e-10, 1.350839675099347866e-09, 2.826435534784015569e-10, 8.077156770622814616e-11, 4.209534561800799683e-10, 3.716301662246573358e-10, 2.299568750398998637e-11, 2.343609014637761265e-09, 1.004783781877946494e-09, 1.174726305845092037e-10
2.039000000000000000e+03, 8.186629032671021731e-10, 1.765698956221080929e-09, 2.938208275086399427e-10, 7.841774592033752138e-11, 4.195209902972095407e-10, 3.664191772894671989e-10, 2.852512766533536704e-11, 2.346436820010352491e-09, 1.338186007849268077e-09, 1.153374546762318118e-10
2.040000000000000000e+03, 8.163201024338368433e-10, 1.683650920162673169e-09, 2.872570504403493811e-10, 7.570600463695777400e-11, 3.951720484913840420e-10, 3.623087448945302389e-10, 2.876748997603072583e-11, 2.340114285908434211e-09, 1.524735786972557951e-09, 1.123574212794633491e-10
