year, CESM2-WACCM, TaiESM1, ACCESS-ESM1-5, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, CNRM-ESM2-1, CanESM5, MIROC-ES2L, UKESM1-0-LL, NorESM2-MM, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, MPI-ESM1-2-LR, IPSL-CM6A-LR
2.015000000000000000e+03, 9.367873794565284129e+00, 1.282703919322337249e+01, 8.225580205345792706e+00, 8.992300365391681538e+00, 8.357528454939355811e+00, 9.502513230262824351e+00, 9.445148167964322994e+00, 1.033418565519651722e+01, 6.321966267642284976e+00, 1.204959693707969137e+01, 9.423324054431878594e+00, 1.441679787153772274e+01, 1.090511082345259908e+01, 1.523253239543589466e+01, 1.171487503265475638e+01, 8.677941742083465471e+00
2.016000000000000000e+03, 9.200928350661170541e+00, 1.322163710751948784e+01, 8.405842517906505051e+00, 9.051012732197438737e+00, 8.572562219387179994e+00, 9.276247644259564495e+00, 9.564045455776216897e+00, 1.078852445988236219e+01, 6.305910788091811270e+00, 1.154026709119705529e+01, 9.799658276564830572e+00, 1.479151990956170337e+01, 9.807985633281255389e+00, 1.470809186668145685e+01, 1.141439854816781008e+01, 8.068736446540679452e+00
2.017000000000000000e+03, 9.327496989358889934e+00, 1.340002831320258636e+01, 8.578455143712760744e+00, 9.088073400391021295e+00, 8.493119117223741910e+00, 9.070754462615822078e+00, 9.742370154039466712e+00, 1.049498091521812349e+01, 6.354881413214910957e+00, 1.237113195916074204e+01, 9.928933778537329502e+00, 1.477752123984837063e+01, 1.055021591593509278e+01, 1.555398589599981207e+01, 1.119627958926274580e+01, 7.387533770835908342e+00
2.018000000000000000e+03, 9.103769323582167061e+00, 1.249826895446626374e+01, 8.734544688798210998e+00, 9.001360471297070731e+00, 8.601824707160011130e+00, 9.403818122258792656e+00, 9.058451270014140633e+00, 1.073168029065241313e+01, 6.443896311854544479e+00, 1.145217554031602880e+01, 9.959790047812486335e+00, 1.491524231127426070e+01, 1.074722319713511354e+01, 1.528857915654718980e+01, 1.145497514686753604e+01, 7.919535113532213622e+00
2.019000000000000000e+03, 9.298570224239506743e+00, 1.242690269777863143e+01, 8.528982430357460842e+00, 9.056714392215921450e+00, 8.699138683901622926e+00, 9.358397732204650765e+00, 9.523198544054329417e+00, 1.089570797990564799e+01, 6.435168256533813747e+00, 1.170123611991779278e+01, 9.843049281432284303e+00, 1.468151293331056628e+01, 1.145421899315865133e+01, 1.568620775935791301e+01, 1.121852200519262155e+01, 8.117290965729678121e+00
2.020000000000000000e+03, 9.796503978024421855e+00, 1.315232579089444087e+01, 8.448233973132614594e+00, 9.191513373025044231e+00, 8.854996138767502245e+00, 9.215678076460552148e+00, 8.844913393430381632e+00, 1.103159711971673751e+01, 6.500385399494808425e+00, 1.206214466366277627e+01, 9.680415732203810464e+00, 1.497253051030918414e+01, 1.045025462535817873e+01, 1.572522400743547699e+01, 1.123310861350471868e+01, 8.083472216951625100e+00
2.021000000000000000e+03, 9.436190571980148434e+00, 1.437308222564081817e+01, 8.445631151382212209e+00, 9.342254271461305493e+00, 8.681511630260573043e+00, 9.216334357265829169e+00, 8.800728889386583376e+00, 1.078676093446922302e+01, 6.482929425249399635e+00, 1.173733721465111657e+01, 9.676707342465091344e+00, 1.490439520857396971e+01, 9.042831624299040527e+00, 1.566831824902040893e+01, 1.154769435147163748e+01, 8.122813780831494412e+00
2.022000000000000000e+03, 9.395077169244462567e+00, 1.407224123903447399e+01, 8.863176129591373353e+00, 9.223392868740695860e+00, 8.641869586282540538e+00, 9.262524360532465195e+00, 8.680936420321803126e+00, 1.117600461644309462e+01, 6.496096184541483076e+00, 1.177699055574667497e+01, 1.005229714604292468e+01, 1.513656991400031337e+01, 1.026728498988979865e+01, 1.570133718515519483e+01, 1.125066587967634213e+01, 8.474560036007636299e+00
2.023000000000000000e+03, 9.662562565038777862e+00, 1.342808632313138695e+01, 8.762918549739248775e+00, 9.537700590554980096e+00, 8.569065779369898550e+00, 9.727108945813826679e+00, 8.909971543980383046e+00, 1.071789904963308437e+01, 6.625829745691969030e+00, 1.190296030234632596e+01, 1.024109251165103629e+01, 1.500631396669573903e+01, 1.092140172283272292e+01, 1.566255928681779963e+01, 1.209155440775781010e+01, 8.275916834852063531e+00
2.024000000000000000e+03, 9.428868305109105563e+00, 1.370319582306091810e+01, 8.690103340589603320e+00, 9.613488769614416896e+00, 8.713538155689683151e+00, 9.811626378614960231e+00, 9.502805902948519901e+00, 1.087203609921485281e+01, 6.630564437482777684e+00, 1.235010165228777090e+01, 1.017238315678680216e+01, 1.491242271909824524e+01, 1.071858471466107510e+01, 1.536675035147410284e+01, 1.268418983074326967e+01, 7.716658985659130110e+00
