year, CNRM-ESM2-1, ACCESS-ESM1-5, NorESM2-LM, MIROC-ES2L, INM-CM4-8, CMCC-CM2-SR5, CESM2-WACCM, NorESM2-MM, IPSL-CM6A-LR, UKESM1-0-LL, TaiESM1, INM-CM5-0, EC-Earth3-Veg, MPI-ESM1-2-LR, GFDL-ESM4, CanESM5
2.015000000000000000e+03, 2.919722165197700559e+00, 2.551713619920700005e+00, 3.537523140797373067e+00, 3.164928025068907136e+00, 6.243861856877114036e+00, 3.822071080484181316e+00, 3.920394265570612102e+00, 3.988541042475087117e+00, 3.515655396289971701e+00, 5.662582582901640293e+00, 4.040052123417541274e+00, 5.855468643797430595e+00, 3.835076185778919733e+00, 4.774834804647955622e+00, 4.608559263777708637e+00, 4.926637455278494393e+00
2.016000000000000000e+03, 2.957087608805787138e+00, 2.630843444585864610e+00, 3.634303823666952038e+00, 3.205248377404536608e+00, 5.966100125628394757e+00, 3.595590670407010858e+00, 3.802251723116303328e+00, 4.270117603234556469e+00, 3.138645374813521904e+00, 5.360595807440676985e+00, 4.193402405238041197e+00, 6.055930866553003611e+00, 3.873600175969991621e+00, 4.670872196623490957e+00, 4.488271427872063235e+00, 5.277697572452545671e+00
2.017000000000000000e+03, 2.928318476248370050e+00, 2.713652076496239740e+00, 3.519269300691755031e+00, 3.244866987268368863e+00, 6.389174056544965730e+00, 4.213912041833661526e+00, 3.972298883057439944e+00, 4.237588435143210042e+00, 2.785129202187119013e+00, 5.824667562865431414e+00, 4.017117042405679683e+00, 6.057766881047690788e+00, 3.909549644549813685e+00, 4.594466165873757113e+00, 4.327584507350897169e+00, 5.028726560914784649e+00
2.018000000000000000e+03, 2.662091542376712194e+00, 2.780759668577220012e+00, 3.615167791061852043e+00, 3.264943458250993302e+00, 6.215651232285376970e+00, 4.091782351189181099e+00, 3.649928247244578650e+00, 4.222475812712304766e+00, 3.144602845587685991e+00, 5.371305975811464961e+00, 3.824319831351838062e+00, 6.141315394061137134e+00, 3.840357797226572778e+00, 4.659958583108836372e+00, 4.541192772661631238e+00, 5.199267549304320113e+00
2.019000000000000000e+03, 2.936619250310654294e+00, 2.650399289620328780e+00, 3.685977937855781761e+00, 3.215624670220678105e+00, 6.374626498768482641e+00, 4.166330581727383908e+00, 3.935663570724567961e+00, 4.087136526130970005e+00, 3.226177924958884446e+00, 5.450279782813861829e+00, 4.207691230706032570e+00, 5.931852354375679148e+00, 3.652586540497817946e+00, 4.605223347800675882e+00, 4.516500178049597913e+00, 5.330807278275431216e+00
2.020000000000000000e+03, 2.566537363841332908e+00, 2.607692076959733374e+00, 3.787030578027132943e+00, 3.283572612445402328e+00, 6.410002837464215730e+00, 3.540976128806690326e+00, 4.304287229456921438e+00, 3.937128799494832077e+00, 3.151076149222611811e+00, 5.667268288019564615e+00, 4.339438780764052872e+00, 6.137035761323248018e+00, 3.807198098518493445e+00, 4.668969375902815244e+00, 4.467321534425108709e+00, 5.444210607433381810e+00
2.021000000000000000e+03, 2.766693279215689749e+00, 2.579220634651069322e+00, 3.588376945983032140e+00, 3.295675132211828284e+00, 6.383005157432071641e+00, 3.449036856406561213e+00, 3.834154002250822924e+00, 4.075035653881678321e+00, 3.199344016875897090e+00, 5.539651718211711540e+00, 4.280041058730208903e+00, 6.065622231690426247e+00, 3.902668866015109206e+00, 4.826688622083565861e+00, 4.427422271486567418e+00, 5.238379494082571419e+00
2.022000000000000000e+03, 2.549415223466827030e+00, 2.834266416400740507e+00, 3.583340696257607760e+00, 3.286479203363114276e+00, 6.421593376298358358e+00, 4.362799362152291138e+00, 3.936649792224782729e+00, 4.393471214833497562e+00, 3.413673859028582225e+00, 5.495067479075526506e+00, 3.939851238787258847e+00, 6.228374434351347411e+00, 3.804471103967207224e+00, 4.712322048971422817e+00, 4.495718718736940289e+00, 5.561420517872282865e+00
2.023000000000000000e+03, 2.755556821699527870e+00, 2.747307254758746264e+00, 3.539062325546097121e+00, 3.342353323274298127e+00, 6.415396134834852049e+00, 4.252735574671630658e+00, 4.169063184142263623e+00, 4.410999940931273677e+00, 3.232031153153842595e+00, 5.602462058629476438e+00, 4.003001720485451997e+00, 6.115695559719039665e+00, 4.103438498846919025e+00, 4.957068379756218945e+00, 4.772688244088802101e+00, 5.183396713521608135e+00
2.024000000000000000e+03, 2.973734019814064933e+00, 2.689696904945386713e+00, 3.719596274556121962e+00, 3.327274652754446116e+00, 6.298698067590657423e+00, 3.509016996699255930e+00, 3.827227444178369353e+00, 4.317941141277517936e+00, 2.939481777767565696e+00, 5.785345156009354284e+00, 4.389851319604186841e+00, 6.012361622187134991e+00, 4.197033978235479523e+00, 5.165066381654367156e+00, 4.806086084785208712e+00, 5.266377065314424399e+00
2.025000000000000000e+03, 2.822135875561598617e+00, 2.534601483227836294e+00, 3.755973780562773534e+00, 3.238491551331511342e+00, 6.306047127753688031e+00, 3.732322279530548403e+00, 3.909090623070878401e+00, 4.088075458589456979e+00, 3.013463035349126518e+00, 6.069463872037091257e+00, 4.667946058750776395e+00, 6.282800878635577568e+00, 3.883836457813439669e+00, 5.043785533742520144e+00, 4.730393312641984593e+00, 5.399880213276477825e+00
2.026000000000000000e+03, 2.902588572248061105e+00, 2.624663494845355771e+00, 3.467287845448888461e+00, 3.350491608664766918e+00, 6.407852181262520652e+00, 3.913909433529134230e+00, 4.350811937013856934e+00, 4.230095638180009665e+00, 3.455213180216021307e+00, 5.850110876675611138e+00, 3.719624213059522511e+00, 6.160165713436324353e+00, 3.652657090394172190e+00, 5.015109669389257618e+00, 4.555857490111558050e+00, 5.418903882460330834e+00
2.027000000000000000e+03, 2.720377359324342326e+00, 2.672680432118312410e+00, 3.716616056980721616e+00, 3.273499106329667008e+00, 6.363582093852707899e+00, 3.701863528692538097e+00, 4.144884886838128502e+00, 4.338153162483353142e+00, 3.506001470250093455e+00, 5.333588642635411325e+00, 4.345513015185092698e+00, 6.074497295247116568e+00, 4.066681383549072493e+00, 4.907826936934784001e+00, 4.921214452560782604e+00, 5.397906290101054161e+00
2.028000000000000000e+03, 2.918226714408210576e+00, 2.639011100930018561e+00, 3.669265668124273905e+00, 3.433130759625759865e+00, 6.349055496708811752e+00, 4.277592854250128696e+00, 3.931568305832741750e+00, 4.346415759165287440e+00, 3.258624521620088643e+00, 5.410547305523913053e+00, 4.491894598831735586e+00, 6.117030122726000663e+00, 4.271224190698539758e+00, 4.960934045684803451e+00, 4.948054492608709332e+00, 5.452126554769932021e+00
2.029000000000000000e+03, 2.911874391741491763e+00, 2.664217429461462672e+00, 3.647704041316344625e+00, 3.287135147696230053e+00, 6.346385972827650157e+00, 4.284665184085361567e+00, 4.062001075743682854e+00, 4.594239452059343698e+00, 3.263210439495613180e+00, 6.288568477388544409e+00, 4.007293885170747139e+00, 6.182288144930753404e+00, 4.044857577161438122e+00, 5.081057111085478972e+00, 4.629631624809207757e+00, 5.490649876610326885e+00
2.030000000000000000e+03, 2.979653422187163336e+00, 2.653398506348504160e+00, 3.700635240042374985e+00, 3.300385406044169745e+00, 6.279115395717179915e+00, 3.915649991748859637e+00, 3.940262194793355377e+00, 4.427653848116106516e+00, 3.203077208008988208e+00, 6.221823954311891391e+00, 4.090089697043641337e+00, 6.185405895596030490e+00, 3.853524785006863684e+00, 5.029692756234250162e+00, 4.576300547873969116e+00, 5.470667137482047693e+00
