year, NorESM2-MM, NorESM2-LM, INM-CM4-8, INM-CM5-0, CanESM5, CNRM-ESM2-1, IPSL-CM6A-LR, CMCC-CM2-SR5, TaiESM1, GFDL-ESM4, EC-Earth3-Veg, MIROC-ES2L, MPI-ESM1-2-LR, ACCESS-ESM1-5, UKESM1-0-LL, CESM2-WACCM
2.015000000000000000e+03, 7.053433119620647673e+00, 6.928332482924586699e+00, 8.823887231343753967e+00, 8.877744858863270139e+00, 7.985768026244857154e+00, 6.752699953501513086e+00, 9.265699092000657444e+00, 7.084131184226158062e+00, 7.219933315872930635e+00, 7.459339863664143699e+00, 6.942838536950951323e+00, 6.638608455276705733e+00, 5.694812514106160961e+00, 8.022906115181141828e+00, 5.952320726723763222e+00, 7.362812934978297363e+00
2.016000000000000000e+03, 7.715366319076814250e+00, 7.407518194428184266e+00, 8.869322402062365995e+00, 9.361338206222216130e+00, 7.611967204427735112e+00, 7.336518823425048019e+00, 9.848322018140834189e+00, 7.112527753875649950e+00, 6.753250847697291448e+00, 6.217348472518794189e+00, 6.976324786771850306e+00, 6.339552867741695685e+00, 5.208934563041253796e+00, 7.659995622358695577e+00, 6.171306539130113400e+00, 7.658681352714777013e+00
2.017000000000000000e+03, 7.189106746593926900e+00, 6.878529492419939828e+00, 9.160194932726275496e+00, 9.188490291168488255e+00, 8.033606647286353208e+00, 6.691988242247387753e+00, 1.056272288156588424e+01, 7.079677084370647577e+00, 6.694122004492736089e+00, 6.549433515502588676e+00, 6.978147193812759497e+00, 5.917975316334126212e+00, 5.829936100772904695e+00, 7.809925961229956748e+00, 6.483063474022960015e+00, 7.591689119875064229e+00
2.018000000000000000e+03, 7.483694938889042803e+00, 7.044034521417432693e+00, 9.123216340266534274e+00, 8.887692459719760407e+00, 7.990022347125134594e+00, 6.618133203158464539e+00, 9.824277644879652271e+00, 7.827376680387925667e+00, 6.165707264107161301e+00, 7.469491037167633074e+00, 6.598283304206041144e+00, 5.435648825686765662e+00, 5.949445409705864662e+00, 8.222517549267282178e+00, 5.831405972183430819e+00, 6.648963709037237990e+00
2.019000000000000000e+03, 7.058577539719864902e+00, 7.169313533663906668e+00, 9.162643351388156887e+00, 9.203827402758063769e+00, 8.080230250986035756e+00, 6.850244740209187277e+00, 9.245300234158055019e+00, 7.641374706268118544e+00, 6.724705652529537225e+00, 7.141312212675137161e+00, 5.890524714469453471e+00, 6.554335529859518950e+00, 5.497262244835478207e+00, 7.516406315039262154e+00, 6.554356700301164018e+00, 7.808398070009452852e+00
2.020000000000000000e+03, 6.151584956091350698e+00, 7.500732517747232819e+00, 9.236296320437055840e+00, 9.389723115554023281e+00, 7.989726950355230173e+00, 6.005359823126977581e+00, 9.679318299726803687e+00, 6.754340661612237007e+00, 7.405256244192200299e+00, 6.129521375276337558e+00, 6.396937864424190323e+00, 6.104993034563632293e+00, 5.373874528275098150e+00, 7.708385790318624586e+00, 6.095523329238634602e+00, 8.278501284554360851e+00
2.021000000000000000e+03, 7.000888376685010073e+00, 6.960764878562745395e+00, 9.015071493929085023e+00, 9.706695072999300677e+00, 7.974819288940532935e+00, 6.552168174157690927e+00, 9.995380581656455377e+00, 5.873599876469401515e+00, 7.634972452381300734e+00, 6.429772710083018872e+00, 6.313557177136616794e+00, 6.287145289018560845e+00, 5.517168803784702646e+00, 8.253053308592596338e+00, 5.756501002239653886e+00, 6.531038719861535391e+00
2.022000000000000000e+03, 7.912065068816064972e+00, 6.864226065426105805e+00, 8.695184471256457215e+00, 9.317039980103759333e+00, 7.640685608286604591e+00, 6.084383618524693560e+00, 9.630267931653794022e+00, 7.328491190162271351e+00, 7.463288382540331334e+00, 7.547765341982463738e+00, 6.430743483365710667e+00, 6.254610829386351156e+00, 5.969721407645086408e+00, 8.111501800134506723e+00, 6.386007053151756097e+00, 9.011858514216235960e+00
2.023000000000000000e+03, 7.405393290308718512e+00, 7.290023562571280813e+00, 8.738686534297841035e+00, 9.415413788970083075e+00, 7.521666114425710425e+00, 6.445896299574029875e+00, 1.016062904226999031e+01, 6.204876977364661705e+00, 6.714751179994649988e+00, 7.779708655556784258e+00, 6.777500140002224782e+00, 5.832036548172547796e+00, 6.546119731422678889e+00, 8.158939079384625259e+00, 6.210462170837245388e+00, 7.758430844456792208e+00
2.024000000000000000e+03, 7.469692877931843888e+00, 7.386087554083440310e+00, 8.880700135876585577e+00, 9.356038720435263301e+00, 8.103003938882920920e+00, 6.638060247257877577e+00, 1.041847925602523262e+01, 6.110856387937672274e+00, 7.759142092660042067e+00, 7.423989060818687591e+00, 6.949858257639524695e+00, 6.319268576280251182e+00, 6.670958726167215858e+00, 7.880358817826909501e+00, 6.636326574737425155e+00, 7.031149181110672330e+00
2.025000000000000000e+03, 6.464638568392136797e+00, 7.095068171030137094e+00, 8.857268095386228168e+00, 9.254359738623106679e+00, 7.363780281776704406e+00, 6.630823803503786529e+00, 1.012087399651645647e+01, 7.436915769345405991e+00, 7.036177581174301920e+00, 6.255271343221103564e+00, 6.310446783876915156e+00, 6.332399256967400802e+00, 6.187606815740668509e+00, 7.664365860272646991e+00, 6.619194797465347335e+00, 8.445021650867275298e+00
2.026000000000000000e+03, 7.812903504537223931e+00, 6.845560864067366857e+00, 8.882888537777821725e+00, 8.989297502855917443e+00, 7.898846386311006995e+00, 6.657248837769255800e+00, 1.000894687224495350e+01, 7.302180774000408547e+00, 6.183127966234940764e+00, 7.447858885075847368e+00, 5.554467838474205443e+00, 5.999382691113575028e+00, 5.765485618353547004e+00, 7.608851521202632640e+00, 6.589404210693681208e+00, 8.255814605797844763e+00
2.027000000000000000e+03, 7.179509995309134140e+00, 7.481521308463738862e+00, 9.218243873307908842e+00, 9.233254141201470588e+00, 7.891385803161463208e+00, 6.627390306248202023e+00, 9.109376974101877522e+00, 6.750366325763467401e+00, 7.144223842271929747e+00, 7.311218288204369919e+00, 6.939979019354638901e+00, 5.904456113182076749e+00, 6.414695333034408975e+00, 7.329381170156817227e+00, 5.708293737373655752e+00, 7.727966281666612147e+00
2.028000000000000000e+03, 7.585001575497210879e+00, 6.837355606597385282e+00, 8.929616040115041287e+00, 9.413837909166050011e+00, 8.266736811996418410e+00, 6.846183161391896199e+00, 1.028850030329533105e+01, 7.235396128987962250e+00, 7.746209544133627389e+00, 6.138073008936554942e+00, 6.919160352200486308e+00, 5.954596703747562003e+00, 6.088525586260497668e+00, 7.534124014377853840e+00, 6.473180492074896542e+00, 7.889071121549463328e+00
2.029000000000000000e+03, 7.995674134292041657e+00, 6.809377629410108490e+00, 8.819583035698840945e+00, 9.561450463935249999e+00, 7.743535942346666090e+00, 6.914946623330515685e+00, 1.025161664474971879e+01, 8.012393731097066762e+00, 6.859766470703160479e+00, 6.505798609797508014e+00, 6.287682998859391859e+00, 6.521929442444843517e+00, 5.830229953158752920e+00, 7.882555704084329484e+00, 6.844669411577527285e+00, 7.111729462994668793e+00
2.030000000000000000e+03, 7.275500448359877304e+00, 7.348640704899193743e+00, 9.095081200689731915e+00, 9.147430385424749844e+00, 7.874594334164713771e+00, 6.339924263602267906e+00, 9.934048730412394335e+00, 7.833421341105865743e+00, 7.000479606387200349e+00, 6.279815776539805938e+00, 6.005514674591711177e+00, 6.402853755329944718e+00, 5.759069881572360217e+00, 7.633779251210372152e+00, 6.575669821910897106e+00, 8.202975472987770189e+00
2.031000000000000000e+03, 6.670779164679411011e+00, 7.261297096239004212e+00, 9.340922830636428031e+00, 9.356214691483206281e+00, 7.991267379102430013e+00, 6.943843177761515051e+00, 1.040939893893941637e+01, 7.899017085581481190e+00, 7.671227598890576260e+00, 6.963761732782904446e+00, 6.895079704057211600e+00, 6.440711202933314006e+00, 5.315914141932440273e+00, 7.414850269912545144e+00, 6.184044071558084887e+00, 8.446480828639115757e+00
2.032000000000000000e+03, 8.075171594373143691e+00, 7.334085879048173773e+00, 8.802718978825179619e+00, 9.420201352071394751e+00, 7.877840271772813097e+00, 6.737318474722989059e+00, 1.070264006067965035e+01, 7.760322469590148486e+00, 7.789613649340405566e+00, 7.145368200587117080e+00, 6.790432147496460402e+00, 6.067442325962641547e+00, 5.910562265651114089e+00, 7.322261251633176649e+00, 6.565921759192447027e+00, 7.931835612276437963e+00
2.033000000000000000e+03, 7.759075953880119947e+00, 7.499330288188149396e+00, 8.800473828802628518e+00, 9.240576319859298948e+00, 8.120709154752281833e+00, 6.510292132214787308e+00, 1.062448194931682899e+01, 6.988850104067784841e+00, 6.871259210580557664e+00, 6.410472851226315605e+00, 6.112173322581673673e+00, 5.601860983782918524e+00, 6.622617230895214924e+00, 7.597949807903465747e+00, 6.187190595309499663e+00, 7.359468165971610354e+00
2.034000000000000000e+03, 7.606924725016881439e+00, 7.146065054993252730e+00, 8.811519050127955666e+00, 9.390963255982317293e+00, 7.803144472939653298e+00, 7.022367076114604423e+00, 1.003826713783055702e+01, 7.664640091294984359e+00, 7.755464536250785024e+00, 7.239016550086076585e+00, 6.863850961003957529e+00, 6.416477469163558212e+00, 6.624384678679929195e+00, 7.214200735891426852e+00, 6.690058373220722387e+00, 8.179949182835542842e+00
2.035000000000000000e+03, 7.663845763214418128e+00, 6.242213154560196209e+00, 9.477198830307180799e+00, 9.002300187106495599e+00, 8.502220981760320484e+00, 6.382780193017081771e+00, 9.649804513859379540e+00, 7.936293468369778559e+00, 7.298955701675565066e+00, 7.123056155488164620e+00, 6.353137698636379227e+00, 6.567411820815083345e+00, 5.193151159595238653e+00, 7.689622563783753861e+00, 6.302128199094310546e+00, 7.415818996448789058e+00
2.036000000000000000e+03, 7.314727876915093852e+00, 6.046643826143879963e+00, 9.086077573347603575e+00, 8.777076786517284290e+00, 7.749189209543259516e+00, 6.196935415599293506e+00, 9.500755421963750891e+00, 7.774580077243526510e+00, 6.487388644570134311e+00, 6.451875966771240201e+00, 6.361007888599629290e+00, 6.459479367622031454e+00, 5.774192767467158482e+00, 7.395345729341135765e+00, 6.082835836313657651e+00, 9.214013830679361305e+00
2.037000000000000000e+03, 6.814821760910322546e+00, 5.438770169483897021e+00, 9.122815417185853093e+00, 9.217333869461127094e+00, 8.382108305147760063e+00, 6.727518479519742023e+00, 1.041083770218425997e+01, 7.192809203207458424e+00, 7.461567868600939235e+00, 6.670951898719326145e+00, 6.525372984319231406e+00, 6.040501817695005826e+00, 6.566245948952666112e+00, 7.730566178872627425e+00, 6.508604608805994118e+00, 8.283765987104684925e+00
2.038000000000000000e+03, 7.671346622933183035e+00, 7.398279493384644745e+00, 9.168577453132876087e+00, 9.654194214466093271e+00, 8.160550944865386569e+00, 6.916671585230417030e+00, 1.044286838529746575e+01, 7.958820735176820094e+00, 7.642052885393853856e+00, 7.467144767756612289e+00, 6.782574924348607759e+00, 6.167304843752002164e+00, 6.200529958572408518e+00, 7.530645228512669931e+00, 7.042490356779163463e+00, 7.418015075058061569e+00
2.039000000000000000e+03, 7.485022002153487897e+00, 7.123130246163526635e+00, 9.293632795904365196e+00, 8.882458868560261678e+00, 8.297835711893869259e+00, 6.600346979669013514e+00, 1.025784538706630755e+01, 7.832816352216795508e+00, 7.656447835954917736e+00, 7.552924956301186654e+00, 6.603528471681102019e+00, 6.566644563051871941e+00, 6.152807155420584984e+00, 7.760678216327151269e+00, 6.407995439972308027e+00, 7.317609423360775800e+00
2.040000000000000000e+03, 6.795634111298920921e+00, 6.793468120163727697e+00, 9.314480413179820673e+00, 9.665663991401023836e+00, 7.877551404408599467e+00, 6.879532416519975158e+00, 9.495183838392314613e+00, 7.611075526989535156e+00, 7.648881448917116188e+00, 7.022577343642005587e+00, 6.821992920486173340e+00, 6.657265910961920774e+00, 6.623892491801314897e+00, 7.860921927456068659e+00, 6.143512024771490054e+00, 6.438136898733541003e+00
2.041000000000000000e+03, 7.740974502762977494e+00, 7.039561271068760284e+00, 9.216347357155253661e+00, 9.505640739140059026e+00, 8.351444284887177716e+00, 6.499568572797745247e+00, 1.042495829680687791e+01, 8.326476089959632176e+00, 6.551441850389001509e+00, 6.168763257402603450e+00, 6.383694934415847122e+00, 6.503766238568513991e+00, 5.591054256762160612e+00, 7.640551607012046276e+00, 6.928693582984355004e+00, 9.399222949953498940e+00
2.042000000000000000e+03, 7.357969775593155681e+00, 6.065466493476144194e+00, 8.915715352168135155e+00, 9.335149557251146035e+00, 8.444240387362077271e+00, 6.948375657504827885e+00, 1.072317018246205578e+01, 8.122952618901274846e+00, 7.948328006574098659e+00, 6.783509382380126240e+00, 6.503230562336282716e+00, 5.733454048426899874e+00, 5.945792042919663345e+00, 7.621883318935458007e+00, 6.036548130205157570e+00, 7.922708704388021772e+00
2.043000000000000000e+03, 6.436033563410174629e+00, 7.742401707616088480e+00, 9.450176819780693904e+00, 8.933881411814143192e+00, 8.510923476323933201e+00, 6.606148736432066571e+00, 9.017652565886585592e+00, 8.258092066860452718e+00, 7.103046555557827269e+00, 7.317180008764922583e+00, 7.111027341343547192e+00, 6.738403377974752750e+00, 6.436320226860074989e+00, 7.920633568018155657e+00, 6.427929337338023075e+00, 7.292902813260246475e+00
2.044000000000000000e+03, 7.413859832821112050e+00, 7.539569793480841220e+00, 9.049550583106496404e+00, 9.577435550626283600e+00, 8.014660906618582104e+00, 6.689413253312366692e+00, 1.047508436673515142e+01, 8.026211422045134825e+00, 6.440264062656659405e+00, 6.901317848403790478e+00, 6.919073365508884521e+00, 6.625783225524638276e+00, 6.032529965039698183e+00, 7.481660860828731607e+00, 6.749503777002133553e+00, 8.699967049134425423e+00
2.045000000000000000e+03, 7.662197648267320638e+00, 7.170121354843167261e+00, 8.961814232284996962e+00, 9.187201746473316888e+00, 8.160555691225704678e+00, 6.433823698092123067e+00, 1.041507030646294929e+01, 7.548461952337628844e+00, 7.733503618262769663e+00, 6.290529328629626882e+00, 6.236092809831024653e+00, 6.414654157746154439e+00, 6.227213176075745871e+00, 7.809727341716730109e+00, 6.286886271449460217e+00, 7.926794690692031686e+00
2.046000000000000000e+03, 7.115952914537007068e+00, 7.330867314268041390e+00, 9.290389327768446392e+00, 9.313395015019066747e+00, 7.926531522529562501e+00, 6.741057426593608071e+00, 9.721219305960172363e+00, 7.229765447897021247e+00, 7.762991823999382923e+00, 6.935484999680689988e+00, 6.006834946296547351e+00, 5.674132073070813576e+00, 6.330464831603411113e+00, 8.569321340180646729e+00, 6.359925749840431131e+00, 8.075639758704136639e+00
2.047000000000000000e+03, 7.364044463283383912e+00, 7.258454802360146729e+00, 9.298920176213270494e+00, 9.586971400956224798e+00, 8.245046226955469848e+00, 6.447820830823252969e+00, 1.045343723269321146e+01, 7.974453570869192376e+00, 6.852561458849157461e+00, 7.019456256397305083e+00, 6.859068400812029509e+00, 6.629967538353679579e+00, 5.606649139636125767e+00, 8.463387309563032090e+00, 6.697657760543655137e+00, 7.834517205093508352e+00
2.048000000000000000e+03, 7.400423050543587955e+00, 6.733546425541932834e+00, 9.137981565245301141e+00, 9.624949137552702538e+00, 7.654629789930766925e+00, 6.637106329106168268e+00, 1.052876859915329710e+01, 8.210969648916400132e+00, 7.264212586636155322e+00, 6.733320344742823593e+00, 6.484234264697221306e+00, 6.504135488003234045e+00, 6.200507372279854046e+00, 7.795787982261943583e+00, 7.251198662596094024e+00, 7.841129054325190140e+00
