year, CNRM-ESM2-1, CESM2-WACCM, UKESM1-0-LL, IPSL-CM6A-LR, CanESM5, TaiESM1, EC-Earth3-Veg, NorESM2-LM, GFDL-ESM4, ACCESS-ESM1-5, MIROC-ES2L, MPI-ESM1-2-LR, INM-CM5-0, CMCC-CM2-SR5, INM-CM4-8, NorESM2-MM
2.015000000000000000e+03, 2.974213178051064688e+02, 2.990684483507944833e+02, 2.993395680562824737e+02, 2.974821506437425569e+02, 2.995593700107251607e+02, 2.982504137957351418e+02, 2.974227409203332400e+02, 2.992272570418365376e+02, 2.973655923795638500e+02, 3.004288649740117307e+02, 2.989125221188648993e+02, 2.975030041482186220e+02, 2.981212366040730899e+02, 2.989735051873921634e+02, 2.981800671609192932e+02, 2.991095492231129924e+02
2.016000000000000000e+03, 2.972008711906515259e+02, 2.992180252681966408e+02, 2.997331727750184882e+02, 2.976152418909751987e+02, 2.995766074906321705e+02, 2.978261793797022392e+02, 2.973876031558631325e+02, 2.991387278478403005e+02, 2.975580683879940693e+02, 3.002349416404677527e+02, 2.980827569958327672e+02, 2.977811349987160270e+02, 2.980525865345152283e+02, 2.991612334592844036e+02, 2.983234143433647318e+02, 2.987794750099845942e+02
2.017000000000000000e+03, 2.973891994079069718e+02, 2.989662761415346495e+02, 2.994649707994091159e+02, 2.980336705558806329e+02, 2.997027211499928967e+02, 2.979925809524752935e+02, 2.973434478053799239e+02, 2.990943134040915652e+02, 2.980022971295782668e+02, 3.002447793024022644e+02, 2.980844457139527890e+02, 2.979663603052221106e+02, 2.978950810457874354e+02, 2.990963685149507683e+02, 2.981877447346079748e+02, 2.988070085365522459e+02
2.018000000000000000e+03, 2.978824639155464524e+02, 2.994073644614703085e+02, 2.994644838382915850e+02, 2.980066838599101402e+02, 2.999310757946296349e+02, 2.983481748182333035e+02, 2.974643209651628695e+02, 2.992592905290363205e+02, 2.976341613763078158e+02, 3.002506933904322182e+02, 2.987636767073529995e+02, 2.978931728571645863e+02, 2.980503064624285230e+02, 2.992564053431604520e+02, 2.984097622354306054e+02, 2.986300468593678374e+02
2.019000000000000000e+03, 2.974521048059413602e+02, 2.996232074753196457e+02, 2.996931640189418431e+02, 2.978777402921205635e+02, 2.997786289345029900e+02, 2.984520567266135913e+02, 2.979902664244772836e+02, 2.993319140330279424e+02, 2.975447325442031570e+02, 3.003986297718010974e+02, 2.993180921031623711e+02, 2.979788755945123171e+02, 2.984137636814225516e+02, 2.988278569095705279e+02, 2.984432564143162949e+02, 2.988022681739155928e+02
2.020000000000000000e+03, 2.979123083313681946e+02, 2.991457155055608723e+02, 2.995556378324949947e+02, 2.979047045183039586e+02, 2.995557014743870354e+02, 2.985688278367890121e+02, 2.978520253063583709e+02, 2.992471686753601716e+02, 2.979222964335860411e+02, 3.006057902947582647e+02, 2.988446717172952845e+02, 2.982203978737493912e+02, 2.981644193823814817e+02, 2.989291860933768135e+02, 2.984352724006935205e+02, 2.987964017355520809e+02
2.021000000000000000e+03, 2.978649715679312635e+02, 2.994457812039948408e+02, 2.996288772237560352e+02, 2.979172796320823409e+02, 2.997655153886757944e+02, 2.980772293787205740e+02, 2.978954179371229429e+02, 2.992445802012168770e+02, 2.979543694090054942e+02, 3.008955006446472566e+02, 2.983523720471613387e+02, 2.980923866527582504e+02, 2.982081860878306543e+02, 2.994153596847136214e+02, 2.984797389037834137e+02, 2.991229966018385653e+02
2.022000000000000000e+03, 2.980148185784897805e+02, 2.998438959293697508e+02, 2.998270485670177550e+02, 2.979792325062675218e+02, 2.995028995333547073e+02, 2.978687339809696937e+02, 2.978530285086515619e+02, 2.995078008741482449e+02, 2.975718229999522464e+02, 3.004776614871914830e+02, 2.985998038713623259e+02, 2.981158035227824143e+02, 2.981690342802400551e+02, 2.994954848800347236e+02, 2.984661475490347584e+02, 2.987010252180043608e+02
2.023000000000000000e+03, 2.980073520317792486e+02, 2.993637650943840072e+02, 2.997540199951902764e+02, 2.980917586904479322e+02, 2.995620375929592569e+02, 2.983889978326499204e+02, 2.976970489219048090e+02, 2.997465421163139467e+02, 2.973690846277890500e+02, 3.004707368101182965e+02, 2.991905768028202601e+02, 2.977188952667880244e+02, 2.982375421110249363e+02, 2.990099164262064164e+02, 2.984931339516451203e+02, 2.987454975795220662e+02
2.024000000000000000e+03, 2.978166741321483073e+02, 2.994181108811636705e+02, 2.998671282220436183e+02, 2.979361905374565254e+02, 3.000476929633133523e+02, 2.985291596365777309e+02, 2.976395683226879783e+02, 2.993205460930492450e+02, 2.976275549236219149e+02, 3.006733982364122539e+02, 2.994165724408517804e+02, 2.975567304858999478e+02, 2.985260087395348592e+02, 2.987504395746270234e+02, 2.984443622388624249e+02, 2.989887133204193788e+02
