year, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, MPI-ESM1-2-LR, TaiESM1, EC-Earth3-Veg, CNRM-ESM2-1, CESM2-WACCM, CMCC-CM2-SR5, ACCESS-ESM1-5, NorESM2-LM, CanESM5, MIROC-ES2L
2.015000000000000000e+03, 4.066096536200292100e+00, 1.361100566793876032e+00, 9.996918673877990713e+00, 8.662909144704705966e+00, 1.122174560220927209e+00, 1.597236360822824164e+00, 7.793620094107823526e+00, 1.230177047499126708e+00, 2.274888744599102619e+00, 1.204397475730931921e+00, 1.145407444035429823e+00, 3.357746378366121220e+00, 6.732534057816787154e+00
2.016000000000000000e+03, 4.101494901997026155e+00, 1.325457857679138929e+00, 1.011726748641378570e+01, 8.709091406740084196e+00, 8.005816670918618483e-01, 1.457915304280221758e+00, 7.816250294703243284e+00, 1.272045635418145082e+00, 2.470855139215209828e+00, 1.217284911788828250e+00, 1.118014359392403012e+00, 3.272318141989277951e+00, 6.710398716529708985e+00
2.017000000000000000e+03, 4.110081059649694168e+00, 1.332338700466097592e+00, 1.004087450119244629e+01, 8.675809918694397993e+00, 5.700389441751056996e-01, 1.374759251614235289e+00, 7.791080299596988112e+00, 1.215933180485941678e+00, 2.037667543199833009e+00, 1.221758769385042465e+00, 1.171379347796537074e+00, 3.239439113951199101e+00, 6.778055664982319151e+00
2.018000000000000000e+03, 4.069685233957092585e+00, 1.331851316280470376e+00, 9.811885421334917368e+00, 8.696766592065444001e+00, 6.401997315600492788e-01, 1.494263202749048558e+00, 7.754103368450256717e+00, 1.222278835930505014e+00, 2.041777079259092798e+00, 1.237079831372276173e+00, 1.198894230877788791e+00, 3.375623157806963093e+00, 6.791926753949081963e+00
2.019000000000000000e+03, 4.081378616874483001e+00, 1.371418876593326619e+00, 9.742969721402820582e+00, 8.796636527420911733e+00, 8.710078076141538617e-01, 1.523909941644708610e+00, 7.770838263792039236e+00, 1.231859313935891320e+00, 2.480662608470061148e+00, 1.237417887135052519e+00, 1.134147088812650361e+00, 3.469119852983519880e+00, 6.776567529834882642e+00
2.020000000000000000e+03, 4.106584010414016106e+00, 1.335855268762681458e+00, 9.867212078422475940e+00, 8.665665943900647150e+00, 6.278078784109443200e-01, 1.471225479203284614e+00, 7.778391201574210712e+00, 1.222482184272130512e+00, 2.598009941795949018e+00, 1.228250009634762607e+00, 1.153998260263501052e+00, 3.334247263006560047e+00, 6.741229075688900174e+00
2.021000000000000000e+03, 4.131754166611561807e+00, 1.329398314213612320e+00, 9.964861946137350657e+00, 8.637318427390370701e+00, 3.884548716774777199e-01, 1.416523751219117111e+00, 7.865323498105354361e+00, 1.245499574552753730e+00, 2.360983758715087699e+00, 1.218801614250900389e+00, 1.217151198434461623e+00, 3.305434806806170744e+00, 6.706828366682138665e+00
2.022000000000000000e+03, 4.124529991790025996e+00, 1.370698519350525668e+00, 9.966154383449763898e+00, 8.630302992533030348e+00, 5.408170446594332548e-01, 1.418968642213674247e+00, 7.789553625426299810e+00, 1.231716637432534789e+00, 2.135268371344809957e+00, 1.238107430311891299e+00, 1.184761485462399566e+00, 3.364821476996617822e+00, 6.716271970125493596e+00
2.023000000000000000e+03, 4.139456723213672973e+00, 1.372114065675936745e+00, 9.864302261019300744e+00, 8.646534430303034924e+00, 6.825193350437714912e-01, 1.417940791222783492e+00, 7.753935130912489981e+00, 1.290282341071659955e+00, 1.986975715532738107e+00, 1.245422331808442085e+00, 1.131155362176459844e+00, 3.544903416515906791e+00, 6.710023405920502171e+00
2.024000000000000000e+03, 4.171455140083398128e+00, 1.354783588908481828e+00, 9.953055708980928173e+00, 8.686492000265532809e+00, 6.040330628171519667e-01, 1.388914719149975552e+00, 7.717853582031476201e+00, 1.260602589423659659e+00, 2.344688907368759345e+00, 1.213553453673446247e+00, 1.159588255425362480e+00, 3.373863132190886294e+00, 6.704030868575136637e+00
2.025000000000000000e+03, 4.204338130330455670e+00, 1.366680408837575689e+00, 1.000621724900756959e+01, 8.743878904397236695e+00, 6.488293423875465260e-01, 1.393438163212368908e+00, 7.767727070488779084e+00, 1.203429870279570046e+00, 2.638672558232530108e+00, 1.211690099123375663e+00, 1.190648939743899293e+00, 3.414620059851624312e+00, 6.744831498040983142e+00
2.026000000000000000e+03, 4.173932592069620640e+00, 1.357659657275889220e+00, 9.962833426008458559e+00, 8.664898254478242023e+00, 5.024110319874284247e-01, 1.481710993406341270e+00, 7.760236426273894317e+00, 1.243547737481517146e+00, 2.980810967304225123e+00, 1.239663098374879091e+00, 1.202827186332058096e+00, 3.443847100520092575e+00, 6.802482127664375433e+00
2.027000000000000000e+03, 4.203409403246412879e+00, 1.428988742690466385e+00, 9.978813497969783342e+00, 8.716840854851460207e+00, 6.136101630166752585e-01, 1.571609470850862778e+00, 7.832107575500491414e+00, 1.241736778814561237e+00, 2.277751845919818940e+00, 1.246034637704007242e+00, 1.209159312989286583e+00, 3.541552095528390343e+00, 6.826451537703951189e+00
