year, UKESM1-0-LL, CNRM-ESM2-1, IPSL-CM6A-LR, CESM2-WACCM
2.015000000000000000e+03, 3.681981584844317232e-09, 6.400985925330279552e-10, -3.859583588515570718e-09, 1.224398202860256220e-09
2.016000000000000000e+03, 3.810861091945853786e-09, 3.741183852516511814e-10, -3.556682052346764748e-09, 7.451329176364942205e-10
2.017000000000000000e+03, 3.897898630147979974e-09, 4.500171398506528416e-10, -3.348769509398045671e-09, 6.935579491444891749e-10
2.018000000000000000e+03, 3.454025500786042156e-09, 4.755353291428178300e-10, -3.453731609930082311e-09, 6.497795898962132737e-10
2.019000000000000000e+03, 3.754011323700883022e-09, 4.729941173589130004e-10, -3.628163516492241326e-09, 6.097654182244173406e-10
2.020000000000000000e+03, 3.618799564580276956e-09, 4.522240016096840100e-10, -3.730138311624638375e-09, 5.741972998007363366e-10
2.021000000000000000e+03, 3.936280200410146381e-09, 4.143364748099537048e-10, -3.345696134511582920e-09, 5.414084562354408136e-10
2.022000000000000000e+03, 4.155706080757314690e-09, 4.223255551252212669e-10, -3.589575146371775761e-09, 5.079075627735267137e-10
2.023000000000000000e+03, 4.085332896291787456e-09, 4.057693003074635197e-10, -3.732862293133823730e-09, 4.785650654641114698e-10
2.024000000000000000e+03, 3.809985605370835158e-09, 4.129940634048416950e-10, -3.743088827698021398e-09, 4.512445075551049160e-10
2.025000000000000000e+03, 3.592695898184957025e-09, 4.082261025652927820e-10, -3.520643040831062831e-09, 4.295816106674530864e-10
2.026000000000000000e+03, 3.760952002888076439e-09, 2.232487231888836920e-10, -3.625140620246760411e-09, 4.496599778620524866e-10
2.027000000000000000e+03, 3.816057407096606798e-09, 2.292358616494946786e-10, -3.779368495656393009e-09, 4.169208585111405018e-10
2.028000000000000000e+03, 3.650835692761350787e-09, 2.248409452239996749e-10, -3.525590043869580885e-09, 3.976407816675412051e-10
2.029000000000000000e+03, 4.375396554845893010e-09, 2.277570703355124688e-10, -3.608266529302493225e-09, 3.853356659553101745e-10
2.030000000000000000e+03, 3.998663597217134704e-09, 2.198103197024335801e-10, -3.661771173316417197e-09, 3.745389814680859793e-10
2.031000000000000000e+03, 3.620270978929566841e-09, 2.061809726895879820e-10, -3.964992484361331141e-09, 3.988207197339348496e-10
2.032000000000000000e+03, 3.829933642296926613e-09, 1.997132161808357404e-10, -4.028424069543750921e-09, 3.854679193175513368e-10
2.033000000000000000e+03, 4.069099767177241971e-09, 1.915644928002823959e-10, -3.974359825005173043e-09, 3.756740420965640312e-10
2.034000000000000000e+03, 3.572239181812677524e-09, 1.834880783393865119e-10, -4.011559370569362101e-09, 3.715533316121759659e-10
2.035000000000000000e+03, 3.644612016610814583e-09, 1.757313056964521556e-10, -3.698229800511228117e-09, 3.692130104467970355e-10
2.036000000000000000e+03, 3.946290188004172255e-09, 1.507108934424858002e-10, -3.694333018625840636e-09, 3.878732755630874186e-10
2.037000000000000000e+03, 3.984106537796857895e-09, 1.507116267581653771e-10, -4.085454995801390166e-09, 3.761811071495877938e-10
2.038000000000000000e+03, 4.081033272058926792e-09, 1.497724394769433805e-10, -3.581807458655187459e-09, 3.709668167495486103e-10
2.039000000000000000e+03, 4.084530228314764412e-09, 1.469988182030121322e-10, -3.440803054204162099e-09, 3.676939421061461554e-10
2.040000000000000000e+03, 3.656280794751406623e-09, 1.445434410961702040e-10, -3.863787268400237236e-09, 3.637932912305861710e-10
2.041000000000000000e+03, 4.223316334690727262e-09, 1.070075241616624788e-10, -3.771526743835227519e-09, 3.536614185798841386e-10
2.042000000000000000e+03, 4.315692816528552680e-09, 1.034789294728034325e-10, -3.881379195219484438e-09, 3.525713891640807330e-10
2.043000000000000000e+03, 3.845055348416224705e-09, 9.903713609723220114e-11, -3.927625987296299510e-09, 3.505151154389628818e-10
2.044000000000000000e+03, 4.053763395642023053e-09, 9.333781290010816533e-11, -3.860141746598251174e-09, 3.497061048826961672e-10
