year, NorESM2-MM, NorESM2-LM, TaiESM1, GFDL-ESM4, CNRM-ESM2-1
2.015000000000000000e+03, 1.576920967736526700e-09, 7.955290103263902464e-10, 1.916180645129841479e-09, 3.846843464188750837e-10, 1.559291942467011487e-10
2.016000000000000000e+03, 7.545205975492481833e-10, 1.875248874233417569e-10, 1.018789527241125110e-09, 8.643017273852632207e-10, 1.523236410706318139e-10
2.017000000000000000e+03, 5.830990854533672925e-10, 4.295464319453249005e-10, 3.227938435323129089e-10, 1.158153357391693615e-09, 1.748300493535789745e-10
2.018000000000000000e+03, 6.301840220212549201e-10, 5.415115928464639124e-10, 3.710662411667707648e-10, 2.910858800921579236e-10, 1.634316517015036770e-10
2.019000000000000000e+03, 5.513267637867079801e-10, 4.255215267464585995e-10, 1.046758108797206049e-09, 3.259701108387311933e-10, 1.333006110739357732e-10
2.020000000000000000e+03, 3.981258009516658710e-10, 3.442003224382426953e-10, 6.346382363324191065e-10, 3.385759121565961476e-10, 1.613101287909775080e-10
2.021000000000000000e+03, 9.367467854612856906e-10, 1.788224880672027667e-09, 1.941119418843726474e-10, 9.053150271044725880e-10, 1.674271928262272529e-10
2.022000000000000000e+03, 1.032693531882548185e-09, 1.684060703774008742e-09, 3.253914516932888589e-10, 5.442103767069056412e-10, 1.297113776376282433e-10
2.023000000000000000e+03, 1.016020115697250978e-09, 6.329267951967837832e-10, 4.766724557274968142e-10, 2.627825831127175185e-10, 1.220861149919978046e-10
2.024000000000000000e+03, 9.429371957407585069e-10, 7.624760102130643006e-10, 7.295153209970432026e-10, 6.149285447724530532e-10, 1.434642247688966364e-10
2.025000000000000000e+03, 9.533671684090376137e-10, 5.909987795454418886e-10, 9.855359993351370983e-10, 4.425443159726633751e-10, 2.326053009222625033e-10
2.026000000000000000e+03, 6.785996511582653455e-10, 4.263156692769204059e-10, 6.093057243729436599e-10, 5.540804585805167050e-10, 1.996397848930418441e-10
2.027000000000000000e+03, 1.503137215762533701e-09, 5.243086454208222266e-10, 6.129763899958674406e-10, 2.936222278140019089e-10, 2.313070521714553397e-10
2.028000000000000000e+03, 8.285478405837809512e-10, 6.564040852914852411e-10, 5.261951156719383088e-10, 4.353153989879181376e-10, 1.366476094222499024e-10
2.029000000000000000e+03, 7.165501583826881544e-10, 2.445496088343298099e-10, 1.797150646250678911e-09, 4.147822228600808857e-10, 1.358193289069521295e-10
2.030000000000000000e+03, 4.947637060916143496e-10, 2.712254189833420578e-10, 9.797613549781790515e-10, 4.611043446333775875e-10, 1.488050346551995434e-10
2.031000000000000000e+03, 8.079163548090879905e-10, 4.746827065582712853e-10, 3.371758860555384920e-10, 2.993246024416369642e-10, 1.632056910452789863e-10
2.032000000000000000e+03, 9.436973568954625183e-10, 3.404847354973864389e-10, 4.567547380774971374e-10, 9.783191062127243600e-10, 1.254116098470402122e-10
2.033000000000000000e+03, 5.050385422579438082e-10, 3.633573590869243845e-10, 4.296503774153147858e-10, 5.896128283001623352e-10, 1.458291360572592976e-10
2.034000000000000000e+03, 4.875353653734107161e-10, 6.789402916209845741e-10, 4.519451922055405697e-10, 5.876371713082017073e-10, 2.140043484731668657e-10
