year, TaiESM1, UKESM1-0-LL, CESM2-WACCM, NorESM2-LM, IPSL-CM6A-LR, NorESM2-MM, GFDL-ESM4, EC-Earth3-Veg, MPI-ESM1-2-LR
2.015000000000000000e+03, 4.084438750104300057e-10, 3.681981584844317232e-09, 1.183177350858215628e-09, 3.402357609140016329e-10, 3.009082136801987542e-09, 0.000000000000000000e+00, 8.579383552132727523e-10, 8.296908180798063857e-10, 1.907450503788116441e-09
2.016000000000000000e+03, 4.416647425900158468e-10, 3.810861091945853786e-09, 9.874788398584189272e-10, 3.783744449748369669e-10, 2.853952670309661842e-09, 4.187153919705848421e-10, 8.703762245399726875e-10, 7.214335951586495687e-10, 1.943268680378990958e-09
2.017000000000000000e+03, 4.513877060457596689e-10, 3.897898630147979974e-09, 9.919315280273550792e-10, 3.922444509617979541e-10, 2.647252528487050919e-09, 4.336521724814369881e-10, 8.382468484941754985e-10, 6.931794840321293658e-10, 1.939464872008009291e-09
2.018000000000000000e+03, 4.635204427813977706e-10, 3.454025500786042156e-09, 1.053109616050630362e-09, 3.927682910663706008e-10, 2.752469090377842029e-09, 4.361174249729268393e-10, 8.150779824367445678e-10, 8.636812660610055564e-10, 1.949701523125479763e-09
2.019000000000000000e+03, 4.780172965018898306e-10, 3.754011323700883022e-09, 9.429521567640155133e-10, 3.935288324259885883e-10, 2.931302432437052620e-09, 4.388759476202970614e-10, 8.372607261613520522e-10, 8.647924491681430502e-10, 1.927024561450079332e-09
2.020000000000000000e+03, 4.987776856898336147e-10, 3.618799564580276956e-09, 1.294659820178388094e-09, 3.939871672416251704e-10, 3.038789581108870145e-09, 4.420935344354399782e-10, 9.204241276613435891e-10, 8.488990780014836339e-10, 1.881769465067678058e-09
2.021000000000000000e+03, 5.370494060578711089e-10, 3.936280200410146381e-09, 1.214012680008469683e-09, 3.943108553379666006e-10, 2.701487207938773162e-09, 4.446173489170584964e-10, 8.888216776060105519e-10, 8.001480100561050752e-10, 1.933948099667789935e-09
2.022000000000000000e+03, 5.389282361486229107e-10, 4.155706080757314690e-09, 1.053912126193316175e-09, 3.944860968927358858e-10, 2.961703699898577895e-09, 4.466366786554650292e-10, 9.486799990052825112e-10, 9.093977374799557442e-10, 1.957449503804423609e-09
2.023000000000000000e+03, 5.266742077746484471e-10, 4.085332896291787456e-09, 1.023740020955396409e-09, 3.883404390921617511e-10, 3.107946254574288365e-09, 4.384667421836722292e-10, 9.389703479630175141e-10, 9.629564880794167226e-10, 1.984222813550810821e-09
2.024000000000000000e+03, 5.171006021185554303e-10, 3.809985605370835158e-09, 9.162405706086129088e-10, 3.847538363470369637e-10, 3.125731602694559677e-09, 4.356918738094850079e-10, 9.908922284047487759e-10, 9.343881498618752575e-10, 1.989837891668998740e-09
2.025000000000000000e+03, 5.092963340500164630e-10, 3.592695898184957025e-09, 1.138655065101475533e-09, 3.850159286729820041e-10, 2.902831434584511187e-09, 4.368765121376859165e-10, 9.482679165537322130e-10, 8.878363804331228434e-10, 2.014164197104161130e-09
2.026000000000000000e+03, 5.065676360279565275e-10, 3.760952002888076439e-09, 1.100610498177711331e-09, 3.856168557815946978e-10, 3.031375749287358073e-09, 4.378690725666212430e-10, 9.853688111479368039e-10, 1.048514919551764193e-09, 1.999786108685472301e-09
2.027000000000000000e+03, 5.024339605968854152e-10, 3.816057407096606798e-09, 1.086802463850743723e-09, 3.871448846594424679e-10, 3.183370901426565421e-09, 4.387503403367971066e-10, 9.743607175346161387e-10, 1.076846466748340450e-09, 2.026019424257972071e-09
2.028000000000000000e+03, 4.995874394161042684e-10, 3.650835692761350787e-09, 1.006301476334792387e-09, 3.887055563403797956e-10, 2.927664289830873083e-09, 4.402607754304416572e-10, 9.712677776085132461e-10, 1.140641204210366557e-09, 2.024750692306302421e-09
2.029000000000000000e+03, 4.991405386215584355e-10, 4.375396554845893010e-09, 1.101958947462560878e-09, 3.898114038613619237e-10, 3.009696684469154853e-09, 4.411879366314803825e-10, 9.565816490805665476e-10, 1.101591575596267978e-09, 2.027020122333988546e-09
2.030000000000000000e+03, 4.959563197905528614e-10, 3.998663597217134704e-09, 1.215782535059568724e-09, 3.907004188841267514e-10, 3.065094423866607025e-09, 4.416108112076851190e-10, 9.580166340409841366e-10, 1.164600486142351605e-09, 1.994542544083937678e-09
2.031000000000000000e+03, 4.980362042473948055e-10, 3.620270978929566841e-09, 1.084202254717329693e-09, 3.916136670598195136e-10, 3.411702306303713518e-09, 4.424146427309449772e-10, 9.918076501254235207e-10, 1.148221369738106029e-09, 1.999310082541030745e-09
2.032000000000000000e+03, 4.999807783003051669e-10, 3.829933642296926613e-09, 1.037974663696183115e-09, 3.921207965243655644e-10, 3.474952048218030564e-09, 4.429219015865362328e-10, 1.023059071798584895e-09, 9.751359879991658301e-10, 1.999230804838608894e-09
2.033000000000000000e+03, 5.019797202277434517e-10, 4.069099767177241971e-09, 1.334984849900864028e-09, 3.926858118807452184e-10, 3.421020350143174571e-09, 4.435856526919206210e-10, 1.015404154308115974e-09, 1.254411288920163243e-09, 2.056045747279941086e-09
2.034000000000000000e+03, 5.034561323498006728e-10, 3.572239181812677524e-09, 1.401582950300172618e-09, 3.934820731145405483e-10, 3.457881579251973606e-09, 4.439386392369992042e-10, 1.020977177203364568e-09, 1.308393887654873714e-09, 2.028493839538818722e-09
2.035000000000000000e+03, 5.013833217017746833e-10, 3.644612016610814583e-09, 1.469695292529354851e-09, 3.945041184643967673e-10, 3.145340194366475973e-09, 4.443918493618913411e-10, 1.004116671740864564e-09, 1.251473892517403406e-09, 2.026842351857891835e-09
2.036000000000000000e+03, 5.016236174434628317e-10, 3.946290188004172255e-09, 1.313250724069646817e-09, 3.937565897116558520e-10, 3.170017933619723191e-09, 4.445831116645374885e-10, 1.047683735998292473e-09, 1.180463062830059147e-09, 2.076734549018087733e-09
