year, CESM2-WACCM, MPI-ESM1-2-LR, IPSL-CM6A-LR, NorESM2-LM, EC-Earth3-Veg, UKESM1-0-LL, CNRM-ESM2-1, CMCC-ESM2, NorESM2-MM, TaiESM1
2.015000000000000000e+03, 1.215282439823584583e-09, 2.814461644975422815e-09, 4.785844807193158645e-10, 1.711054447166753965e-09, 1.324327734950468278e-09, 1.418920007216128550e-10, 6.400985925330279552e-10, 9.060602534355349757e-10, 2.105157678378094242e-09, 6.193330864480935668e-09
2.016000000000000000e+03, 7.442060186238331708e-10, 2.680670168973074440e-09, 3.194342706831561105e-10, 1.785855957127918348e-09, 1.156318870625926045e-09, 7.945846479147332715e-11, 3.741183852516511814e-10, 8.982831062631379872e-10, 2.019400538187820781e-09, 5.144990020710197959e-09
2.017000000000000000e+03, 6.926615948668448453e-10, 2.640457783162145462e-09, 3.185772198385240801e-10, 1.602721381416717373e-09, 1.110980336062150537e-09, 5.808895726021707697e-11, 4.500171398506528416e-10, 8.873052408635255867e-10, 2.245819335220371710e-09, 4.274684980075983387e-09
2.018000000000000000e+03, 6.488785340056708204e-10, 2.613530011718828801e-09, 3.185100324126419304e-10, 1.601259850772045989e-09, 1.175268388817278217e-09, 4.936850106100742057e-11, 4.755353291428178300e-10, 8.841922225168386564e-10, 2.206148415948806301e-09, 3.580642812304735352e-09
2.019000000000000000e+03, 6.088716798017302102e-10, 2.590977977578905810e-09, 3.139721488194408145e-10, 1.489515546114718052e-09, 1.227447703559725471e-09, 4.551640772586113523e-11, 4.729941173589130004e-10, 8.837439287747788588e-10, 2.023100358435213051e-09, 3.027411258756913204e-09
2.020000000000000000e+03, 5.733008567029271277e-10, 2.570334903467750472e-09, 3.086874244677487243e-10, 1.653109683335630753e-09, 1.189572881865839323e-09, 5.014886315694893171e-11, 4.522240016096840100e-10, 8.267347958345027700e-10, 2.107283288897797716e-09, 2.576325613829272608e-09
2.021000000000000000e+03, 5.405276339238002877e-10, 2.576589787323078709e-09, 2.608225262557131232e-10, 1.608774864226251820e-09, 1.096859989620227765e-09, 5.578441865590240213e-11, 4.143364748099537048e-10, 8.142360768575204672e-10, 2.344438409535198499e-09, 2.234961776962548508e-09
2.022000000000000000e+03, 5.071139353791572305e-10, 2.572021648368394188e-09, 2.589087691298839978e-10, 1.462617558619963453e-09, 1.112572672687471262e-09, 6.458962853534667688e-11, 4.223255551252212669e-10, 7.998857370632883427e-10, 2.318617080410611031e-09, 1.963164016228474330e-09
2.023000000000000000e+03, 4.778391839027395044e-10, 2.566135329589244516e-09, 2.610964651765701578e-10, 1.917126348820961209e-09, 1.147846036861352977e-09, 7.339352941068091134e-11, 4.057693003074635197e-10, 7.897296426197090936e-10, 2.140090708707010677e-09, 1.744469529940713122e-09
2.024000000000000000e+03, 4.506065525318501813e-10, 2.552048684853937612e-09, 2.525340325247776047e-10, 2.016113160184166380e-09, 1.199868035076195688e-09, 7.942637506297933324e-11, 4.129940634048416950e-10, 7.886311735392420076e-10, 2.126179040064882866e-09, 1.569976005276067062e-09
2.025000000000000000e+03, 4.289842193280336590e-10, 2.523461134506820940e-09, 2.510514094371154335e-10, 1.992459824984165188e-09, 1.174834196401897781e-09, 7.913084664252026930e-11, 4.082261025652927820e-10, 7.185231013305671357e-10, 2.074704869277122171e-09, 1.342093192918241924e-09
2.026000000000000000e+03, 4.484439923980410510e-10, 2.536212734778034102e-09, 2.266310772659079790e-10, 1.708041785954901040e-09, 1.103013560380211539e-09, 5.037741254972666746e-11, 2.232487231888836920e-10, 7.043511658828338120e-10, 2.194822775162586208e-09, 1.221893012882629489e-09
2.027000000000000000e+03, 4.160556175037243056e-10, 2.542902694597386885e-09, 2.275097867662459042e-10, 1.603912608789591925e-09, 1.117404458777344443e-09, 3.556373422772910550e-11, 2.292358616494946786e-10, 6.889479168362557616e-10, 1.977489556304621141e-09, 1.125127017625207664e-09
2.028000000000000000e+03, 3.969043086421035254e-10, 2.527570353797142717e-09, 2.277014303872143966e-10, 1.477801775900494201e-09, 1.138498148032211332e-09, 2.930073315218125901e-11, 2.248409452239996749e-10, 6.772471041002183041e-10, 1.898267958961124753e-09, 1.046721785335878001e-09
2.029000000000000000e+03, 3.846366291154435122e-10, 2.493105722786596377e-09, 2.270793578976275687e-10, 1.746333812258472652e-09, 1.171779057344490303e-09, 2.617962947673260138e-11, 2.277570703355124688e-10, 6.764544055242077777e-10, 2.066097765492595154e-09, 9.827712362346213785e-10
2.030000000000000000e+03, 3.738827265975626051e-10, 2.484243785597559723e-09, 2.239819839263257304e-10, 1.900875154297805325e-09, 1.166372866179387726e-09, 2.409326840570207007e-11, 2.198103197024335801e-10, 6.171650866330766008e-10, 2.284736482568451374e-09, 8.924100470649732846e-10
2.031000000000000000e+03, 3.976243661000804459e-10, 2.503111874508566033e-09, 1.799049234042358747e-10, 1.704024997746498846e-09, 1.095113998835196096e-09, 2.672666846607658354e-11, 2.061809726895879820e-10, 6.044794350464613195e-10, 2.013794553760889290e-09, 8.502245588752759371e-10
2.032000000000000000e+03, 3.844445169868494916e-10, 2.508718334511395294e-09, 1.793637730133969802e-10, 1.709195114642320388e-09, 1.088018858329208508e-09, 3.111502849044284011e-11, 1.997132161808357404e-10, 5.973939372648553570e-10, 1.889058356694378881e-09, 8.151034075811483188e-10
2.033000000000000000e+03, 3.747641146388735569e-10, 2.488634688079978889e-09, 1.787719889012679528e-10, 1.579832051780995075e-09, 1.092615378799548958e-09, 3.281898397719493208e-11, 1.915644928002823959e-10, 5.948206761953412575e-10, 2.036533158859927786e-09, 7.867726125563977623e-10
2.034000000000000000e+03, 3.706597093985588798e-10, 2.470411269738198188e-09, 1.780211019664134419e-10, 1.376474645555298769e-09, 1.127964722296816728e-09, 3.358100522932922723e-11, 1.834880783393865119e-10, 5.900337665750006891e-10, 2.292882006740401434e-09, 7.661505396424444725e-10
