year, CMCC-ESM2, MPI-ESM1-2-LR, CESM2-WACCM, UKESM1-0-LL, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, MIROC-ES2L
2.015000000000000000e+03, 5.819372668973950319e-10, 4.721916160498720035e-09, 1.939737728899840463e-09, 1.418920009983561843e-10, 6.050837284727603186e-10, 2.616351867444166304e-10, 3.487666598541050646e-09, 3.579839063010044350e-09
2.016000000000000000e+03, 5.757978324087517718e-10, 4.623935708465806380e-09, 1.683353551204471212e-09, 7.945846373624084209e-11, 7.523945540605594479e-10, 2.643972615368871358e-10, 3.173386938796294585e-09, 3.544646320126288872e-09
2.017000000000000000e+03, 5.711904370223577946e-10, 4.579918811328479271e-09, 1.637854906892437368e-09, 5.808895710244078264e-11, 5.962422534623972994e-10, 2.546460480160696772e-10, 2.965829758285924658e-09, 3.527940388042888189e-09
2.018000000000000000e+03, 5.679901210316806880e-10, 4.563237889323032865e-09, 1.655004360824387593e-09, 4.936850056820181396e-11, 5.333112574258515915e-10, 2.415359489052132003e-10, 3.070979153605270231e-09, 3.499483100571502551e-09
2.019000000000000000e+03, 5.657661764476864497e-10, 4.517998275130866776e-09, 1.505221545428379112e-09, 4.551640775512856244e-11, 5.048308366135748107e-10, 2.310725504495353058e-10, 3.245274582326424829e-09, 3.498737623732718278e-09
2.020000000000000000e+03, 5.609345320075035113e-10, 4.452102921796800218e-09, 1.821217580124298588e-09, 5.014886233985632311e-11, 4.893289044460938958e-10, 1.929700146181391490e-10, 3.347476924038378918e-09, 3.479495324360357350e-09
2.021000000000000000e+03, 5.541995613440567365e-10, 4.510538971871186543e-09, 1.708611655504519362e-09, 5.578441821848466717e-11, 4.730813056744858698e-10, 1.930750850185624436e-10, 2.962309676061452410e-09, 3.501913163605794412e-09
2.022000000000000000e+03, 5.486019518743053953e-10, 4.529475400251127628e-09, 1.519643883983740349e-09, 6.458962787589272750e-11, 4.631696519208239208e-10, 1.876970426428095702e-10, 3.220612452162666671e-09, 3.523172509440000543e-09
2.023000000000000000e+03, 5.425421769886411860e-10, 4.550359174929699715e-09, 1.463729485612317090e-09, 7.339352888283117770e-11, 4.557743496709762037e-10, 1.642699499620182206e-10, 3.369042717555786651e-09, 3.538919988328517557e-09
2.024000000000000000e+03, 5.362150758224232040e-10, 4.541883205263868282e-09, 1.333582503260205237e-09, 7.942637383472931810e-11, 4.504138795288936698e-10, 1.529006224302311062e-10, 3.378265656428511903e-09, 3.558656250907405796e-09
2.025000000000000000e+03, 5.271207554734515974e-10, 4.537626588723987137e-09, 1.536489482090457353e-09, 7.913084878875409298e-11, 4.443435487258859812e-10, 1.469199017773106005e-10, 3.153882814392356533e-09, 3.570293660410699156e-09
2.026000000000000000e+03, 5.163724141174493141e-10, 4.536000349893865447e-09, 1.485649414260988892e-09, 5.037741257527990510e-11, 3.911331307336431402e-10, 1.544296994746684091e-10, 3.258006822136423786e-09, 3.577889441079543827e-09
2.027000000000000000e+03, 5.077048014159918582e-10, 4.568916352744061720e-09, 1.457741998647795848e-09, 3.556373411170120476e-11, 3.651640791814765939e-10, 1.472061367282421279e-10, 3.410880694938124416e-09, 3.606929514834856372e-09
2.028000000000000000e+03, 5.000439904772227797e-10, 4.552326280728537782e-09, 1.364803816596572959e-09, 2.930073302064835529e-11, 3.493377520987401364e-10, 1.387456035492200746e-10, 3.155365701699814704e-09, 3.632205063804590891e-09
2.029000000000000000e+03, 4.936379022157896096e-10, 4.520119496847711616e-09, 1.450146083129195630e-09, 2.617962961009990412e-11, 3.391905869749490452e-10, 1.301189961425236599e-10, 3.236776046100697524e-09, 3.656171906626532292e-09
2.030000000000000000e+03, 4.858056972392412526e-10, 4.478788815930749616e-09, 1.555446063858086250e-09, 2.409326842707687915e-11, 3.300696669833512572e-10, 1.212495862011435982e-10, 3.289076400940188032e-09, 3.608949829999134665e-09
2.031000000000000000e+03, 4.772244768440981685e-10, 4.502422455287712572e-09, 1.419445483377946943e-09, 2.672666846899239843e-11, 3.129244274764948005e-10, 1.151259381442475051e-10, 3.591607233010174804e-09, 3.588587380003535188e-09
2.032000000000000000e+03, 4.704024476620990107e-10, 4.507950635970103324e-09, 1.369055957407602953e-09, 3.111502857533231510e-11, 3.009457793559210365e-10, 1.079043364911700435e-10, 3.654315804081650930e-09, 3.580171893766130165e-09
2.033000000000000000e+03, 4.649309337573189087e-10, 4.544683449603669985e-09, 1.662302790545104743e-09, 3.281898404710130335e-11, 2.925240178431474478e-10, 1.003805071921971685e-10, 3.599792328887937839e-09, 3.614868240564815017e-09
2.034000000000000000e+03, 4.606489915148188596e-10, 4.498897654574601527e-09, 1.725646585556605408e-09, 3.358100606288806792e-11, 2.853116321875806070e-10, 9.189491775104147440e-11, 3.635902742492008187e-09, 3.642919357595029560e-09
2.035000000000000000e+03, 4.574785640373396870e-10, 4.516611612658627264e-09, 1.791158550122373099e-09, 3.240974092182613315e-11, 2.790677104108187683e-10, 8.336920356095998101e-11, 3.322001309707971070e-09, 3.616498639120348232e-09
