year, ACCESS-ESM1-5, NorESM2-LM, MPI-ESM1-2-LR, IPSL-CM6A-LR, EC-Earth3-Veg, INM-CM5-0, CanESM5, GFDL-ESM4, MIROC-ES2L, CNRM-ESM2-1, TaiESM1, CESM2-WACCM, INM-CM4-8, NorESM2-MM, CMCC-CM2-SR5, UKESM1-0-LL
2.015000000000000000e+03, 8.302973819715164794e+00, 8.287007288225153090e+00, 1.166691522094246913e+01, 8.395992512783500672e+00, 9.094761462519384665e+00, 1.485450808194952366e+01, 1.046516969256278173e+01, 9.550205445252952785e+00, 6.309055469087022416e+00, 9.157186521028076953e+00, 9.969815855102284630e+00, 9.278852894003980722e+00, 1.537777887621103368e+01, 9.339261266836007991e+00, 1.043401213340913003e+01, 1.197062149792867558e+01
2.016000000000000000e+03, 8.213760410617783947e+00, 8.660056906285442224e+00, 1.123024824760018525e+01, 8.102907167986758807e+00, 8.604801882932200385e+00, 1.466529005004339581e+01, 1.062611317466191174e+01, 8.674993501464339118e+00, 6.303784530122916507e+00, 9.260791361539153499e+00, 1.017605498966942079e+01, 8.937317543534852859e+00, 1.506652206149442108e+01, 9.542417797491495435e+00, 1.031911358710007320e+01, 1.237050683904004877e+01
2.017000000000000000e+03, 8.394016792379344949e+00, 8.484866084985778656e+00, 1.182257189811371667e+01, 7.455818644617405511e+00, 9.304987977374091557e+00, 1.468250845817678041e+01, 1.063729287017792835e+01, 8.489887031620780178e+00, 6.258684499839169746e+00, 9.136926192851454687e+00, 1.171160798738359432e+01, 9.202057604635150767e+00, 1.484440850773060916e+01, 9.910118613054713421e+00, 1.113106652314152001e+01, 1.250295151043050446e+01
2.018000000000000000e+03, 8.524882729356075828e+00, 8.272862367549100426e+00, 1.134309028607136227e+01, 8.148484404361079569e+00, 9.285446274445103398e+00, 1.447626160371102166e+01, 1.043625532676106893e+01, 9.051734911309859299e+00, 6.493770912559295283e+00, 9.659761462752038952e+00, 1.240499805948935474e+01, 9.279858325703493449e+00, 1.522567684808472421e+01, 9.877426128988048504e+00, 1.146003788132436441e+01, 1.140949886447486961e+01
2.019000000000000000e+03, 8.253941984106027974e+00, 8.518085620322221274e+00, 1.075230939235053995e+01, 8.528354900519119042e+00, 9.169768970419218235e+00, 1.514069186643771481e+01, 1.041758757503263411e+01, 9.505142326651364826e+00, 6.484723741759156113e+00, 9.640193322015147004e+00, 1.151827107946101592e+01, 9.281742890866256701e+00, 1.544731620922298099e+01, 9.762910916388779725e+00, 1.081412817285218431e+01, 1.223241710692647821e+01
2.020000000000000000e+03, 8.295200202595834682e+00, 8.654133646395708368e+00, 1.230463628757620853e+01, 8.361019602514323523e+00, 8.974771346482009804e+00, 1.503218581257541864e+01, 1.078908685476775098e+01, 9.119875668012600300e+00, 6.510015610108169426e+00, 9.726793796525523561e+00, 1.171586095626817503e+01, 9.685217717519025271e+00, 1.547749408684540207e+01, 1.000078656056723680e+01, 1.010012283329762894e+01, 1.182216115682583535e+01
2.021000000000000000e+03, 8.248519295764687342e+00, 8.297415307973919241e+00, 1.191846561280936179e+01, 7.755382290007744928e+00, 9.228712423301200118e+00, 1.531642511939517526e+01, 1.084147137320770504e+01, 9.119412204005229228e+00, 6.452350020844220602e+00, 8.989188769187922645e+00, 1.338632861664896012e+01, 9.446018498441738132e+00, 1.528666413079174013e+01, 1.031038355390282391e+01, 1.027999928826530152e+01, 1.263575127216068239e+01
2.022000000000000000e+03, 8.685651005825889115e+00, 8.432875206151749126e+00, 1.228527249213211370e+01, 8.489366150788631771e+00, 9.268621798742998408e+00, 1.463381232358660355e+01, 1.087503714976357472e+01, 8.812801303468416947e+00, 6.570988153700768386e+00, 9.643668623085792646e+00, 1.369074444752879849e+01, 9.423311670915159866e+00, 1.501802082941575911e+01, 1.025017001987674092e+01, 1.077478340059160900e+01, 1.308429544053014304e+01
2.023000000000000000e+03, 8.390651822406260507e+00, 8.909262456499929428e+00, 1.205653582789268619e+01, 8.425093050036084108e+00, 9.325520949996791487e+00, 1.485335110096747968e+01, 1.060091198980568095e+01, 9.550294922996405589e+00, 6.683960791720009453e+00, 9.768842139414088521e+00, 1.329822915729696398e+01, 9.163403799972007491e+00, 1.541869836624853107e+01, 1.019598279433219545e+01, 1.162526970362052836e+01, 1.290290559426333061e+01
2.024000000000000000e+03, 8.060544221922805619e+00, 8.961917698270299937e+00, 1.194930924101437775e+01, 8.473436075880329099e+00, 9.203905055309819616e+00, 1.492131308756081154e+01, 1.100361190656443888e+01, 9.218546305599618407e+00, 6.606031645849947509e+00, 9.867021354045087733e+00, 1.316190347870137423e+01, 9.126275828183583627e+00, 1.508433307784884114e+01, 1.024722615900032352e+01, 1.135143906301173544e+01, 1.206391022830061033e+01
2.025000000000000000e+03, 8.606496200532832930e+00, 9.166901647441632051e+00, 1.170694990106733080e+01, 7.776670361232527640e+00, 9.573651101126740670e+00, 1.532138605546282584e+01, 1.093834422348643720e+01, 9.142842852785836527e+00, 6.525190944684410965e+00, 9.452784426819855312e+00, 1.254898692714114006e+01, 9.572842320442060071e+00, 1.549243057293049119e+01, 1.024776691202988133e+01, 1.081859916937221833e+01, 1.170489328589609990e+01
2.026000000000000000e+03, 9.047249655638157861e+00, 8.948405023339613962e+00, 1.237850521118985725e+01, 8.533224960920144042e+00, 9.576890750906292382e+00, 1.513351272373257217e+01, 1.100407474856409706e+01, 9.063428967835921668e+00, 6.839386690078033126e+00, 9.611974208148623688e+00, 1.330724374183472669e+01, 9.467639937989853038e+00, 1.567773301395354757e+01, 1.051311305554664699e+01, 9.136742167714420049e+00, 1.209630491296278265e+01
2.027000000000000000e+03, 8.454840899398810450e+00, 8.785777797449078719e+00, 1.231046704552444382e+01, 8.470261565568410589e+00, 9.457838370923937532e+00, 1.499691317094433884e+01, 1.078392549141913115e+01, 9.400194673170831905e+00, 6.827853798397327090e+00, 9.219801641150938920e+00, 1.350078636250196062e+01, 9.505314596723716036e+00, 1.543461990913285931e+01, 9.948509239653075653e+00, 1.076238265670808225e+01, 1.225938662789481448e+01
2.028000000000000000e+03, 8.294713547156534972e+00, 8.905678159619904832e+00, 1.162577330927544494e+01, 7.961410046738368607e+00, 9.438963977150612195e+00, 1.534386634749879796e+01, 1.086269336266905583e+01, 9.403717450463666694e+00, 6.683743131636198598e+00, 9.092811943862631807e+00, 1.432313193104624638e+01, 9.595131395890089010e+00, 1.565171349291356329e+01, 1.011262690353438565e+01, 1.116787838638546582e+01, 1.186317280713993583e+01
2.029000000000000000e+03, 8.189470117376865588e+00, 9.186761834537058746e+00, 1.142226393434760467e+01, 7.833325561758306854e+00, 9.383160846403548305e+00, 1.522933517980961327e+01, 1.111911857942710213e+01, 9.253513814638870016e+00, 6.705838631116227688e+00, 9.448536349161411607e+00, 1.232507567294572581e+01, 9.828391251701308562e+00, 1.586441488872971739e+01, 1.031996139328859563e+01, 1.102980016798173502e+01, 1.380218206132977166e+01
2.030000000000000000e+03, 9.049101711080000499e+00, 9.401592966303343957e+00, 1.260303868083792977e+01, 8.612759213646269174e+00, 9.406663792247128342e+00, 1.547747655534295674e+01, 1.118349366581375648e+01, 9.279109290420088030e+00, 6.880994881413317721e+00, 9.216227386909562114e+00, 1.272494913209670742e+01, 9.969441466855215594e+00, 1.593913576307491731e+01, 1.071871367531547747e+01, 1.155603234407629287e+01, 1.277783712233635072e+01
2.031000000000000000e+03, 8.818310836534829278e+00, 9.239801541064098345e+00, 1.319269804244841993e+01, 9.009271839284290095e+00, 9.274672865758034845e+00, 1.518200112810265701e+01, 1.118379086649480314e+01, 9.720432707123245919e+00, 6.847770625637873643e+00, 9.770411428797185494e+00, 1.409795700618119341e+01, 9.716223300826142051e+00, 1.584388860223516815e+01, 1.050256359758972202e+01, 1.105643454653125701e+01, 1.174335286445447402e+01
2.032000000000000000e+03, 8.293321604607065467e+00, 9.320217014245894660e+00, 1.272440211283096723e+01, 8.944443666496928458e+00, 9.567886807070880906e+00, 1.539731979147267715e+01, 1.119076688508581441e+01, 9.186531596262904387e+00, 6.802956429350776268e+00, 9.399170126405964609e+00, 1.450366318524504372e+01, 9.786573104696772774e+00, 1.586946222212534252e+01, 1.043553707466909586e+01, 1.043961321253140540e+01, 1.253150048489445467e+01
