year, TaiESM1, CESM2-WACCM, GFDL-ESM4, INM-CM5-0, CNRM-ESM2-1, NorESM2-MM, CanESM5, ACCESS-ESM1-5, INM-CM4-8, CMCC-ESM2, MPI-ESM1-2-LR, EC-Earth3-Veg, IPSL-CM6A-LR, NorESM2-LM, UKESM1-0-LL, MIROC-ES2L
2.015000000000000000e+03, 3.387285594571951997e+00, 3.429217705740733813e+00, 3.532788521404266469e+00, 2.554591681700543848e+00, 2.990229187022268587e+00, 3.197069662071531759e+00, 3.012731100792365169e+00, 1.957648830483129432e+00, 2.589968238354227736e+00, 4.943880817291454122e+00, 3.725982782727881304e+00, 3.709397557579288573e+00, 2.970808438947128760e+00, 2.899029958895475989e+00, 3.995651277413883484e+00, 2.464548226675636222e+00
2.016000000000000000e+03, 2.917683908286353933e+00, 3.361074939425799712e+00, 3.222996128012721062e+00, 2.528355503402011095e+00, 2.957164012919531793e+00, 3.204850884308112935e+00, 3.076058104395510195e+00, 1.954822150213029852e+00, 2.569160248008596437e+00, 4.478041493432435516e+00, 3.617638455721757573e+00, 3.541751344292459969e+00, 2.921326890549028832e+00, 2.999836977330971433e+00, 3.993931649624424374e+00, 2.481211389885122909e+00
2.017000000000000000e+03, 3.624403094104155176e+00, 3.337776155269645884e+00, 3.144129054808110446e+00, 2.531698845739204451e+00, 2.974810020661772914e+00, 3.314429944315589349e+00, 3.120846949081212962e+00, 1.997535380747670120e+00, 2.537938948153446894e+00, 3.699733036480408188e+00, 3.705510273959255141e+00, 3.482476183588683050e+00, 2.730832079780574517e+00, 3.056192085592194463e+00, 3.996005053908023630e+00, 2.434642082177778555e+00
2.018000000000000000e+03, 4.725419089736414335e+00, 3.404667056054850427e+00, 3.401622743849720631e+00, 2.525785882869137744e+00, 3.076493490568079192e+00, 3.386808726639676692e+00, 3.012374379606599373e+00, 2.039613032261473169e+00, 2.580080192536780004e+00, 3.974907105899661452e+00, 3.639244090415810984e+00, 3.710209068440528224e+00, 2.822635129909162988e+00, 3.040519097637101709e+00, 3.985800403208491716e+00, 2.430465238812295148e+00
2.019000000000000000e+03, 4.207832142070650150e+00, 3.474035454176578774e+00, 3.542612379856597382e+00, 2.562312807496522460e+00, 3.076347407706537584e+00, 3.409442143609243914e+00, 2.909922330894649800e+00, 1.982801382558282866e+00, 2.576584667391774719e+00, 4.879325004872123728e+00, 3.421405747914193274e+00, 3.668162704632166538e+00, 2.968386713239099528e+00, 2.983105541913625647e+00, 3.988046427839657682e+00, 2.446039379682043879e+00
2.020000000000000000e+03, 3.576162114797288627e+00, 3.484295208541417832e+00, 3.362467267134090054e+00, 2.556951973138647194e+00, 3.103419331574772233e+00, 3.407317096826554259e+00, 3.059949652039383405e+00, 1.977588335793713847e+00, 2.580072861095804804e+00, 5.119197975269161205e+00, 3.857934281500141172e+00, 3.607245270621251443e+00, 2.987039546636981235e+00, 3.085192001058201683e+00, 3.977520521348758553e+00, 2.450801176733012898e+00
2.021000000000000000e+03, 4.274502942774157432e+00, 3.549976159940949838e+00, 3.319495257093699969e+00, 2.573112538340065480e+00, 2.957111068305646739e+00, 3.505335118833176722e+00, 3.086229810356439618e+00, 1.957573855467965140e+00, 2.567120094836106592e+00, 4.482860513143663184e+00, 3.796866858301739978e+00, 3.531620808953681578e+00, 2.798896882082511084e+00, 3.045724644998086372e+00, 3.992346982177738646e+00, 2.477723731519685835e+00
2.022000000000000000e+03, 5.257588136807539669e+00, 3.537147153773109398e+00, 3.198604986867430444e+00, 2.525104893357497549e+00, 3.012057334178685153e+00, 3.548148909376277693e+00, 3.124868240639261607e+00, 2.057644763618585060e+00, 2.544017921405461014e+00, 3.494550982119855931e+00, 3.863760705192842870e+00, 3.543095361496301887e+00, 2.911543037036807391e+00, 2.982797757970101493e+00, 3.998792170719413619e+00, 2.463315927016877627e+00
2.023000000000000000e+03, 4.982797327783382357e+00, 3.493918308618075397e+00, 3.465393534783595353e+00, 2.525462619604458503e+00, 3.088259006725731393e+00, 3.571055129002639550e+00, 3.015680448088851051e+00, 2.014899575610440863e+00, 2.571237118695945068e+00, 3.428623066581867995e+00, 3.787858080247865189e+00, 3.613886639380800236e+00, 2.962810235056223096e+00, 3.037716801662384114e+00, 3.993828050575636723e+00, 2.493233143577862521e+00
2.024000000000000000e+03, 4.617255076207904985e+00, 3.393301198272310693e+00, 3.291345478250603307e+00, 2.541907231514366483e+00, 3.115502817982758632e+00, 3.558506283425458161e+00, 3.189032079633841388e+00, 1.915439008160565226e+00, 2.551174368196805542e+00, 4.327162805764934284e+00, 3.709133704104707441e+00, 3.583158109568132410e+00, 2.956327053569431040e+00, 3.148384057916289169e+00, 3.988631994424728155e+00, 2.501359637392603918e+00
