year, NorESM2-MM, UKESM1-0-LL, ACCESS-ESM1-5, IPSL-CM6A-LR, CMCC-CM2-SR5, CanESM5, TaiESM1, GFDL-ESM4, CESM2-WACCM, CNRM-ESM2-1, EC-Earth3-Veg, MIROC-ES2L, NorESM2-LM, MPI-ESM1-2-LR
2.015000000000000000e+03, 3.533986619946580365e+00, 4.851651056722586119e+00, 2.505450800426635816e+00, 2.605351444645005010e+00, 3.378823739198924869e+00, 5.002396876724207075e+00, 4.277961004469542416e+00, 3.816439861051809324e+00, 3.347566364571607167e+00, 2.665696425940237368e+00, 3.015346095405697646e+00, 2.678473035640929201e+00, 3.029315185379441999e+00, 4.056960043389183923e+00
2.016000000000000000e+03, 3.568217163786575163e+00, 5.311668263916783594e+00, 2.520065322919968320e+00, 2.562634735158458188e+00, 3.759490559564776735e+00, 5.054346193901305462e+00, 4.224616648592089518e+00, 4.215268877292622562e+00, 3.308295672202633764e+00, 2.789121415032246531e+00, 3.410397928020830971e+00, 2.562888485168846486e+00, 3.170109416186888129e+00, 4.108910878836183223e+00
2.017000000000000000e+03, 3.610440930513815871e+00, 5.079713482555708204e+00, 2.500056598611452685e+00, 2.594685795722109223e+00, 3.479602447526804365e+00, 4.948323432792744114e+00, 3.827060566068172687e+00, 4.195976512048353868e+00, 3.401394666518894105e+00, 2.658558743668017588e+00, 3.114507228600099875e+00, 2.609159284896008124e+00, 3.017020792221791758e+00, 4.117121113353826800e+00
2.018000000000000000e+03, 3.648678996014451226e+00, 4.756077732286493109e+00, 2.518956855435539488e+00, 2.551909243160912943e+00, 3.496632415798903271e+00, 4.909184952359091803e+00, 4.060159489810219569e+00, 3.703879369832479451e+00, 3.358791842940634265e+00, 2.698360802729907082e+00, 2.890595363832776155e+00, 2.636661857325178548e+00, 2.966155999853709702e+00, 4.038302426533777023e+00
2.019000000000000000e+03, 3.581030389340764231e+00, 5.240352240773130887e+00, 2.553505261951594996e+00, 2.603616444546450026e+00, 3.691134647658639079e+00, 5.045433166031447314e+00, 4.122024102523836220e+00, 3.759342912313271334e+00, 3.368881490885893282e+00, 2.792158048117833857e+00, 2.960685888134811261e+00, 2.660809466817185776e+00, 3.158993336430027110e+00, 3.958785517104145502e+00
2.020000000000000000e+03, 3.713735009346277760e+00, 4.981793038738022261e+00, 2.545221945521500384e+00, 2.622247586462145286e+00, 3.584343076990557542e+00, 5.192938179851178226e+00, 4.063284917811206931e+00, 3.785704409603436904e+00, 3.501478996662351850e+00, 2.739116372735936000e+00, 3.159245078949982410e+00, 2.705780674715211997e+00, 3.066654721720254884e+00, 4.339587028865125262e+00
2.021000000000000000e+03, 3.732453009488486462e+00, 5.451132488013744393e+00, 2.538605907334468004e+00, 2.573012357164915720e+00, 3.517556590386513360e+00, 5.109307715288318619e+00, 3.694804035822924604e+00, 4.184184819231990815e+00, 3.407048431217079010e+00, 2.637529377988037993e+00, 3.096871593910224707e+00, 2.654743788544943861e+00, 2.886962603837083474e+00, 4.214910616057442105e+00
2.022000000000000000e+03, 3.732928624490988057e+00, 5.410215242317716999e+00, 2.497818228513668082e+00, 2.610956600171375097e+00, 3.444951329120415462e+00, 5.041294378807252841e+00, 4.041391943252459207e+00, 3.909575097874708582e+00, 3.411373951834359985e+00, 2.809176283482372138e+00, 3.029858431327532742e+00, 2.648107110641887196e+00, 3.088072771618821655e+00, 4.229101590735672822e+00
2.023000000000000000e+03, 3.703497867688327005e+00, 5.455401195545387161e+00, 2.589231090862877505e+00, 2.662429995615766209e+00, 3.428593016139374061e+00, 5.199837675027255024e+00, 4.169847459844084447e+00, 3.883912125113312186e+00, 3.132763000086291161e+00, 2.796498122244416962e+00, 3.027919596585200157e+00, 2.681532391451776576e+00, 3.244813924466848132e+00, 4.285033417772050157e+00
2.024000000000000000e+03, 3.760215062565321897e+00, 4.789103592865842529e+00, 2.577751513983630005e+00, 2.643064349648022393e+00, 3.677211672174801826e+00, 5.234530605896840605e+00, 3.804940749718668247e+00, 4.057590439137506166e+00, 3.370092183755022841e+00, 2.774044295191308684e+00, 3.133668363969390303e+00, 2.705955245742581727e+00, 3.160694967439925840e+00, 4.125700512857860325e+00
2.025000000000000000e+03, 3.736214698896690667e+00, 5.241271466724754191e+00, 2.522042056558372103e+00, 2.630853276988037504e+00, 3.682518622891838955e+00, 5.158494597270278703e+00, 3.887700549560349828e+00, 4.089532017182785140e+00, 3.392475764867175059e+00, 2.684573229283355289e+00, 2.993695157061656342e+00, 2.643532335278557355e+00, 3.308110267931308801e+00, 4.270358017477430046e+00
2.026000000000000000e+03, 3.760312403462295894e+00, 5.016291018638163735e+00, 2.557396609193805848e+00, 2.622473948751957717e+00, 3.534751684482710488e+00, 5.265293575348156452e+00, 3.662363952134326084e+00, 3.883618350069335534e+00, 3.398437002013127817e+00, 2.691726525374044776e+00, 2.871214458262522751e+00, 2.669853915445016490e+00, 3.204923057158115540e+00, 4.226177462464871581e+00
2.027000000000000000e+03, 3.618343249200204781e+00, 5.247642998815583937e+00, 2.637418769378011785e+00, 2.660903888233191683e+00, 3.625146364951330025e+00, 5.114556483987900748e+00, 4.046308082757676949e+00, 3.818229070263184699e+00, 3.358885842259464738e+00, 2.670824611575763452e+00, 2.885948087944737672e+00, 2.694488662088387443e+00, 3.148097890883279071e+00, 4.256871370185058012e+00
2.028000000000000000e+03, 3.675856527412509234e+00, 5.052526977037931744e+00, 2.602047778718433957e+00, 2.633740937867854459e+00, 3.180310357691916501e+00, 5.285375986571772877e+00, 3.864959582092073465e+00, 4.113172397717005602e+00, 3.427985490554551706e+00, 2.651634107016593411e+00, 3.019462978506827433e+00, 2.751196958669447135e+00, 3.240858582730553383e+00, 4.002668907486259364e+00
2.029000000000000000e+03, 3.753711326085668265e+00, 5.962433516180571047e+00, 2.555170531179333793e+00, 2.611023342706254358e+00, 3.738569621143737365e+00, 5.377308431766906871e+00, 4.062938084930167726e+00, 4.082758863766662749e+00, 3.501652734303411396e+00, 2.698065799729772785e+00, 3.000777960265380795e+00, 2.729599079177761123e+00, 3.305545189451149835e+00, 4.305709986706935055e+00
2.030000000000000000e+03, 3.810285955645313027e+00, 5.160458989256206053e+00, 2.509047488738069820e+00, 2.679232035537466583e+00, 3.812241513050764752e+00, 5.301094868597673759e+00, 3.919747805962976450e+00, 3.813905662581777545e+00, 3.523699507775650996e+00, 2.702316356208164905e+00, 2.945733835344724660e+00, 2.658532963619316458e+00, 3.314575754884501180e+00, 4.398164504993007817e+00
2.031000000000000000e+03, 3.757564983448777429e+00, 4.859905411544287013e+00, 2.628001768918164061e+00, 2.714887615205836546e+00, 3.716315733498617657e+00, 5.273604697087297843e+00, 3.607248820893826924e+00, 4.012412048574966583e+00, 3.456818141939395517e+00, 2.736670204594936706e+00, 3.329611230649411446e+00, 2.698219670963750261e+00, 3.321809873119350609e+00, 4.297569600858210492e+00
2.032000000000000000e+03, 3.788503388725211085e+00, 5.509598782396371242e+00, 2.620218916219541505e+00, 2.790860808207803245e+00, 3.713186197685993672e+00, 5.341285330886123894e+00, 4.101459108887024918e+00, 4.200696043227511112e+00, 3.490643428764357736e+00, 2.707429976696705154e+00, 3.250889593175230186e+00, 2.832705609154396065e+00, 3.305057822435641501e+00, 4.213036018077757738e+00
2.033000000000000000e+03, 3.862267807906607509e+00, 5.327026082818844266e+00, 2.565744616800677225e+00, 2.791987411690879384e+00, 3.431135785645414771e+00, 5.386588570930257447e+00, 4.261576350385698930e+00, 4.163411212110812443e+00, 3.610372964368472548e+00, 2.687491768038430706e+00, 2.896772004221998653e+00, 2.788713359304401340e+00, 3.252648669861901709e+00, 4.124287212082159648e+00
2.034000000000000000e+03, 3.875323612778500237e+00, 4.847303220379927780e+00, 2.559656972977686795e+00, 2.758892350315445441e+00, 3.685130479604740383e+00, 5.369570793803216446e+00, 3.984447747998604239e+00, 4.027585050870153616e+00, 3.667831569133769065e+00, 2.675805270247449741e+00, 2.998730468219739098e+00, 2.666050020071076609e+00, 3.105509934555557461e+00, 4.346678134240526958e+00
2.035000000000000000e+03, 3.838556424106110310e+00, 5.184028155034281049e+00, 2.553418691129345053e+00, 2.709226233123400718e+00, 3.312423044505572012e+00, 5.315803946648187228e+00, 3.906435039714334589e+00, 3.976130776267837952e+00, 3.697707889268931680e+00, 2.679946045809584287e+00, 3.095704573296411244e+00, 2.681799429771919208e+00, 3.276521241177968946e+00, 4.398179220830705560e+00
2.036000000000000000e+03, 3.838827932111981145e+00, 5.310791020093553527e+00, 2.585474078597898462e+00, 2.723953869392332638e+00, 3.789609282114709377e+00, 5.427871777916821294e+00, 4.108872389163978234e+00, 4.318585961034936638e+00, 3.562670562112279615e+00, 2.768618828754306538e+00, 3.189952123072456569e+00, 2.849576589570889773e+00, 3.244809007890888441e+00, 4.351798478134997872e+00
2.037000000000000000e+03, 3.742382132679356488e+00, 5.463593642991525279e+00, 2.615871402477507157e+00, 2.802863850621290176e+00, 3.655286014188804611e+00, 5.353251463528659215e+00, 3.973453496741881086e+00, 4.169959555970265797e+00, 3.607867542545394990e+00, 2.762386113250729025e+00, 2.935868090997368007e+00, 2.847914604758332580e+00, 3.316163458137498576e+00, 4.179416365138631129e+00
2.038000000000000000e+03, 3.951924048694999581e+00, 5.683123544583328801e+00, 2.543775745805833655e+00, 2.665798344816540322e+00, 3.753547564458389552e+00, 5.534115328137001910e+00, 3.910521628647998682e+00, 3.890775718935853167e+00, 3.568411892080011416e+00, 2.621108150392821301e+00, 3.085231185634317086e+00, 2.822278639393103195e+00, 3.373044251539291327e+00, 4.202407299550992015e+00
2.039000000000000000e+03, 3.942024943515483493e+00, 5.330734437473675591e+00, 2.557693303799101869e+00, 2.660509061758565608e+00, 3.735609317183202993e+00, 5.612132705898805085e+00, 4.164865785709130463e+00, 3.987528165962018534e+00, 3.533876421731810158e+00, 2.668018876283084317e+00, 3.264461822047237671e+00, 2.777915107552617169e+00, 3.301865948240342519e+00, 4.400651801026153720e+00
2.040000000000000000e+03, 3.935358828998984926e+00, 5.102055393995614807e+00, 2.611588827410502578e+00, 2.725159234233655248e+00, 3.423014194172087521e+00, 5.441335469279390047e+00, 4.024707919668918166e+00, 3.996137883050049577e+00, 3.548666515418371858e+00, 2.677381133511371303e+00, 3.133069821003884758e+00, 2.778389701631878594e+00, 3.330550095036330038e+00, 4.508664517100756441e+00
